r10_2;r110_2;r0011_2;r10_3;r110_3;r0011_3;r10_4;r110_4;r0011_4;z10;z0011;m0011;m110;complete;ME;MAE;RBIAS;r
2.5;5.0;50.0;2.5;5.0;50.0;3.0;5.0;50.0;1.5;30.0;50.0;1.0;0;2.576053993373989;6.973576521986674;0.014522761407321906;0.9665991902834008
2.2505043;3.3483458;71.41254;0.6037555;9.962258;99.054596;2.1629803;2.3098493;12.962812;3.8021932;4.7263174;11.26255;7.6024604;0;20.85813662325014;21.07334342138783;0.07753738516955637;0.9704453441295546
4.30713;3.8576214;21.066809;1.5801355;1.3687958;83.483475;4.925027;3.7478683;11.629915;1.6210326;6.514002;43.73298;8.790135;0;-5.047443270453034;11.065535002657002;-0.012829324262459148;0.9552631578947368
3.5171034;0.9165171;4.6288843;4.052861;3.204275;44.944508;0.51255107;7.899261;1.9250057;0.8935807;2.2672107;50.197666;9.529788;0;12.424837768837003;13.628051640381633;0.0450935402061011;0.9720647773279354
0.561469;0.31490558;31.076153;2.5180497;6.379667;55.193527;0.6470905;4.7189856;97.85728;1.1771955;5.743177;53.277454;6.077582;0;29.78850053163348;29.850500924724685;0.11251168407840648;0.9465587044534413
4.8805494;2.2539783;16.556494;0.9407066;4.73675;50.82739;2.2333148;8.736101;65.85301;2.0219038;4.8157954;37.268993;7.706465;0;2.3265362931947404;6.408708719528056;0.012559556489751378;0.9767206477732794
3.8295846;3.892718;40.18306;1.6318986;6.7380056;16.411005;0.92929393;9.542378;32.802475;3.196189;5.353746;42.826454;5.411213;0;12.907724375182353;13.436221585064494;0.04881990087096938;0.9803643724696357
3.951715;3.2888212;97.95527;4.772548;6.277639;85.587006;3.4556677;1.6787814;58.32878;1.019829;2.6584668;68.26943;8.072333;0;-7.0770247608165375;12.701155324507477;-0.019803635779362744;0.9544534412955465
0.7277568;3.5392203;18.926065;2.2165916;8.091906;67.903305;1.86732;7.397406;62.288322;3.9774566;8.795993;25.679989;5.830507;0;19.80247746773174;19.94985783003066;0.07712212316137575;0.96417004048583
2.3068912;2.0739129;32.56852;2.2638364;1.6381263;64.155624;4.2464166;1.767393;19.109966;1.3194797;1.7197345;16.563564;7.6268334;0;1.0092009774760857;7.217690412978929;0.00855710632106918;0.9621457489878542
1.9169103;1.2512332;72.786316;0.85004103;4.9655447;22.812786;3.7681916;1.6455535;29.59795;4.06687;8.030806;67.89132;3.4753137;0;6.777537570784984;8.602960227126877;0.03017911730269546;0.9718623481781377
4.6411486;2.7057164;51.409096;1.5923162;8.740484;16.162771;2.4069533;3.4819233;55.180496;4.627774;9.497114;64.475876;7.1822724;0;-0.27179196981036313;7.377117920679173;0.0039988603357871;0.9777327935222673
3.254939;1.1013919;5.348886;4.091962;4.2648573;87.42962;4.240399;1.914423;84.139656;0.90438503;1.9570318;2.4818404;6.206877;0;-5.0043560862799605;11.164036451517;-0.012862223629739331;0.951012145748988
4.1315317;3.6585207;17.00731;3.952375;5.534099;18.76198;0.5940123;6.9667463;13.829278;4.596882;4.903161;29.327875;3.248538;0;5.189463643298569;7.522880346402258;0.02158963004297293;0.9793522267206478
