[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];
l_1;r10_2;r110_2;r0011_2;r10_3;r110_3;r0011_3;r10_4;r110_4;r0011_4;z10;z0011;m0011;m110;complete
10.0;2.5;5.0;25.0;2.5;5.0;25.0;2.0;5.0;25.0;0.5;25.0;50.0;5.0;0
10.0;3.5;5.0;25.0;3.5;5.0;25.0;4.0;5.0;25.0;0.8;25.0;50.0;5.0;0
17.31336;3.8576214;1.0932057;15.801354;0.30078882;41.825153;49.25027;1.5960616;6.2612715;16.210327;3.1020675;31.072292;43.412956;3.008564;0
14.249992;0.9165171;0.27961144;40.52861;1.3001052;22.75031;5.12551;3.8562644;1.4578311;8.935806;0.7899258;35.73067;47.439957;4.940277;0
2.7893696;0.31490558;1.5886177;25.180496;3.0289297;27.82306;6.4709053;2.1247811;48.93946;11.7719555;2.6823962;37.949932;28.644613;6.920804;0
19.536825;2.2539783;0.8699679;9.407066;2.1344528;25.662043;22.333147;4.3118773;33.098965;20.219036;2.1774886;26.414421;37.512974;9.649974;0
15.461655;3.892718;2.0393636;16.318987;3.2240255;8.627669;9.292939;4.7508507;16.74062;31.96189;2.470373;30.419064;25.016603;1.5434476;0
15.935222;3.2888212;4.898796;47.725483;2.9733813;42.866295;34.55668;0.46955875;29.374851;10.19829;1.002943;48.75297;39.50493;2.9946578;0
3.434159;3.5392203;0.98724973;22.165916;3.9611485;34.113754;18.673199;3.5830321;31.334623;39.774567;4.344485;18.063522;27.299425;2.999009;0
9.557333;2.0739129;1.6624824;22.638363;0.44742432;32.258846;42.464165;0.51780283;9.963519;13.1947975;0.49185547;11.494334;37.079426;8.952259;0
8.045162;1.2512332;3.6530602;8.50041;2.2590187;11.796227;37.681915;0.451468;15.154541;40.668705;3.927883;48.480507;14.476707;5.960052;0
18.608534;2.7057164;2.5949957;15.923161;4.3142633;8.504806;24.069532;1.4512694;27.81661;46.277737;4.7262063;46.019382;34.65904;7.7579665;0
13.233438;1.1013919;0.3152479;40.91962;1.8775333;43.778297;42.40399;0.5978525;42.14993;9.043851;0.62105066;1.3472085;29.348555;5.1331043;0
16.632471;3.6585207;0.8922811;39.52375;2.5685651;9.791284;5.9401236;3.348562;7.3498445;45.96882;2.2250545;20.692144;13.24204;5.25679;0
9.42487;1.0651356;4.682723;22.339441;0.20573527;4.612205;29.473852;3.608986;43.058453;35.563095;2.9662552;37.0073;34.597706;9.763722;0
