YYYY	MM	DD	hh	mm	PET
2070	1	1	0	0	0.20682504456544323
2070	1	2	0	0	0.2919917609337292
2070	1	3	0	0	0.056922133398789175
2070	1	4	0	0	0.05188102705802791
2070	1	5	0	0	0.09103139709183539
2070	1	6	0	0	0.39508351975290684
2070	1	7	0	0	0.15437417533276834
2070	1	8	0	0	0.0909333783541597
2070	1	9	0	0	0.2487604044376239
2070	1	10	0	0	0.05965922357609695
2070	1	11	0	0	0.2812432303957245
2070	1	12	0	0	0.057444164884916236
2070	1	13	0	0	0.07531932719119923
2070	1	14	0	0	0.15382466161559202
2070	1	15	0	0	0.4713994229209641
2070	1	16	0	0	0.49897220083036753
2070	1	17	0	0	0.5555241240497444
2070	1	18	0	0	0.5053088246605278
2070	1	19	0	0	0.4007189529651362
2070	1	20	0	0	0.22114684128902862
2070	1	21	0	0	0.45567998006118277
2070	1	22	0	0	0.7291622649069859
2070	1	23	0	0	0.6955010826644807
2070	1	24	0	0	0.6605683974751405
2070	1	25	0	0	0.6416285750085742
2070	1	26	0	0	0.10367479211946123
2070	1	27	0	0	0.0415947766149163
2070	1	28	0	0	0.6170700736421714
2070	1	29	0	0	0.5579662478521294
2070	1	30	0	0	0.7653600370135559
2070	1	31	0	0	0.15680549985898998
2070	2	1	0	0	0.08373706167871307
2070	2	2	0	0	0.6077937003395262
2070	2	3	0	0	0.7137086760212206
2070	2	4	0	0	0.7085869854438326
2070	2	5	0	0	0.5608124683427014
2070	2	6	0	0	0.25336293821972167
2070	2	7	0	0	0.14922867746344937
2070	2	8	0	0	0.4102249318868838
2070	2	9	0	0	0.32218993277193875
2070	2	10	0	0	0.09682670467526892
2070	2	11	0	0	0.2617724318383778
2070	2	12	0	0	0.2569259319361248
2070	2	13	0	0	0.3100722679107973
2070	2	14	0	0	0.8416434627142849
2070	2	15	0	0	0.2924884290121264
2070	2	16	0	0	0.1485136531542002
2070	2	17	0	0	0.824958522961293
2070	2	18	0	0	0.21155989397609584
2070	2	19	0	0	0.44208761156213233
2070	2	20	0	0	0.8657765324072921
2070	2	21	0	0	0.3744138718179908
2070	2	22	0	0	0.24415730037370953
2070	2	23	0	0	0.22675944408172954
2070	2	24	0	0	0.5339193608748483
2070	2	25	0	0	0.5929324662729571
2070	2	26	0	0	0.9258467315627981
2070	2	27	0	0	1.9397081746309657
2070	2	28	0	0	0.43298348426656974
2070	3	1	0	0	1.284207982350683
2070	3	2	0	0	1.6594641689241612
2070	3	3	0	0	0.5758884118144634
2070	3	4	0	0	0.17434350457466555
2070	3	5	0	0	0.3070078653261062
2070	3	6	0	0	0.5526877951612357
2070	3	7	0	0	0.5007283416789768
2070	3	8	0	0	0.688128748323369
2070	3	9	0	0	0.1431187444653594
2070	3	10	0	0	2.0434042749537853
2070	3	11	0	0	1.7706600370326828
2070	3	12	0	0	2.2122376236737313
2070	3	13	0	0	2.0161770841703417
2070	3	14	0	0	1.1437244905560922
2070	3	15	0	0	1.1449704296453231
2070	3	16	0	0	1.0434144377648953
2070	3	17	0	0	1.17872760630672
2070	3	18	0	0	1.6590309155566887
2070	3	19	0	0	0.6896491849065489
2070	3	20	0	0	0.2680277520654842
2070	3	21	0	0	2.04655808286034
2070	3	22	0	0	1.5852068836755184
2070	3	23	0	0	0.2985560791222806
2070	3	24	0	0	0.6695879867798389
2070	3	25	0	0	1.6119820120387003
2070	3	26	0	0	1.0446395835193099
2070	3	27	0	0	1.1722706625303685
2070	3	28	0	0	0.5141835534978778
2070	3	29	0	0	2.9347074880777066
2070	3	30	0	0	2.9613853402381594
2070	3	31	0	0	1.391068740536748
2070	4	1	0	0	2.595928867014702
2070	4	2	0	0	3.041106392471194
2070	4	3	0	0	3.0246545187897005
2070	4	4	0	0	0.9849062343998103
2070	4	5	0	0	2.317602351905307
2070	4	6	0	0	1.7062800131370979
2070	4	7	0	0	2.8096974479569408
2070	4	8	0	0	3.297581012165742
2070	4	9	0	0	1.592652692092371
2070	4	10	0	0	1.9169933099090313
2070	4	11	0	0	1.0219310575509613
2070	4	12	0	0	0.40295954893165414
2070	4	13	0	0	2.649433847238136
2070	4	14	0	0	1.1461751149842112
2070	4	15	0	0	3.2122757523232384
2070	4	16	0	0	2.63752506413354
2070	4	17	0	0	1.7480279096461386
2070	4	18	0	0	3.6284235495562958
2070	4	19	0	0	3.828662641429832
2070	4	20	0	0	3.914654525446585
2070	4	21	0	0	3.8662363382258196
2070	4	22	0	0	3.870987141385087
2070	4	23	0	0	3.811818757505499
2070	4	24	0	0	3.8452937734328496
2070	4	25	0	0	3.9022644495164585
2070	4	26	0	0	3.9004105182905002
2070	4	27	0	0	3.914896011579823
2070	4	28	0	0	3.9869073122742087
2070	4	29	0	0	4.068810893427664
2070	4	30	0	0	4.291840102320701
2070	5	1	0	0	1.7770133393958698
2070	5	2	0	0	1.3024442555700888
2070	5	3	0	0	1.716516520881548
2070	5	4	0	0	3.102193161492648
2070	5	5	0	0	3.2252706866347776
2070	5	6	0	0	0.3490531337327746
2070	5	7	0	0	0.6913123987474254
2070	5	8	0	0	3.284905075181459
2070	5	9	0	0	3.6534112846921234
2070	5	10	0	0	2.8419910937712953
2070	5	11	0	0	3.9251896978671503
2070	5	12	0	0	4.084728664624914
2070	5	13	0	0	4.082943955723321
2070	5	14	0	0	1.706764461011637
2070	5	15	0	0	1.2773586411218552
2070	5	16	0	0	2.3027621889554
2070	5	17	0	0	2.0837952652755556
2070	5	18	0	0	1.1042601907908984
2070	5	19	0	0	3.6064068202447985
2070	5	20	0	0	4.464139109100593
2070	5	21	0	0	4.539073699112535
2070	5	22	0	0	4.621180277851889
2070	5	23	0	0	4.872614879101298
2070	5	24	0	0	3.3214901183711754
2070	5	25	0	0	2.9700238268224433
2070	5	26	0	0	3.2637818676217267
2070	5	27	0	0	4.804861578347336
2070	5	28	0	0	5.022016955186593
2070	5	29	0	0	3.053210239365583
2070	5	30	0	0	4.95955971715577
2070	5	31	0	0	5.346460370571948
2070	6	1	0	0	2.0057493107616016
2070	6	2	0	0	2.981193236481681
2070	6	3	0	0	5.239552553126533
2070	6	4	0	0	5.062466649798981
2070	6	5	0	0	5.366864751049377
2070	6	6	0	0	5.512631841201575
2070	6	7	0	0	5.822819692859004
2070	6	8	0	0	3.0273679651310816
2070	6	9	0	0	2.5472152515304947
2070	6	10	0	0	2.374020649733914
2070	6	11	0	0	2.2150405600690717
2070	6	12	0	0	4.204723171012845
2070	6	13	0	0	2.146435277231862
2070	6	14	0	0	1.6451651764770068
2070	6	15	0	0	3.268714472788535
2070	6	16	0	0	5.634563181070174
2070	6	17	0	0	5.444055594831674
2070	6	18	0	0	5.817272993135784
2070	6	19	0	0	5.887152141458701
2070	6	20	0	0	6.037876189531415
2070	6	21	0	0	6.086158509656714
2070	6	22	0	0	5.904163592293085
2070	6	23	0	0	5.376601495772339
2070	6	24	0	0	5.444244390309209
2070	6	25	0	0	5.199572267114265
2070	6	26	0	0	2.1024863050776843
2070	6	27	0	0	5.196476053286146
2070	6	28	0	0	3.189103230829966
2070	6	29	0	0	2.946138854860473
2070	6	30	0	0	4.52480990748262
2070	7	1	0	0	1.8024876642311032
2070	7	2	0	0	3.0228878048203445
2070	7	3	0	0	3.368771209557441
2070	7	4	0	0	5.148035260919427
2070	7	5	0	0	3.3748044911344675
2070	7	6	0	0	2.5849570760626785
2070	7	7	0	0	3.5763195547575086
2070	7	8	0	0	5.382698774649298
2070	7	9	0	0	5.369771936337864
2070	7	10	0	0	5.531196915267049
2070	7	11	0	0	2.4170668511060347
2070	7	12	0	0	3.492350572545664
2070	7	13	0	0	5.08991601325571
2070	7	14	0	0	4.234210894396304
2070	7	15	0	0	4.1914606141458615
2070	7	16	0	0	4.7935361864124335
2070	7	17	0	0	2.9793039536971264
2070	7	18	0	0	4.026255949916449
2070	7	19	0	0	2.560873327006575
2070	7	20	0	0	1.9726225038516982
2070	7	21	0	0	1.501554556104083
2070	7	22	0	0	3.749949081615371
2070	7	23	0	0	4.165031428253042
2070	7	24	0	0	3.2443974450685027
2070	7	25	0	0	4.593512860726473
2070	7	26	0	0	5.0573955684584275
2070	7	27	0	0	4.860424187268531
2070	7	28	0	0	2.402142232571148
2070	7	29	0	0	4.2601098562475785
2070	7	30	0	0	4.5270869078245894
2070	7	31	0	0	4.83502020141428
2070	8	1	0	0	4.560996983573984
2070	8	2	0	0	4.55856967647181
2070	8	3	0	0	4.330690584718985
2070	8	4	0	0	4.18031020444727
2070	8	5	0	0	4.446788898482956
2070	8	6	0	0	3.9803556092234937
2070	8	7	0	0	4.320451378141517
2070	8	8	0	0	4.599369599735073
2070	8	9	0	0	4.802250513537468
2070	8	10	0	0	3.9744829149054826
2070	8	11	0	0	3.098379613498433
2070	8	12	0	0	3.6077980266701744
2070	8	13	0	0	4.295702989480548
2070	8	14	0	0	4.403250488105429
2070	8	15	0	0	4.422000019057772
2070	8	16	0	0	4.226186131105623
2070	8	17	0	0	3.833704348124281
2070	8	18	0	0	4.282626980342902
2070	8	19	0	0	4.180399458244764
2070	8	20	0	0	4.232020517318607
2070	8	21	0	0	3.7862605146039487
2070	8	22	0	0	3.228013742898113
2070	8	23	0	0	3.892176996672144
2070	8	24	0	0	4.116633468849173
2070	8	25	0	0	4.138637036296587
2070	8	26	0	0	3.9048210648379027
2070	8	27	0	0	4.072262278817663
2070	8	28	0	0	4.295496454667468
2070	8	29	0	0	4.202436181578833
2070	8	30	0	0	3.8769662378958225
2070	8	31	0	0	3.7323237780868364
2070	9	1	0	0	4.107508557707278
2070	9	2	0	0	4.053525241269834
2070	9	3	0	0	3.6981517566401045
2070	9	4	0	0	3.786780672930904
2070	9	5	0	0	3.271396461813763
2070	9	6	0	0	2.396358565387948
2070	9	7	0	0	3.232060751730881
2070	9	8	0	0	2.9658351151828066
2070	9	9	0	0	2.7881053715691273
2070	9	10	0	0	2.8767139771814274
2070	9	11	0	0	2.481287889190715
2070	9	12	0	0	2.3664918265622896
2070	9	13	0	0	3.0327310170972424
2070	9	14	0	0	3.0632533862282396
2070	9	15	0	0	3.1477817212941774
2070	9	16	0	0	3.012293551994881
2070	9	17	0	0	3.004440900569311
2070	9	18	0	0	2.813843727301214
2070	9	19	0	0	2.910742773321249
2070	9	20	0	0	2.9289266091717616
2070	9	21	0	0	2.256104596928786
2070	9	22	0	0	2.0869986016748263
2070	9	23	0	0	2.28692707273016
2070	9	24	0	0	2.245057503968192
2070	9	25	0	0	2.209837449418239
2070	9	26	0	0	2.2214313361403497
2070	9	27	0	0	1.4421206293893165
2070	9	28	0	0	2.0783664004272255
2070	9	29	0	0	2.035389185937078
2070	9	30	0	0	2.1962277806847132
2070	10	1	0	0	2.0556805279354746
2070	10	2	0	0	2.1167676562766915
2070	10	3	0	0	1.9045849612242924
2070	10	4	0	0	1.949562332171475
2070	10	5	0	0	2.100419783886023
2070	10	6	0	0	2.0612499631774335
2070	10	7	0	0	1.9974767884097437
2070	10	8	0	0	0.7170401256323069
2070	10	9	0	0	0.8072747087991344
2070	10	10	0	0	0.41912321611896375
2070	10	11	0	0	0.3102075303712329
2070	10	12	0	0	1.0892180277711412
2070	10	13	0	0	0.9643071326706555
2070	10	14	0	0	1.4293806249626613
2070	10	15	0	0	1.6995426814103738
2070	10	16	0	0	0.49201294917332455
2070	10	17	0	0	1.0851586573834933
2070	10	18	0	0	1.6315398081011865
2070	10	19	0	0	1.3101780142368458
2070	10	20	0	0	0.8312945628433244
2070	10	21	0	0	0.4781297565169779
2070	10	22	0	0	1.1415074575182673
2070	10	23	0	0	1.0991395480202917
2070	10	24	0	0	1.0994324471524957
2070	10	25	0	0	1.1967605237387704
2070	10	26	0	0	1.2393065415759452
2070	10	27	0	0	1.1276556826633644
2070	10	28	0	0	1.3204338248300225
2070	10	29	0	0	1.3449110812466971
2070	10	30	0	0	0.7317841106300202
2070	10	31	0	0	0.9847906690881278
2070	11	1	0	0	1.1295548343281188
2070	11	2	0	0	1.1098668341676357
2070	11	3	0	0	1.0392506289857053
2070	11	4	0	0	0.33779019502075314
2070	11	5	0	0	1.062794867796499
2070	11	6	0	0	0.8780035098894402
2070	11	7	0	0	1.0643535629501817
2070	11	8	0	0	0.9027997118359294
2070	11	9	0	0	0.5100018511541846
2070	11	10	0	0	0.06567594689352693
2070	11	11	0	0	0.33472336779213274
2070	11	12	0	0	0.2040518879052693
2070	11	13	0	0	0.4784025000629744
2070	11	14	0	0	0.10887010970344563
2070	11	15	0	0	0.29594534188310073
2070	11	16	0	0	0.6159194427271615
2070	11	17	0	0	0.5217387508964261
2070	11	18	0	0	0.11592580442494456
2070	11	19	0	0	0.23736465813994231
2070	11	20	0	0	0.43841043354038545
2070	11	21	0	0	0.15678605641571422
2070	11	22	0	0	0.11675632406514184
2070	11	23	0	0	0.23967498405945847
2070	11	24	0	0	0.1915307643753474
2070	11	25	0	0	0.009185416328574822
2070	11	26	0	0	0.44438205032071176
2070	11	27	0	0	0.17135320071883353
2070	11	28	0	0	0.16387068867036
2070	11	29	0	0	0.10417386535508856
2070	11	30	0	0	0.41378885871562543
2070	12	1	0	0	0.5196322202259106
2070	12	2	0	0	0.6354152802174734
2070	12	3	0	0	0.467997024030387
2070	12	4	0	0	0.09757445220061853
2070	12	5	0	0	0.4893265551226892
2070	12	6	0	0	0.5166952943334644
2070	12	7	0	0	0.4923945411204421
2070	12	8	0	0	0.37696435110828597
2070	12	9	0	0	0.08301636968483975
2070	12	10	0	0	0.07883006533851121
2070	12	11	0	0	0.13051493964810296
2070	12	12	0	0	0.15486189147718002
2070	12	13	0	0	0.1636373425750681
2070	12	14	0	0	0.16523088795525745
2070	12	15	0	0	0.29687909665530304
2070	12	16	0	0	0.07113561585469048
2070	12	17	0	0	0.5685282589712487
2070	12	18	0	0	0.561653643502383
2070	12	19	0	0	0.501504149040787
2070	12	20	0	0	0.14085894566465046
2070	12	21	0	0	0.24105428303441248
2070	12	22	0	0	0.3254639433083214
2070	12	23	0	0	0.0
2070	12	24	0	0	0.06774249016383853
2070	12	25	0	0	0.2364737943566513
2070	12	26	0	0	0.03719407674025266
2070	12	27	0	0	0.018875668900247347
2070	12	28	0	0	0.07207546390834002
2070	12	29	0	0	0.06135574788709916
2070	12	30	0	0	0.10975588723224251
2070	12	31	0	0	0.16319745085093745
2071	1	1	0	0	0.15077187781568688
2071	1	2	0	0	0.1850583161046782
2071	1	3	0	0	0.06030794678655779
2071	1	4	0	0	0.3259326301415846
2071	1	5	0	0	0.1750546322592465
2071	1	6	0	0	0.33619772309538865
2071	1	7	0	0	0.21690066169352615
2071	1	8	0	0	0.06814041094679965
2071	1	9	0	0	0.20434667562794034
2071	1	10	0	0	0.04837654823098571
2071	1	11	0	0	0.029261433258124088
2071	1	12	0	0	0.0
2071	1	13	0	0	0.05719391376459737
2071	1	14	0	0	0.37096406905958085
2071	1	15	0	0	0.08841972630851551
2071	1	16	0	0	0.04713351991947892
2071	1	17	0	0	0.49088200681557953
2071	1	18	0	0	0.575758490389537
2071	1	19	0	0	0.4303602466054202
2071	1	20	0	0	0.5042657555818721
2071	1	21	0	0	0.08532007092342646
2071	1	22	0	0	0.4274744577864123
2071	1	23	0	0	0.13975550784365895
2071	1	24	0	0	0.16651299181449175
2071	1	25	0	0	0.2651215465274158
2071	1	26	0	0	0.5791238379951269
2071	1	27	0	0	0.11837517742011437
2071	1	28	0	0	0.6287428153342659
2071	1	29	0	0	0.6468956158599704
2071	1	30	0	0	0.6926492254414782
2071	1	31	0	0	0.020628653498054074
2071	2	1	0	0	0.19814962386082113
2071	2	2	0	0	0.4668798381433786
2071	2	3	0	0	0.1345047214387278
2071	2	4	0	0	0.5182102032759933
2071	2	5	0	0	0.5099040493875489
2071	2	6	0	0	0.15179011335934287
2071	2	7	0	0	0.09063780414511269
2071	2	8	0	0	0.5355188116356898
2071	2	9	0	0	0.276071210228161
2071	2	10	0	0	0.15805918289914167
2071	2	11	0	0	0.2732850427398006
2071	2	12	0	0	0.4156802319195454
2071	2	13	0	0	0.12181269696881379
2071	2	14	0	0	0.4703267225500922
2071	2	15	0	0	0.40935153227965004
2071	2	16	0	0	0.330668330021201
2071	2	17	0	0	0.12481353610844004
2071	2	18	0	0	0.5486875624712851
2071	2	19	0	0	0.2823006795310752
2071	2	20	0	0	0.4532423306025385
2071	2	21	0	0	0.1468108364639755
2071	2	22	0	0	0.6976511196673489
2071	2	23	0	0	0.6962480220793996
2071	2	24	0	0	0.9316810162315452
2071	2	25	0	0	0.8050442885962454
2071	2	26	0	0	0.8208592323139814
2071	2	27	0	0	1.496911942236322
2071	2	28	0	0	0.2526344190152779
2071	3	1	0	0	0.7014152919068395
2071	3	2	0	0	1.0996067563437315
2071	3	3	0	0	1.1482548281079172
2071	3	4	0	0	1.5240117369173416
2071	3	5	0	0	1.8789141167069134
2071	3	6	0	0	1.5797879359007267
2071	3	7	0	0	0.9184523633583983
2071	3	8	0	0	1.5272263097648686
2071	3	9	0	0	0.23499228474222958
2071	3	10	0	0	1.649821684624575
2071	3	11	0	0	1.7852730778165802
2071	3	12	0	0	1.225929727772035
2071	3	13	0	0	0.3343289701431974
2071	3	14	0	0	0.15193274167973186
2071	3	15	0	0	1.8177739950379772
2071	3	16	0	0	1.8664107782777177
2071	3	17	0	0	2.135219270609117
2071	3	18	0	0	2.391316327515545
2071	3	19	0	0	2.150302978837073
2071	3	20	0	0	0.36957839883394283
2071	3	21	0	0	2.1307794036788317
2071	3	22	0	0	1.8838305673124365
2071	3	23	0	0	1.2170762037808567
2071	3	24	0	0	0.5277137305078365
2071	3	25	0	0	1.7176817320369198
2071	3	26	0	0	1.0942038306392448
2071	3	27	0	0	0.8990145499988863
2071	3	28	0	0	0.23847664582349265
2071	3	29	0	0	0.6947630940529457
2071	3	30	0	0	2.0572293770054793
2071	3	31	0	0	0.8624960848847477
2071	4	1	0	0	1.6855756045649197
2071	4	2	0	0	1.1992666556118168
2071	4	3	0	0	0.4440925926946245
2071	4	4	0	0	0.5061587937241778
2071	4	5	0	0	0.15840889292329344
2071	4	6	0	0	1.6798788053377196
2071	4	7	0	0	2.9944133309625425
2071	4	8	0	0	2.2383118530513966
2071	4	9	0	0	3.0739697040272254
2071	4	10	0	0	3.4569034147300233
2071	4	11	0	0	0.44176861612121227
2071	4	12	0	0	3.130610965002512
2071	4	13	0	0	3.293766943435752
2071	4	14	0	0	2.3652764053107997
2071	4	15	0	0	0.15308414955137967
2071	4	16	0	0	1.5688242557105456
2071	4	17	0	0	2.768208358995008
2071	4	18	0	0	0.6025435854199649
2071	4	19	0	0	2.2403295662948772
2071	4	20	0	0	2.7612067207847826
2071	4	21	0	0	2.038079752704666
2071	4	22	0	0	0.5241427239683245
2071	4	23	0	0	0.38895794980086906
2071	4	24	0	0	2.0492168133459345
2071	4	25	0	0	2.9489077634808574
2071	4	26	0	0	3.707740460050183
