YYYY	MM	DD	hh	mm	PET
2070	1	1	0	0	0.3048955526904881
2070	1	2	0	0	0.08027576947943367
2070	1	3	0	0	0.04754845243298844
2070	1	4	0	0	0.02383635015091806
2070	1	5	0	0	0.24566923402119964
2070	1	6	0	0	0.05654481836794712
2070	1	7	0	0	0.31294327188588683
2070	1	8	0	0	0.08894452796657194
2070	1	9	0	0	0.1391750800761986
2070	1	10	0	0	0.10119887338538423
2070	1	11	0	0	0.3044784932010676
2070	1	12	0	0	0.24609592469895136
2070	1	13	0	0	0.1365277235214235
2070	1	14	0	0	0.37986242116426927
2070	1	15	0	0	0.09470811037631088
2070	1	16	0	0	0.15952336959818705
2070	1	17	0	0	0.30927315090680757
2070	1	18	0	0	0.16507418121947937
2070	1	19	0	0	0.719838903857159
2070	1	20	0	0	0.40220591530010713
2070	1	21	0	0	0.18828563294792375
2070	1	22	0	0	0.06601230611359675
2070	1	23	0	0	0.20762926075836524
2070	1	24	0	0	0.5193648629269594
2070	1	25	0	0	0.8952862704249338
2070	1	26	0	0	0.7928156809999546
2070	1	27	0	0	0.23242441266009897
2070	1	28	0	0	0.13049844583575715
2070	1	29	0	0	0.7296865581906976
2070	1	30	0	0	0.8122852645311076
2070	1	31	0	0	0.8446873169518374
2070	2	1	0	0	0.6899504628954908
2070	2	2	0	0	0.7051994425494955
2070	2	3	0	0	0.795666919169846
2070	2	4	0	0	0.6712022486585298
2070	2	5	0	0	0.5346587702436016
2070	2	6	0	0	0.6087156122802935
2070	2	7	0	0	0.38378120793099907
2070	2	8	0	0	0.6022049416784157
2070	2	9	0	0	0.406992189067766
2070	2	10	0	0	0.7252824849874427
2070	2	11	0	0	0.5610061943230653
2070	2	12	0	0	0.34914347152720365
2070	2	13	0	0	0.7447835337684156
2070	2	14	0	0	0.8294964945200629
2070	2	15	0	0	0.8119856745090768
2070	2	16	0	0	0.8183511480815258
2070	2	17	0	0	0.849119531159032
2070	2	18	0	0	0.9015833159358239
2070	2	19	0	0	1.049834725293823
2070	2	20	0	0	1.0581384115374282
2070	2	21	0	0	0.2671497976513152
2070	2	22	0	0	0.22871712722388787
2070	2	23	0	0	1.0987212170263112
2070	2	24	0	0	0.7734447149114159
2070	2	25	0	0	0.859085174838083
2070	2	26	0	0	0.4938593224843791
2070	2	27	0	0	1.3709488140433275
2070	2	28	0	0	1.555081153806884
2070	3	1	0	0	1.63916277339881
2070	3	2	0	0	0.9780991361538651
2070	3	3	0	0	1.0681274710685928
2070	3	4	0	0	0.6386374296003648
2070	3	5	0	0	0.26527021506808895
2070	3	6	0	0	0.5320573233255361
2070	3	7	0	0	1.2855631137501955
2070	3	8	0	0	1.44687327320415
2070	3	9	0	0	1.51074606479806
2070	3	10	0	0	1.552512209365524
2070	3	11	0	0	1.677169835336486
2070	3	12	0	0	1.5850408127748576
2070	3	13	0	0	1.5516639126585132
2070	3	14	0	0	1.749734438112165
2070	3	15	0	0	2.0943870488701304
2070	3	16	0	0	1.9251077621303407
2070	3	17	0	0	1.4595130090003188
2070	3	18	0	0	1.0795286908403041
2070	3	19	0	0	0.6795969054148998
2070	3	20	0	0	1.4743502967385602
2070	3	21	0	0	0.566857695744857
2070	3	22	0	0	0.4951936464455624
2070	3	23	0	0	1.4144472425632557
2070	3	24	0	0	0.9650664516898888
2070	3	25	0	0	0.7465418579964277
2070	3	26	0	0	1.3671033019421899
2070	3	27	0	0	1.923982139497607
2070	3	28	0	0	2.4483084679242357
2070	3	29	0	0	2.3868694070736804
2070	3	30	0	0	2.6216526340936226
2070	3	31	0	0	0.7697035172839547
2070	4	1	0	0	0.3968252978165297
2070	4	2	0	0	0.5044980457587632
2070	4	3	0	0	1.512390657616937
2070	4	4	0	0	0.7925466160173164
2070	4	5	0	0	1.03076632530867
2070	4	6	0	0	0.8749423841555765
2070	4	7	0	0	1.2310884499045724
2070	4	8	0	0	2.710060583764662
2070	4	9	0	0	1.4153950479368174
2070	4	10	0	0	1.2280389695014895
2070	4	11	0	0	2.1384167876395193
2070	4	12	0	0	1.55146039036705
2070	4	13	0	0	1.0153091907955223
2070	4	14	0	0	2.8590378208848124
2070	4	15	0	0	1.364754552292311
2070	4	16	0	0	2.8964336179799166
2070	4	17	0	0	3.7710616794079397
2070	4	18	0	0	3.20952001959926
2070	4	19	0	0	2.777242899289877
2070	4	20	0	0	1.4711545338261975
2070	4	21	0	0	1.3960837795543863
2070	4	22	0	0	2.787536479362751
2070	4	23	0	0	1.921435123835312
2070	4	24	0	0	3.2990434858956914
2070	4	25	0	0	2.926962605158709
2070	4	26	0	0	1.2157876225515394
2070	4	27	0	0	2.8115332358306766
2070	4	28	0	0	1.3608639782686887
2070	4	29	0	0	1.1534001396583198
2070	4	30	0	0	0.9644344288288164
2070	5	1	0	0	1.5327301492378642
2070	5	2	0	0	3.7684344492455004
2070	5	3	0	0	1.2214033386935086
2070	5	4	0	0	3.731514212715724
2070	5	5	0	0	1.3754717390590854
2070	5	6	0	0	3.1290999919565454
2070	5	7	0	0	3.58525918065182
2070	5	8	0	0	3.8626120846298386
2070	5	9	0	0	3.935507243831208
2070	5	10	0	0	3.959470338925623
2070	5	11	0	0	3.659824107908262
2070	5	12	0	0	3.5626836538762747
2070	5	13	0	0	3.7838583707557536
2070	5	14	0	0	3.961201862827519
2070	5	15	0	0	3.8337839829809957
2070	5	16	0	0	4.037243726584583
2070	5	17	0	0	4.318315691045524
2070	5	18	0	0	4.134679457378985
2070	5	19	0	0	4.422132632781847
2070	5	20	0	0	4.313677505516464
2070	5	21	0	0	4.106109247733762
2070	5	22	0	0	4.038116833634765
2070	5	23	0	0	1.8539351760032823
2070	5	24	0	0	3.470648125834011
2070	5	25	0	0	1.8761860557220105
2070	5	26	0	0	3.027046009452827
2070	5	27	0	0	3.527806269143297
2070	5	28	0	0	3.457972026875803
2070	5	29	0	0	1.5091199783649567
2070	5	30	0	0	2.624567160373924
2070	5	31	0	0	1.1464929330303155
2070	6	1	0	0	4.586363944011966
2070	6	2	0	0	0.7413162886895986
2070	6	3	0	0	3.3629192548757314
2070	6	4	0	0	4.286818251745629
2070	6	5	0	0	4.620518616541828
2070	6	6	0	0	4.404008524177592
2070	6	7	0	0	1.6290933570682797
2070	6	8	0	0	4.421822307848532
2070	6	9	0	0	3.132868162541079
2070	6	10	0	0	4.7159685118507175
2070	6	11	0	0	5.4507033675461525
2070	6	12	0	0	5.445986644913455
2070	6	13	0	0	5.215769161968065
2070	6	14	0	0	4.379460263506642
2070	6	15	0	0	5.130360863010649
2070	6	16	0	0	5.263942566760403
2070	6	17	0	0	6.165014335692691
2070	6	18	0	0	1.386526556087561
