[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
l_1;rz10_23;r110_23;r0011_23;r10_4;r110_4;r0011_4;z0011;m0011;m110;rch;offset;complete
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.4;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.3;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.2;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.1;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.1;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.2;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;20.0;0
1.3541734;1.6783195;8.51557;23.578726;0.8761345;38.907104;31.651451;49.22824;12.531568;2.355907;1.0846813;0.0;0
3.508645;3.0008142;44.024357;33.2049;3.4957356;14.564726;17.319283;12.774399;25.566637;4.4854636;0.8938797;0.0;0
