Municipality;Station ID;x-Koordinate;y-Koordinate;Zelle_x;Zelle_y;Mean_2013-2023 [m asl.];sim-obs;sim-int;int-obs
EX_Bad_Krozingen;0101/071-4 - LUBW;402439;5305371;122;410;246.09;-0.208548857700265;0.9084518747216066;-1.1170007324218716
EX_Bad_Krozingen;0118/020-6 - LUBW;399181;5311941;56;279;193.02;-3.2202790017507823;5.412720876178895;-8.632999877929677
EX_Bad_Krozingen;0159/070-6 - LUBW;403662;5307069;146;376;236.93;-3.912986452159913;2.4350134257697675;-6.347999877929681
EX_Bad_Krozingen;0130/070-4 - LUBW;400668;5309056;86;337;200.43;-7.335469610986564;0.5625333187009289;-7.898002929687493
EX_Breisach_am_Rhein;0011/070-8 - LUBW;400797;5314359;89;231;192.49;-5.799993286132803;0.3719940185546875;-6.171987304687491
EX_Breisach_am_Rhein;0247/020-6 - LUBW;397866;5313214;30;254;193.25;-1.0344299736736673;2.6975646552325827;-3.73199462890625
EX_Breisach_am_Rhein;0106/020-1 - LUBW;397828;5315182;29;214;191.97;-0.7620079795046593;2.099992752917217;-2.862000732421876
EX_Breisach_am_Rhein;PH 007 - Badenova;398831;5314403;49;230;192.18;-2.4264559021129912;3.632557769762002;-6.059013671874993
EX_Ehrenkirchen;0160/070-0 - LUBW;405428;5306537;181;387;245.08;-5.5800036621093625;0.3480072021484375;-5.9280108642578
EX_Ehrenkirchen;0118/070-0 - LUBW;404821;5310255;169;313;213.33;-8.590009749364782;2.5029944010258305;-11.093004150390612
EX_Eichstetten;0100/071-0 - LUBW;400664;5305133;86;415;225.47;-6.0529824550910405;-0.0069912441535393555;-6.045991210937501
EX_Freiburg_im_Breisgau;2279/070-0 - Stadt Freiburg;409120;5315620;255;205;226.57;-3.030006103515632;0.6219940185546875;-3.6520001220703193
EX_Freiburg_im_Breisgau;2176/069-8 - Stadt Freiburg;411040;5319920;294;119;223.17;1.9646055191408323;4.418613697851782;-2.45400817871095
EX_Freiburg_im_Breisgau;2170/069-5 - Stadt Freiburg;410540;5318720;284;143;227.56;1.1571013569019897;3.4161016010426124;-2.2590002441406227
EX_Freiburg_im_Breisgau;2142/070-6 - Stadt Freiburg;409940;5315000;272;218;232.08;-4.2700061035156125;0.5189971923828125;-4.789003295898425
EX_Freiburg_im_Breisgau;2250/069-0 - Stadt Freiburg;411640;5318400;306;150;233.58;-1.1065245426110266;4.672484246451461;-5.7790087890624875
EX_Freiburg_im_Breisgau;0107/120-0 - Stadt Freiburg;418400;5315360;441;211;314.16;-4.239834309005914;2.4811776538846857;-6.7210119628906
EX_Freiburg_im_Breisgau;2215/069-1 - Stadt Freiburg;410120;5322160;275;75;206.8;0.3468424439321893;0.9628428101431155;-0.6160003662109261
EX_Freiburg_im_Breisgau;2215/119-8 - Stadt Freiburg;414020;5321320;353;91;219.57;-2.5795631928652654;0.13142740772067896;-2.7109906005859443
EX_Freiburg_im_Breisgau;2070/069-8 - Stadt Freiburg;405040;5317540;174;167;202.35;-0.7557503495156084;0.5382621016562723;-1.2940124511718807
