[-];[-];[-];[-];[-];[m];
c1;c2;c3;c4;rch;offset;complete
1.0;1.0;1.0;1.0;1.5;0.0;0
1.0;1.0;1.0;1.0;1.4;0.0;0
1.0;1.0;1.0;1.0;1.3;0.0;0
1.0;1.0;1.0;1.0;1.2;0.0;0
1.0;1.0;1.0;1.0;1.1;0.0;0
1.0;1.0;1.0;1.0;1.0;0.0;0
1.0;1.0;1.0;1.0;0.9;0.0;0
1.0;1.0;1.0;1.0;0.8;0.0;0
1.0;1.0;1.0;1.0;0.7;0.0;0
1.0;1.0;1.0;1.0;0.6;0.0;0
1.0;1.0;1.0;1.0;0.5;0.0;0
1.0;1.0;1.0;1.0;1.0;0.1;0
1.0;1.0;1.0;1.0;1.0;0.2;0
1.0;1.0;1.0;1.0;1.0;0.3;0
1.0;1.0;1.0;1.0;1.0;0.4;0
1.0;1.0;1.0;1.0;1.0;0.5;0
1.0;1.0;1.0;1.0;1.0;0.6;0
1.0;1.0;1.0;1.0;1.0;0.7;0
1.0;1.0;1.0;1.0;1.0;0.8;0
1.0;1.0;1.0;1.0;1.0;0.9;0
1.0;1.0;1.0;1.0;1.0;1.0;0
1.0;1.0;1.0;1.0;1.0;1.5;0
1.0;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;20.0;0
0.53365725;1.7031139;1.6681085;1.6681085;0.871531;0.0;0
1.627466;8.804872;6.960772;3.4638567;1.0031984;0.0;0
6.8621845;6.5395207;2.8730783;2.8730783;1.1227612;0.0;0
7.4731455;5.810929;1.8497567;1.8497567;0.82925546;0.0;0
9.678347;7.5382533;5.0835686;5.0835686;0.9687438;0.0;0
3.325671;7.2873898;7.2873898;7.127897;1.0766407;0.0;0
3.7675512;1.1942092;1.1942092;1.1942092;1.1909769;0.0;0
4.7486024;9.994715;7.248186;0.8705652;1.0770516;0.0;0
1.9757664;9.424708;4.6735535;4.6735535;0.7900419;0.0;0
1.386223;8.97626;4.09735;0.25399828;0.9107807;0.0;0
4.8094788;6.2606626;3.6592567;3.6592567;0.9254661;0.0;0
2.3464026;5.2756343;1.5412515;1.5412515;0.94413674;0.0;0
6.7311587;5.4091578;3.3930743;3.3930743;1.2208092;0.0;0
4.427804;0.24787575;0.24787575;0.24787575;0.76785165;0.0;0
8.343514;5.0447483;1.1114526;1.1114526;0.9010868;0.0;0
7.0326247;6.2753186;6.2753186;0.8399116;0.996228;0.0;0
3.1924298;6.6211915;1.1642156;1.1642156;0.793198;0.0;0
8.339372;3.3881807;3.3881807;1.0321685;0.99176896;0.0;0
8.067167;4.765695;4.765695;4.765695;0.8035644;0.0;0
