[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.25;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.2;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.15;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.1;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.05;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.95;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.9;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.85;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.8;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.75;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.1;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.2;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.3;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.4;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.5;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.6;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.7;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.8;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.9;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;1.5;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;2.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;2.5;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;5.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;10.0;0
493.3442;79.25691;4.058698;7.4517884;59.392452;3.2885656;1.4311701;2.4397585;2.3940065;1.9139718;2.1397047;50.08556;0.7602996;2.3583803;0.6657364;1.8106574;1.8625437;1.0508378;11.640149;0.7602996;1.9438776;1.8106574;1.0276113;0.0;0
408.76074;71.61931;2.3413928;6.6268325;52.43062;9.767665;0.8281548;1.1410239;1.7066722;1.4124197;2.3664315;52.43062;2.2368379;2.3915608;1.1410239;1.0658284;0.819877;0.99095887;9.6558;1.5956951;0.92413026;1.0658284;1.009712;0.0;0
430.8579;78.7928;7.206366;3.99203;55.06397;6.8738422;2.0648406;1.505607;1.4568229;1.4972615;2.4237003;53.58158;2.404669;1.7917694;1.2952534;0.86146307;0.7133217;1.5939795;7.260608;1.6904498;2.4263225;0.7142806;0.9619032;0.0;0
536.6098;76.50457;3.448991;8.7970085;57.455223;5.109301;0.5743281;1.7707547;2.4970915;0.7029492;0.7379444;56.949894;0.60452455;1.381601;0.73337716;1.579964;0.7029492;0.7379444;8.757374;0.60452455;1.542513;1.579964;0.9783407;0.0;0
548.95245;75.768616;2.5083623;9.1815605;51.58511;7.5590434;1.9022782;1.8810858;1.0297328;1.2815721;1.2821709;51.58511;2.4245622;1.5699196;1.2033529;1.0297328;1.0544083;0.788195;10.902772;0.7266757;1.303712;1.0297328;1.0216125;0.0;0
593.50195;77.51339;5.480856;7.4691443;54.374874;4.860832;1.3030205;2.1906843;1.9120759;0.8652662;0.74464256;54.374874;1.9841213;2.12918;1.588952;1.9120759;0.8652662;0.74464256;12.390241;0.6999424;1.3009838;1.1901542;1.0205326;0.0;0
465.16507;77.25999;7.7287846;7.3599863;56.532814;1.8708656;1.0301024;0.9416911;0.95060563;0.5129709;2.3686867;52.19897;1.8708656;0.9822038;0.75399804;0.95060563;0.5129709;0.7011228;10.077689;0.9406315;1.5825226;0.95060563;0.9573882;0.0;0
474.09195;71.10526;3.3533473;5.387707;58.81954;5.4278817;2.420922;2.2246952;1.3802671;1.3258774;1.4044589;58.81954;0.54959977;2.3384807;0.619585;1.3802671;1.3258774;1.4044589;8.554458;0.54959977;1.909336;0.95422596;1.0364114;0.0;0
493.91116;79.99466;7.470555;1.6082972;56.54103;9.594157;1.0841236;0.7025414;1.2584532;0.70841885;2.3197742;56.54103;2.3841686;0.7559627;0.7025414;0.6884063;0.70841885;0.7996868;12.810449;0.9549595;1.0224477;0.6884063;1.0047743;0.0;0
437.89426;79.4189;5.1039734;9.991164;50.80084;3.3806763;0.92340696;0.6297489;2.008638;0.8707281;1.4081922;50.706165;0.8622819;2.4905124;0.6297489;0.99084;0.8707281;0.5625537;16.73605;0.8622819;1.9960278;0.99084;0.99673164;0.0;0
425.9843;78.96592;4.5743318;1.041554;53.215614;1.3811616;1.3629289;2.242178;1.4349321;1.1153872;0.6815927;52.204136;0.6583157;1.6933974;1.17663;1.4349321;1.1153872;0.6815927;6.973355;0.6583157;1.05313;1.4349321;0.99478483;0.0;0
495.141;76.22289;4.17164;5.4081163;53.509323;7.6462526;1.1044898;1.1501889;1.1926863;1.406651;1.2146964;50.8237;2.2220056;1.1636318;1.1102554;1.1926863;1.406651;1.2146964;6.8556414;2.2220056;1.9184632;0.7719686;0.9650093;0.0;0
445.38187;75.22791;2.2247868;4.2409225;53.882736;5.035084;1.9556178;2.0927768;1.0838699;0.9816077;2.4428554;51.433327;2.0914633;0.5234646;0.5617548;1.0838699;0.8104826;2.353895;9.425843;2.0696824;0.60478336;1.0838699;0.9524883;0.0;0
533.96277;75.362785;3.9269674;7.9628043;59.416187;3.9458146;0.5603184;2.048092;2.1762586;2.4053106;2.253028;50.555786;1.3949264;1.7569044;0.53731954;0.5397079;2.276191;0.5624902;10.694035;1.3949264;1.4950446;0.5397079;1.0061871;0.0;0
