ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
;419546.58;5315407.262;464;210;Freiburg im Breisgau;Badenova WW Ebnet;;2498831;2544800;2340926;3245011.88;2691633.51;2655796.98;3044074.19;2474499;2357106;2995339;7355.62126;2;
;419535.587;5315270.315;464;212;Freiburg im Breisgau;Badenova WW Ebnet;;2234277;2677791.1;2724022;3810099.18;3158564.68;3576780.05;3351621.19;3098360;3103252;2876813;8386.734301;2;
;399150.973;5311884.807;56;280;Bad Krozingen;Badenova WW Hausen;;1730880;2130850;1485280;1490400;1898700;1319790;1611050;1689250;1759758;1774370;4627.487123;2;
;420206.856;5314304.565;477;232;Kirchzarten;Badenova WW Ebnet;;475641;557943;256678.4;341699.39;474575.63;482945.87;247268.21;551821.52;470354.19;271310.1;1131.571863;3;
;419601.566;5315035.405;465;217;Freiburg im Breisgau;Badenova WW Ebnet;;1514885;1254783;1377995;1148650;1450379;1594418.67;1330563.07;1787528.68;1429786.33;1615526.16;3973.839699;2;
;421155.927;5312713.324;496;264;Kirchzarten;Badenova WW Ebnet;;437969;459746;238482;344239;282981;107720.8;99924;76164.5;297198.9;184174.2;692.7669589;3;
;399660.944;5312608.625;66;266;Bad Krozingen;Badenova WW Hausen;;2484880;2033040;2150430;2185710;2560010;1709274;2105920;1667900;1988700;1721290;5645.795616;2;
;419626.563;5314642.561;465;225;Kirchzarten;Badenova WW Ebnet;;622071;596765;634036;517829;401141;407061;84346;638937.56;542515.95;284479;1295.666164;3;
;399577.519;5312482.069;64;268;Bad Krozingen;Badenova WW Hausen;;2472540;2436150;2139520;2063370;2745140;1646690;2133820;1493149;2079890;1720340;5734.413425;2;
;399320.965;5312294.489;59;272;Bad Krozingen;Badenova WW Hausen;;800350;1837550;1437110;1556270;1987870;1348190;1725670;1532610;1996140;1751690;4376.287671;2;
;419308.689;5314492.622;459;228;Kirchzarten;Badenova WW Ebnet;;621951;704776;896949;336060;502426;540266;515662;486991;362794;349476;1456.808493;3;
;399496.947;5312359.225;63;271;Bad Krozingen;Badenova WW Hausen;;1468460;1260860;1138670;1152470;1383680;886230;1332130;1501580;1511550;1694510;3652.093151;2;
;400734.188;5312953.674;88;259;Bad Krozingen;Badenova WW Hausen;;0;0;787056;875925;322217;2506659;2276472;2007924;1811839;2004300;4312.463014;2;
11/170-2;427199.58;5316368.91;617;190;Buchenbach;oeffentliche Wasserversorgung;36254;31653;25107;25654;17931;15833;13057;8706;2367;10419;11572;49.45287671;3;
110/169-5;432763.41;5318276.18;728;152;Sankt Maergen;oeffentliche Wasserversorgung;112491;76181;73331;94240;79796;84447;77931;64660;64385;68760;59493;213.129589;2;
