rno;idv;iconr;cprior
5583;1;6304;FRACTION
8437;1;9065;FRACTION
9442;1;11330;FRACTION
10446;1;11619;FRACTION
11534;1;11599;FRACTION
12515;1;13376;FRACTION
14010;1;13971;FRACTION
15766;1;18136;FRACTION
16215;1;16520;FRACTION
16350;1;15449;FRACTION
16609;1;18862;FRACTION
17898;1;16502;FRACTION
18325;1;19638;FRACTION
18445;1;19701;FRACTION
18745;1;17392;FRACTION
18781;1;19972;FRACTION
18782;1;20159;FRACTION
18878;1;19490;FRACTION
18970;1;20329;FRACTION
19613;1;20245;FRACTION
19745;1;20345;FRACTION
19872;1;20369;FRACTION
20228;1;18879;FRACTION
20920;1;20196;FRACTION
23894;1;22940;FRACTION
23911;1;24486;FRACTION
