rno;k;i;j;rlen;rwid;rgrd;rtp;rbth;rhk;man;ncon;ustrf;ndv;line_id
20089;2;152;221;10.103309631347656;0.800000011920929;0.019796701707593897;211.2100067138672;1;1.0;0.03700000047683716;1;1.0;0;705
20090;2;152;220;54.258697509765625;0.800000011920929;0.007924861736753979;211.00999450683594;1;1.0;0.03700000047683716;2;1.0;0;705
20091;2;152;219;51.093849182128906;0.8542584776878357;0.008611651861221481;210.5800018310547;1;1.0;0.03700000047683716;2;1.0;0;705
20092;2;152;218;50.72098159790039;0.9755739569664001;0.004928926691165394;210.13999938964844;1;1.0;0.03700000047683716;2;1.0;0;705
20093;2;152;217;51.58258819580078;1.0974717140197754;0.0001;209.88999938964844;1;1.0;0.03700000047683716;2;1.0;0;705
20094;2;153;217;12.001823425292969;1.173234462738037;0.004999036935280143;209.88999938964844;1;1.0;0.03700000047683716;2;1.0;0;705
20095;2;153;216;51.935665130615234;1.2494179010391235;0.0075092788099971625;209.8300018310547;1;1.0;0.03700000047683716;2;1.0;0;705
20096;2;154;216;22.344205856323242;1.3379247188568115;0.010741285445870646;209.44000244140625;1;1.0;0.03700000047683716;2;1.0;0;705
20097;2;154;215;52.74956130981445;1.4274011850357056;0.0036019719726256495;209.1999969482422;1;1.0;0.03700000047683716;2;1.0;0;705
20098;2;154;214;51.482479095458984;1.551596760749817;0.0005826988098465725;209.00999450683594;1;1.0;0.03700000047683716;2;1.0;0;705
20099;2;154;213;55.024810791015625;1.678503394126892;0.0023623820264850786;208.97999572753906;1;1.0;0.03700000047683716;2;1.0;0;705
20100;2;154;212;24.016481399536133;1.7726835012435913;0.005413152769956176;208.85000610351562;1;1.0;0.03700000047683716;2;1.0;0;705
20101;2;155;212;30.431638717651367;1.8375600576400757;0.010515612622370383;208.72000122070312;1;1.0;0.03700000047683716;2;1.0;0;705
20102;2;155;211;59.75980758666992;1.9450260400772095;0.0001;208.39999389648438;1;1.0;0.03700000047683716;2;1.0;0;705
20103;2;155;210;10.53673267364502;2.0287864208221436;0.008541199694258938;208.39999389648438;1;1.0;0.03700000047683716;2;1.0;0;705
20104;2;156;210;54.47428512573242;2.1062490940093994;0.0011013923074946147;208.30999755859375;1;1.0;0.03700000047683716;2;1.0;0;705
20105;2;156;209;26.52784538269043;2.202765464782715;0.007539132762462746;208.25;1;1.0;0.03700000047683716;2;1.0;0;705
20106;2;157;209;40.11838912963867;2.2821767330169678;0.0017450183254499113;208.0500030517578;1;1.0;0.03700000047683716;2;1.0;0;705
20107;2;157;208;27.15275764465332;2.3623321056365967;0.005155991574800688;207.97999572753906;1;1.0;0.03700000047683716;2;1.0;0;705
20108;2;158;208;41.135276794433594;2.443699598312378;0.0001;207.83999633789062;1;1.0;0.03700000047683716;2;1.0;0;705
20109;2;158;207;52.878936767578125;2.555720090866089;0.0037821665953921453;207.83999633789062;1;1.0;0.03700000047683716;2;1.0;0;705
20110;1;158;206;51.350345611572266;2.6799123287200928;0.0029209909825918;207.63999938964844;1;1.0;0.03700000047683716;2;1.0;0;705
20111;1;158;205;50.035423278808594;2.8007166385650635;0.004996460179959785;207.49000549316406;1;1.0;0.03700000047683716;2;1.0;0;705
20112;1;158;204;50.1183967590332;2.920053243637085;0.0001;207.24000549316406;1;1.0;0.03700000047683716;2;1.0;0;705
20113;1;158;203;51.58463668823242;3.0412354469299316;0.0029080200017703693;207.24000549316406;1;1.0;0.03700000047683716;2;1.0;0;705
20114;1;158;202;23.170215606689453;3.130307912826538;0.01294778852516154;207.08999633789062;1;1.0;0.03700000047683716;2;1.0;0;705
20115;1;157;202;29.29616355895996;3.1928231716156006;0.006485053315422308;206.7899932861328;1;1.0;0.03700000047683716;2;1.0;0;705
20116;1;157;201;50.4533805847168;3.2878475189208984;0.0071353119687804015;206.60000610351562;1;1.0;0.03700000047683716;1;1.0;0;337
20117;1;157;200;50.311580657958984;3.407911777496338;0.007354377881547022;206.24000549316406;1;1.0;0.03700000047683716;2;1.0;0;337
20118;1;157;199;51.52164077758789;3.5292491912841797;0.0001;205.8699951171875;1;1.0;0.03700000047683716;2;1.0;0;337
20119;1;157;198;50.283294677734375;3.650552749633789;0.004971830139656718;205.8699951171875;1;1.0;0.03700000047683716;2;1.0;0;337
20120;2;157;197;52.232051849365234;3.772703170776367;0.0001;205.6199951171875;1;1.0;0.03700000047683716;2;1.0;0;337
20121;1;157;196;10.529943466186523;3.8474857807159424;0.0294396223103387;205.6199951171875;1;1.0;0.03700000047683716;2;1.0;0;337
20122;2;156;196;46.35029220581055;3.9152603149414062;0.005825298172059621;205.30999755859375;1;1.0;0.03700000047683716;2;1.0;0;337
20123;2;156;195;56.15995407104492;4.037404537200928;0.005875834083627933;205.0399932861328;1;1.0;0.03700000047683716;2;1.0;0;337
20124;2;156;194;50.42059326171875;4.164398193359375;0.0001;204.7100067138672;1;1.0;0.03700000047683716;2;1.0;0;337
20125;2;156;193;3.3577046394348145;4.2284770011901855;0.08339448169362236;204.7100067138672;1;1.0;0.03700000047683716;2;1.0;0;337
20126;2;155;193;47.106197357177734;4.2886061668396;0.019742469737679725;204.42999267578125;1;1.0;0.03700000047683716;2;1.0;0;337
20127;2;155;192;50.26342010498047;4.4046244621276855;0.002984156194924597;203.5;1;1.0;0.03700000047683716;2;1.0;0;337
20128;2;155;191;52.92636489868164;4.527578353881836;0.008691447348552856;203.35000610351562;1;1.0;0.03700000047683716;2;1.0;0;337
20129;2;155;190;51.9764518737793;4.652574062347412;0.002693515709545064;202.88999938964844;1;1.0;0.03700000047683716;2;1.0;0;337
20130;2;155;189;50.93684387207031;4.775197982788086;0.0001;202.75;1;1.0;0.03700000047683716;2;1.0;0;337
20131;2;155;188;4.512964725494385;4.841268062591553;0.0001;202.75;1;1.0;0.03700000047683716;2;1.0;0;337
20132;2;154;188;45.7164421081543;4.901118278503418;0.004593680176824812;202.75;1;1.0;0.03700000047683716;2;1.0;0;337
20133;2;154;187;33.5311393737793;4.995543956756592;0.005964513940691835;202.5399932861328;1;1.0;0.03700000047683716;2;1.0;0;337
20134;2;155;187;17.048805236816406;5.055811405181885;0.0011724583273852703;202.33999633789062;1;1.0;0.03700000047683716;2;1.0;0;337
20135;2;155;186;50.75021743774414;5.136595726013184;0.009655239285726366;202.32000732421875;1;1.0;0.03700000047683716;2;1.0;0;337
20136;2;155;185;50.6830940246582;5.2574567794799805;0.00512980732213084;201.8300018310547;1;1.0;0.03700000047683716;1;1.0;0;877
20137;2;155;184;50.342132568359375;5.377831935882568;0.007548446270060032;201.57000732421875;1;1.0;0.03700000047683716;2;1.0;0;877
20138;2;155;183;50.19293212890625;5.497622489929199;0.0001;201.19000244140625;1;1.0;0.03700000047683716;2;1.0;0;877
20139;2;155;182;50.128658294677734;5.61715841293335;0.00578528440192994;201.19000244140625;1;1.0;0.03700000047683716;2;1.0;0;877
20140;2;155;181;50.08134841918945;5.736561298370361;0.0001;200.89999389648438;1;1.0;0.03700000047683716;2;1.0;0;877
20141;2;155;180;15.925397872924805;5.815210819244385;0.007534826956600369;200.89999389648438;1;1.0;0.03700000047683716;2;1.0;0;877
20142;2;154;180;35.15987014770508;5.87608003616333;0.0001;200.77999877929688;1;1.0;0.03700000047683716;2;1.0;0;877
20143;2;154;179;53.97490310668945;5.982287406921387;0.010189977565511314;200.77999877929688;1;1.0;0.03700000047683716;2;1.0;0;877
20144;2;154;178;46.107025146484375;6.101537704467773;0.0001;200.22999572753906;1;1.0;0.03700000047683716;2;1.0;0;877
20145;2;153;178;10.504267692565918;6.168992042541504;0.0001;200.22999572753906;1;1.0;0.03700000047683716;2;1.0;0;877
20146;2;153;177;52.750282287597656;6.244361400604248;0.0001;200.22999572753906;1;1.0;0.03700000047683716;2;1.0;0;877
20147;2;153;176;12.079022407531738;6.3216071128845215;0.009106747768178065;200.22999572753906;1;1.0;0.03700000047683716;2;1.0;0;877
19124;2;428;231;11.041350364685059;3.801600217819214;0.32966838390543196;376.42999267578125;1;1.0;0.03700000047683716;2;1.0;0;877
19125;2;427;231;61.725563049316406;3.801600217819214;0.0001;372.7900085449219;1;1.0;0.03700000047683716;2;1.0;0;877
19126;3;426;231;5.09847354888916;3.801600217819214;0.45;372.7900085449219;1;1.0;0.03700000047683716;2;1.0;0;877
19127;2;426;230;61.22480010986328;3.801600217819214;0.023192936646721556;367.8599853515625;1;1.0;0.03700000047683716;1;1.0;0;824
19128;2;426;229;16.80689239501953;3.801600217819214;0.22193341271307582;366.44000244140625;1;1.0;0.03700000047683716;2;1.0;0;824
19129;2;425;229;55.38568115234375;3.801600217819214;0.019318653926049024;362.7099914550781;1;1.0;0.03700000047683716;2;1.0;0;824
19130;2;425;228;13.207040786743164;3.801600217819214;0.2324523240134408;361.6400146484375;1;1.0;0.03700000047683716;2;1.0;0;824
19131;2;424;228;61.452884674072266;3.801600217819214;0.0032547244623593336;358.57000732421875;1;1.0;0.03700000047683716;2;1.0;0;824
