x;y;elevation;elevation_interp;depth
0;27;347.33;;
1;27;348.32;;
2;27;349.14;;
3;26;350.02;;
4;27;351.03;349.53;1.5
5;26;351.51;350.01;1.5
6;26;352.23;350.73;1.5
7;27;353.9;352.4;1.5
8;26;354.09;352.59;1.5
9;27;355.23;;
10;28;356.36;;
11;28;357.08;;
12;29;357.89;;
13;30;;;
14;31;;;
15;32;;;
16;32;;;
17;32;;;
18;32;;;
19;32;;;
20;32;;;
21;32;;;
22;32;;;
23;32;;;
24;32;;;
25;31;;;
26;31;;;
27;31;;;
28;31;;;
29;31;;;
30;32;;;
31;33;;;
32;33;;;
33;33;;;
34;33;;;
35;34;;;
36;34;;;
37;33;;;
38;33;;;
39;34;;;
