model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0.0;0;371.3532316826682;68.48187777636048;379.09304341804295;68.48187777636048;-45.89644613372294;-0.3894152993451034;-0.3947439859809633;0.0975609756097561
1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.4;0.0;0;342.078191299072;61.39987500481058;349.95828150311337;61.39987500481058;-42.10543343214155;-0.3812376669461649;-0.3935934640704808;0.07317073170731707
2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.3;0.0;0;312.80947045078955;54.24250841311411;320.836944724492;54.24250841311411;-38.31821364984262;-0.3764377522772227;-0.39204106834019875;0.07317073170731707
3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.2;0.0;0;283.55264792022456;47.086922088183684;291.72379292670695;47.086922088183684;-34.53076980470109;-0.3639935290614468;-0.39032470289896026;0.07317073170731707
4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.1;0.0;0;254.2936855470798;39.93119695421089;262.6078964330326;39.93119695421089;-30.742908952455682;-0.3419494765077865;-0.3882774038690728;0.07317073170731707
5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0;225.03453834917062;32.77523426623591;233.492180313664;32.77523426623591;-26.95518745311053;-0.3398161810993678;-0.3857409295868389;0.04878048780487805
6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.0;0;195.783497164961;25.621820493840033;204.42498340254474;25.621820493840033;-23.169124078128405;-0.318127677780444;-0.38246086985114697;0.04878048780487805
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.0;0;166.5206024690021;18.46413175498651;175.34140515928556;19.899991572873006;-19.380240665123406;-0.27243960111680937;-0.3783849578696098;0.04878048780487805
8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0.0;0;137.25922323379535;11.181364981164734;146.26079495070428;16.5720379531505;-15.594610550649056;-0.21131927177572432;-0.37290062102455246;0.04878048780487805
9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0.0;0;108.01005779615721;4.884785773590551;117.19580910676707;15.012843391447916;-11.869921562079762;-0.18607495789333525;-0.36627022006113863;0.21951219512195122
10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0;78.74315016035685;-1.3253870361718612;89.60391866503232;12.123299844281547;-8.36255026905614;-0.2971281697529856;-0.35552353102543943;0.2926829268292683
11;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.1;0;225.02766845565495;32.76761727639732;233.5017369552204;32.76761727639732;-26.9526931079022;-0.3398161810993678;-0.3858096874516027;0.04878048780487805
12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.2;0;225.0033115900418;32.75959541489945;233.50034018257455;32.75959541489945;-26.950210556978163;-0.3398161810993678;-0.38574801177766893;0.04878048780487805
13;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3;0;226.22921630646448;33.39542218551745;234.748667775575;33.39542218551745;-27.186342447786735;-0.3398161810993678;-0.3841578266695479;0.04878048780487805
14;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4;0;224.97022422897666;32.74034727864327;233.5109757157631;32.74034727864327;-26.944589404337037;-0.3398161810993678;-0.38570898315650354;0.04878048780487805
15;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0;224.9529318808021;32.727852709043106;233.5158932668986;32.727852709043106;-26.941129883255766;-0.3398161810993678;-0.3856857844789294;0.04878048780487805
16;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0;224.90977782935477;32.69058078601725;233.50294520468566;32.69058078601725;-26.930134888287757;-0.3398161810993678;-0.38566729255437304;0.04878048780487805
17;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0;224.87434407427668;32.65562355444686;233.49647364799213;32.65562355444686;-26.91972332688471;-0.3398161810993678;-0.38568999798592773;0.04878048780487805
