model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0.0;0;126.00680593801448;62.39929367063394;134.14353109571607;62.39929367063394;-28.20070233011276;-0.2898500066286645;-0.4663601709351678;0.10256410256410256
1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.4;0.0;0;114.24195798693293;56.00639530702233;122.52615538092509;56.00639530702233;-25.657366498939354;-0.28031614870594823;-0.46420647014604055;0.07692307692307693
2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.3;0.0;0;102.4984799176985;49.61323631202657;110.93761953877028;49.61323631202657;-23.1168537148896;-0.2747201886208757;-0.46158418418782415;0.07692307692307693
3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.2;0.0;0;90.74646253308559;43.22327567033341;99.33664061682352;43.22327567033341;-20.575810022829533;-0.2602121439558729;-0.4582436585988703;0.07692307692307693
4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.1;0.0;0;78.9923841282624;36.833535049310456;87.7329648032384;36.833535049310456;-18.034554956726986;-0.23451217912072492;-0.45388373014426664;0.07692307692307693
5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0;67.23901868542244;30.443572137086562;76.13038587886416;30.443572137086562;-15.49336615428635;-0.23202508574958158;-0.4479782201359589;0.05128205128205128
6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.0;0;55.49391132987286;24.054186888131312;64.57855070784551;24.054186888131312;-12.953251188677237;-0.2067396364762909;-0.43958621389176383;0.05128205128205128
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.0;0;43.735295816712956;17.66352628796423;53.008447362908356;19.565971638761283;-10.411277331840541;-0.15368164455856612;-0.42666828795508827;0.05128205128205128
8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0.0;0;31.980827238723016;10.812488139505803;41.444018018037546;16.30227171539758;-7.872602737032562;-0.08065920809635131;-0.405709652486615;0.05128205128205128
9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0.0;0;20.235606370486796;4.1552724760924775;29.89242185087152;14.832541113702064;-5.396809209274511;-0.05030374337900572;-0.3860825657595056;0.23076923076923078
10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0;8.479832389392342;-1.441775631637256;19.89756338148708;11.887363591471626;-3.1507944214341723;-0.16837749553548675;-0.3215220538439984;0.3076923076923077
