[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.4;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.3;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.2;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.1;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.1;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.2;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;20.0;0
571.0;11.0;662.0;12.5;6.7;1.27;0.21;1.25;1.55;1.17;0.0;0
83.0;531.0;614.0;62.0;1.16;0.91;1.89;1.06;0.31;1.22;0.0;1
686.21844;35.27652;653.9521;58.821495;2.808288;0.3074159;1.7369282;0.20032398;1.4935898;0.99909705;0.0;0
747.3145;17.381866;581.0929;88.52125;1.7756636;1.617237;1.8210226;0.23097329;0.32543665;1.1070251;0.0;0
967.83466;853.1254;753.8253;47.43708;5.0388737;0.07525722;1.4465492;1.610551;0.88060033;0.97501695;0.0;0
332.5671;55.959805;728.73895;17.88094;7.5066547;1.3612872;1.4226782;1.2671659;1.31003;1.0674944;0.0;0
376.7551;529.5472;119.42093;21.536745;2.70329;0.95706934;0.9913777;1.5146791;1.765088;0.8007582;0.0;0
474.86026;618.8379;999.47144;84.62105;7.22317;0.15984562;0.16489138;1.8113408;1.3116653;1.1318926;0.0;0
197.57664;206.18951;942.4708;0.97122335;4.625131;1.3802369;1.9980679;0.46027583;0.16936685;0.75163776;0.0;0
138.62228;896.77356;897.62604;86.926125;4.0436897;0.97091943;0.04095521;0.7345298;0.6499073;1.0710776;0.0;0
480.94788;198.19481;626.0662;5.6532497;3.6016135;1.7216016;0.99584085;1.5868185;0.70835507;1.1631569;0.0;0
234.64026;885.66986;527.5634;39.22668;1.4643538;0.42517754;0.7405973;0.52618986;0.7826642;1.1333965;0.0;0
673.11584;765.36035;540.9158;80.037605;3.3330114;0.014576148;1.5545034;1.0170213;1.8838209;0.8236587;0.0;0
442.7804;248.33553;24.787575;40.820778;8.793723;0.26966876;1.4742029;0.89246684;0.08104967;1.1721237;0.0;0
834.35144;159.23672;504.4748;82.25259;1.0306475;0.546524;1.2598189;1.1946573;0.6113255;0.7895979;0.0;0
703.26245;323.07037;627.53186;10.119854;9.583417;1.3079664;0.1587297;1.9765238;0.98998725;0.78317857;0.0;0
319.24298;403.97107;662.11914;51.203068;1.0838903;0.73166;0.4813304;0.21639286;0.18192808;1.1613033;0.0;0
833.9372;253.32683;338.81808;58.289154;3.626696;0.24531136;0.19737528;0.97443837;0.97224057;0.8412602;0.0;0
806.71674;998.90265;476.56952;89.09777;6.0669985;1.9633312;1.9581629;1.9183837;0.22318655;0.97352946;0.0;0
393.6036;237.35582;639.9475;9.452779;8.380035;0.22537261;0.26428795;0.702275;1.6771866;1.2183166;0.0;0
295.44482;832.3285;434.02246;33.92621;1.4443923;0.71668947;1.9347135;1.4837886;0.54746795;0.8544819;0.0;0
685.67053;167.52657;962.51385;65.96887;1.4196112;1.7544425;0.23429722;1.8592482;1.0507922;1.1402919;0.0;0
148.35497;980.4422;708.3877;97.99502;6.2874975;1.3087046;1.7258384;0.48880878;1.2404525;1.0422199;0.0;0
207.90912;233.26822;11.261009;84.842606;2.9345388;0.6463978;1.153514;0.1719467;0.61839396;0.9528479;0.0;0
17.288647;427.47168;33.046688;84.664856;6.448576;1.9409901;1.6651341;0.16062912;0.7091163;0.9796154;0.0;0
789.0551;562.97845;693.3972;51.766533;8.207626;1.0071862;1.2717276;0.15525731;1.025927;0.9551553;0.0;0
668.20233;129.08286;418.51865;56.473484;0.7779364;0.026138693;1.539986;0.7075365;1.612815;1.1636515;0.0;0
708.1137;818.65186;841.07623;85.872154;8.446496;0.02226504;1.464315;0.2611671;0.91085684;1.1569928;0.0;0
782.92175;281.9387;181.28525;86.97559;0.38547772;1.8826085;0.52777207;0.8160014;0.98688287;0.9367099;0.0;0
464.32663;553.7772;23.688644;80.24723;8.989274;0.56954944;1.8707461;1.5107139;1.1957712;1.0986243;0.0;0
573.0538;554.13745;394.20154;81.87527;9.756425;1.6260092;1.2908558;0.60347015;0.8561708;1.0159335;0.0;0
148.39903;606.61426;738.7035;87.97502;6.6778774;0.09668444;0.4121474;0.9640422;1.454896;1.1241093;0.0;0
123.38477;64.93113;972.01044;11.466815;9.8427105;0.30236503;0.6190236;0.2634639;0.019766139;0.7750232;0.0;0
671.71893;176.93257;884.8173;29.334673;8.221699;1.7149912;1.0707715;1.3995966;0.9712093;0.91801715;0.0;0
476.38525;169.58032;489.23386;97.61374;0.45321134;1.9882417;1.7648352;0.6421728;1.8468022;0.9179032;0.0;0
569.58374;309.03076;814.6891;54.52314;0.048071332;0.11332663;1.5955387;0.2790993;1.2356485;1.0484061;0.0;0
767.3489;153.46501;79.62715;17.728739;0.21777691;0.3435976;0.6110755;1.9097944;0.9779355;0.8538182;0.0;0
638.37115;922.7021;576.5496;50.35526;4.5245504;1.4485947;1.3800877;1.5415487;1.5463294;1.015847;0.0;0
558.0436;517.8249;925.0554;64.61384;6.237592;1.0637109;0.013297092;1.3081322;0.79207146;1.2399298;0.0;0
563.6151;627.3394;402.4213;82.83938;4.8199034;0.8178724;0.6719557;1.4487693;0.9398188;0.77175295;0.0;0
310.91058;363.9133;960.49963;81.23646;6.774532;0.3969904;1.6807945;0.85672975;0.39836785;1.0017219;0.0;0
40.509655;283.48367;228.47824;5.019225;4.50153;1.8914163;0.31089038;0.6036789;0.25716627;0.8191442;0.0;0
442.35022;508.1454;114.57747;45.407146;0.4352124;0.3528144;0.7132566;1.0049734;0.060790222;1.0412006;0.0;0
222.43883;301.37973;529.5147;2.1548488;2.2694054;0.5378466;0.012076201;1.6522634;1.4657028;0.8704314;0.0;0
414.44336;350.20947;908.1744;88.8268;9.926316;0.65535325;0.056034125;1.9279474;0.9416983;1.2012544;0.0;0
854.869;458.22336;318.1664;17.473217;3.4651797;0.28578055;0.3005778;1.2145098;1.879313;0.9089955;0.0;0
241.6001;510.67636;802.1587;62.524982;3.2544098;1.0771037;0.21270747;0.75895566;0.36186394;1.2291564;0.0;0
67.71971;984.4709;177.5053;57.104774;1.5363926;0.6892369;0.9845614;1.43923;0.49552703;0.7520674;0.0;0
288.57007;231.08936;748.1147;62.59039;9.871566;1.2196165;1.8010087;1.397165;1.2810646;1.1660573;0.0;0
300.6578;493.0964;561.45667;56.38532;2.3122885;0.7420376;0.178437;0.5024539;0.11864939;0.88084185;0.0;0
