model_run;c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
0;1.0;1.0;1.0;1.0;1.5;0.0;0;20.48614456381263;27.972176317967893;44.668473990039786;32.70279990971579;-10.708073497473197;-0.11786457131513514;-0.18358288062606834;0.04878048780487805
1;1.0;1.0;1.0;1.0;1.4;0.0;0;15.355368501013734;24.684976643149753;40.941457758730216;28.84182960351785;-9.53439027481308;-0.07609521204193978;-0.15019415524524427;0.04878048780487805
2;1.0;1.0;1.0;1.0;1.3;0.0;0;10.171086242022682;21.213555246796034;37.17331348277825;24.748021405963527;-8.311064663547777;-0.05172966448908509;-0.10523560417640147;0.04878048780487805
3;1.0;1.0;1.0;1.0;1.2;0.0;0;7.349714174275253;22.743922947085508;36.78871708303895;26.35875654625687;-8.646636464684839;0.007903143185832445;-0.009811103118761613;0.04878048780487805
4;1.0;1.0;1.0;1.0;1.1;0.0;0;1.00510130682674;17.297810191886953;31.433787056553374;19.523176805916677;-6.765263196276964;0.08208491899830517;0.12367954746983745;0.04878048780487805
5;1.0;1.0;1.0;1.0;1.0;0.0;0;-5.157164115881013;10.871788721057982;26.236691118877022;15.607197210644841;-4.866914646186942;0.2962269632998596;0.3563061674957837;0.0975609756097561
6;1.0;1.0;1.0;1.0;0.9;0.0;0;-10.279064709041377;5.695075384592116;22.92869292954309;10.047150773169903;-3.819600408901989;0.5223166397628839;0.4822653004619379;0.0975609756097561
7;1.0;1.0;1.0;1.0;0.8;0.0;0;-15.399144570066843;-1.9095308876554782;21.880803893364973;8.96907842476719;-2.9782827101589087;0.5810314983966036;0.4434464794935803;0.34146341463414637
8;1.0;1.0;1.0;1.0;0.7;0.0;0;-20.528159337467876;-9.394005194442116;24.5808785923769;11.313257287436954;-2.2462003309382435;0.5431075431696781;0.3730855352644373;0.2682926829268293
9;1.0;1.0;1.0;1.0;0.6;0.0;0;-25.67239903037919;-11.79695981275242;27.926087619063548;14.177626359931168;-1.6303792702469306;0.44405880134504927;0.29696361154964657;0.2926829268292683
10;1.0;1.0;1.0;1.0;0.5;0.0;0;-30.794770101473453;-15.357948878386736;32.02459863866159;15.83393661192602;-1.3805654790804032;0.38637524941033624;0.2333138474508211;0.21951219512195122
11;1.0;1.0;1.0;1.0;1.0;0.1;0;-5.1599276667600185;10.892938740090443;26.253312170691785;15.641682068893232;-4.873965959254188;0.2962269632998596;0.3568824487880296;0.0975609756097561
12;1.0;1.0;1.0;1.0;1.0;0.2;0;-5.190277218873423;10.85780868641848;26.241180864073986;15.681449081091415;-4.862206200311114;0.2962269632998596;0.35650736463278015;0.0975609756097561
13;1.0;1.0;1.0;1.0;1.0;0.3;0;-5.214094753812104;10.850412526057568;26.2383358661623;15.721345586105144;-4.859311241955827;0.2962269632998596;0.35756268367660604;0.0975609756097561
14;1.0;1.0;1.0;1.0;1.0;0.4;0;-5.220211858926305;10.847998792880418;26.252454499869046;15.762113326269429;-4.859134436390558;0.2962269632998596;0.3561368351584611;0.0975609756097561
15;1.0;1.0;1.0;1.0;1.0;0.5;0;-5.243570149320837;10.842361405934582;26.250084935465924;15.801821412315945;-4.857186662800885;0.2962269632998596;0.3574234284384613;0.0975609756097561
16;1.0;1.0;1.0;1.0;1.0;0.6;0;-5.289341486469384;10.783831227969387;26.230294926855777;15.853744488544606;-4.838736723022298;0.2925855746913794;0.3568040168894219;0.0975609756097561
17;1.0;1.0;1.0;1.0;1.0;0.7;0;-4.956392544339134;11.104101490748349;26.655166542661014;15.924591441743587;-4.95273538586836;0.26563929898862637;0.3229610338698621;0.07317073170731707
18;1.0;1.0;1.0;1.0;1.0;0.8;0;-5.152073638928371;11.067339085751087;26.5128906043902;15.972146281518405;-4.942152284010903;0.2964090327302836;0.3485604120577615;0.0975609756097561
19;1.0;1.0;1.0;1.0;1.0;0.9;0;-5.32204376907215;10.819367095362594;26.309356871887253;16.01526807699119;-4.857908971462102;0.2962269632998596;0.35492284312926087;0.0975609756097561
20;1.0;1.0;1.0;1.0;1.0;1.0;0;-5.472244731766942;10.602617487760824;26.157412968940317;16.06019321852699;-4.782507396424836;0.2942241995651955;0.35957700732240827;0.0975609756097561
21;1.0;1.0;1.0;1.0;1.0;1.5;0;-5.621185294074616;10.473479037157745;26.158796350729787;16.321201338956968;-4.748650223485809;0.3144532916511194;0.35725120324298043;0.0975609756097561
22;1.0;1.0;1.0;1.0;1.0;2.0;0;-5.115823713342551;11.654667958142454;27.198212915095212;16.62901130935373;-5.169776392143169;0.30278146279512386;0.3473981527413076;0.0975609756097561
23;1.0;1.0;1.0;1.0;1.0;2.5;0;-5.972502065083271;10.17238496102695;26.115825559272896;16.80293051702415;-4.665050173850708;0.3144532916511194;0.35834315064816274;0.07317073170731707
24;1.0;1.0;1.0;1.0;1.0;5.0;0;-6.902858838419473;9.339734134597393;25.958939439249768;17.510151062350218;-4.427075465286739;0.32655411152161173;0.36162084831774066;0.0975609756097561
25;1.0;1.0;1.0;1.0;1.0;10.0;0;-9.13248242807651;7.272715662286998;25.546685499428865;15.404656048309448;-3.837232960878371;0.32655411152161173;0.3684231194812661;0.07317073170731707
26;1.0;1.0;1.0;1.0;1.0;20.0;0;-15.671224556503201;0.34450900968047904;24.058834070826066;11.327581004552854;-2.040947593582542;0.3039501712910636;0.286175747035222;0.3170731707317073
27;4.3899384;32.21738;16.20145;16.20145;0.8291974;0.0;0;-46.03508142037502;-11.40062575533048;48.7756417015347;12.056407154355668;-1.915123201101661;0.43576524601696914;0.3025469042083433;0.17073170731707318
28;15.437407;59.20437;59.20437;59.20437;1.0965036;0.0;0;-54.68973730352086;-21.371537318483973;54.68973730352086;21.371537318483973;-1.0;;;0.07317073170731707
29;68.30807;2.5629284;2.5629284;2.5629284;0.89005446;0.0;0;-37.90220781395477;-15.715601075322922;38.49044676633227;15.715601075322922;-1.1872056653477083;0.20044593143431833;0.18531554452469942;0.0975609756097561
30;74.47877;0.75556856;0.75556856;0.75556856;0.8383716;0.0;0;-0.7675710939691094;14.518609200753332;29.366496721560864;17.326370462931806;-5.89803084920375;0.10274086141582177;0.15285358892451006;0.0975609756097561
31;96.7513;85.165665;75.13636;47.389725;1.0016954;0.0;0;-50.95508573779582;-18.576394608405764;51.367989669248054;18.576394608405764;-1.1241357631827351;0.20044593143431833;0.18531554452469942;0.07317073170731707
32;32.58928;4.6519403;4.6519403;4.6519403;1.1252079;0.0;0;-41.78370068278604;-16.575140289554383;42.32575950406298;16.575140289554383;-1.1705941730450964;0.20044593143431833;0.18531554452469942;0.0975609756097561
33;37.052265;52.48427;11.061514;11.061514;0.8847993;0.0;0;-45.36899116040213;-13.763404549749765;45.88187499588235;13.763404549749765;-1.128225091176248;0.20044593143431833;0.18531554452469937;0.24390243902439024
34;46.960884;61.502625;61.502625;61.502625;1.1110195;0.0;0;-52.3780157508305;-19.93652348495644;52.69601523490294;19.93652348495644;-1.0899976076694917;0.20044593143431833;0.18531554452469942;0.024390243902439025
35;18.95524;19.825142;19.825142;0.8820082;0.98098755;0.0;0;-46.89126989614311;-16.69616167123118;47.38505852367928;16.69616167123118;-1.1330530637209226;0.20044593143431833;0.18531554452469937;0.07317073170731707
36;13.000852;89.57413;89.57413;86.914345;0.95188636;0.0;0;-52.78435663784668;-19.93593245499767;53.066824643067555;19.93593245499767;-1.0772165506786042;0.20044593143431833;0.18531554452469937;0.024390243902439025
37;47.575737;19.017675;19.017675;5.5682526;0.92976046;0.0;0;-51.12194863221066;-21.615712370002996;51.12194863221066;21.615712370002996;-1.0;;;0.04878048780487805
38;22.698666;88.45265;52.283905;39.17193;0.8227905;0.0;0;-49.449961260975634;-17.47783060904362;49.67483498085635;17.47783060904362;-1.0564992637241963;0.20044593143431833;0.18531554452469937;0.04878048780487805
39;66.9847;76.3014;53.632496;53.632496;0.91631687;0.0;0;-48.95288383050717;-18.47361883560447;49.275819129371364;18.47361883560447;-1.091773073599674;0.20044593143431833;0.18531554452469937;0.024390243902439025
40;43.72082;24.081888;1.503545;1.503545;1.1896257;0.0;0;-36.93944630453694;-7.4163547544565915;38.833060801272964;8.53005333085352;-1.0989306986887137;0.4763644925402893;0.2088187326270637;0.36585365853658536
41;83.26949;15.08291;15.08291;15.08291;0.80108345;0.0;0;-51.20175599817383;-19.580856913654884;51.43179757171739;19.580856913654884;-1.058358196544335;0.20044593143431833;0.18531554452469937;0.04878048780487805
42;70.02951;31.630108;31.630108;10.03888;1.22915;0.0;0;-50.35583946438112;-20.12977400689917;50.35583946438112;20.12977400689917;-1.0;;;0.04878048780487805
43;31.24354;39.80108;39.80108;39.80108;0.80374825;0.0;0;-52.32588288443839;-19.936559176470013;52.627466407797804;19.936559176470013;-1.084092609166332;0.20044593143431833;0.18531554452469942;0.024390243902439025
44;83.22766;24.58601;24.58601;24.58601;0.93101585;0.0;0;-51.6819934712798;-19.584876601657754;51.92132180510595;19.584876601657754;-1.0616987445954946;0.20044593143431833;0.18531554452469937;0.04878048780487805
45;80.478386;99.88917;47.133522;47.133522;1.053153;0.0;0;-49.33059591161979;-16.85915968930172;49.613914546946184;16.85915968930172;-1.0775225315217334;0.20044593143431833;0.18531554452469937;0.04878048780487805
46;38.753963;22.972937;22.972937;9.371204;1.1689208;0.0;0;-48.59866776792296;-17.83730730005533;48.94545383029438;17.83730730005533;-1.1003524510282239;0.20044593143431833;0.18531554452469937;0.04878048780487805
47;28.839928;83.06518;42.83627;33.866684;0.8217914;0.0;0;-49.16077463521679;-15.029948372261543;49.60014892647816;15.029948372261543;-1.133657437715433;0.20044593143431833;0.18531554452469942;0.07317073170731707
48;68.25272;15.920183;15.920183;15.920183;0.8205511;0.0;0;-50.96832211530676;-19.586900995141946;51.25600484162258;19.586900995141946;-1.0790923422206409;0.20044593143431833;0.18531554452469942;0.024390243902439025
