model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.5;0.0;0;355.18673803371234;68.45470875038507;362.9215641623866;68.45470875038507;-44.617385229588535;-0.3894152993451034;-0.3962188749341674;0.0975609756097561;0.04878048780487805;0.024390243902439025
1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.4;0.0;0;327.00203991497483;61.35284563530948;334.88117153808025;61.35284563530948;-40.9147613878923;-0.3812376669461649;-0.39491784706360167;0.07317073170731707;0.04878048780487805;0.0
2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.3;0.0;0;298.8311278588851;54.20780440739421;306.8543816557354;54.20780440739421;-37.21469825792359;-0.3764377522772227;-0.393388290881044;0.07317073170731707;0.07317073170731707;0.0
3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.2;0.0;0;270.67277157690177;47.06951792735114;278.8407767383217;47.06951792735114;-33.51722717129511;-0.3639935290614468;-0.3915386902483724;0.07317073170731707;0.04878048780487805;0.0
4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.1;0.0;0;242.503140561364;39.920537537094816;250.81717444445158;39.920537537094816;-29.81652406386909;-0.3419494765077865;-0.38930664016138783;0.07317073170731707;0.04878048780487805;0.024390243902439025
5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.0;0;214.27927673582465;32.746113904407565;222.73347696267388;32.746113904407565;-26.10553364313961;-0.3398161810993678;-0.3867756737651119;0.04878048780487805;0.04878048780487805;0.024390243902439025
6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.9;0.0;0;186.10745558175643;25.601782517981263;194.74301809384943;25.601782517981263;-22.405770776959958;-0.318127677780444;-0.38335470333018135;0.04878048780487805;0.04878048780487805;0.024390243902439025
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.8;0.0;0;157.92072945489923;18.44565526450691;166.73839084762096;19.899978776241397;-18.702071456577325;-0.27243960111680937;-0.3789687339233032;0.04878048780487805;0.04878048780487805;0.0
8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.7;0.0;0;129.7440944812973;11.14596152440015;138.74423972678701;16.571970505138495;-15.003359351601894;-0.21329505757218242;-0.37307227861344466;0.04878048780487805;0.04878048780487805;0.0
9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.6;0.0;0;101.59491653338053;4.902386477088754;110.77815271897124;15.04875128895901;-11.369474455959534;-0.18389012472824717;-0.36595708042962916;0.21951219512195122;0.0975609756097561;0.04878048780487805
