model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.5;0.0;0;125.42256793642261;62.35704217275622;133.5540518152852;62.35704217275622;-28.08048675333999;-0.2898500066286645;-0.4684524751409238;0.10256410256410256;0.05128205128205128;0.02564102564102564
1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.4;0.0;0;113.7100155686478;55.969080103697024;121.99320522370736;55.969080103697024;-25.547372305381028;-0.28031614870594823;-0.4663993088710111;0.07692307692307693;0.05128205128205128;0.0
2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.3;0.0;0;101.99807809570594;49.589134045143965;110.43278080521516;49.589134045143965;-23.015921024747463;-0.2747201886208757;-0.46385221569285584;0.07692307692307693;0.07692307692307693;0.0
3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.2;0.0;0;90.28865129402087;43.21596867864855;98.8755285150008;43.21596867864855;-20.486142742216835;-0.2602121439558729;-0.46062249115510207;0.07692307692307693;0.05128205128205128;0.0
4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.1;0.0;0;78.58618471487785;36.82875011681091;87.32657930991869;36.82875011681091;-17.95423027668042;-0.23451217912072492;-0.4564587677375084;0.07692307692307693;0.05128205128205128;0.02564102564102564
5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.0;0;66.85594292121029;30.42226196385144;75.74369187764148;30.42226196385144;-15.415346223844981;-0.23202508574958158;-0.45077709740218974;0.05128205128205128;0.05128205128205128;0.02564102564102564
6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.9;0.0;0;55.14418610697565;24.04330569393963;64.22259797866319;24.04330569393963;-12.88415685485265;-0.2067396364762909;-0.442649359837907;0.05128205128205128;0.05128205128205128;0.02564102564102564
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.8;0.0;0;43.43142571130404;17.651568040361326;52.70127486775509;19.56584436633929;-10.350212086098868;-0.15368164455856612;-0.43022535618770263;0.05128205128205128;0.05128205128205128;0.0
8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.7;0.0;0;31.719706205592303;10.80944301408013;41.18139736110712;16.301812585305953;-7.820641988013894;-0.08296675371159153;-0.4100525439237482;0.05128205128205128;0.05128205128205128;0.0
9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.6;0.0;0;20.00765990085242;4.163782068151903;29.661831275447792;14.746229040265405;-5.35655572125124;-0.04774592591905627;-0.391702716610926;0.23076923076923078;0.10256410256410256;0.05128205128205128
10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.5;0.0;0;8.293093324104749;-1.502143224228007;19.711779883376323;11.874653305937784;-3.115184785188862;-0.16837749553548675;-0.3306306074173578;0.3076923076923077;0.20512820512820512;0.05128205128205128
11;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.1;0;66.85995395788485;30.443707502517555;75.77146644305702;30.443707502517555;-15.42099302510634;-0.23202508574958158;-0.4507771143197776;0.05128205128205128;0.05128205128205128;0.02564102564102564
12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.2;0;66.82408312317528;30.405641195629073;75.75216784448378;30.405641195629073;-15.410254286799383;-0.23202508574958158;-0.45080571833300265;0.05128205128205128;0.05128205128205128;0.02564102564102564
13;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.3;0;66.81127593479097;30.41709558979113;75.76387597636894;30.41709558979113;-15.412193217988397;-0.23202508574958158;-0.45078303208690573;0.05128205128205128;0.05128205128205128;0.02564102564102564
14;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.4;0;66.78783224941041;30.383970488569446;75.76083552082203;30.383970488569446;-15.403696407460265;-0.23202508574958158;-0.4508421311032781;0.05128205128205128;0.05128205128205128;0.02564102564102564
15;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.5;0;66.77232991479858;30.39288197458569;75.76934281298918;30.39288197458569;-15.404802702340435;-0.23202508574958158;-0.4508169150987914;0.05128205128205128;0.05128205128205128;0.02564102564102564
16;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.6;0;66.72978789309558;30.33480682946373;75.75627045292586;30.33480682946373;-15.388855809361454;-0.23202508574958158;-0.45090827474366346;0.05128205128205128;0.05128205128205128;0.02564102564102564
17;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.7;0;66.6917888081017;30.300250535909868;75.74976035708394;30.300250535909868;-15.378316539118495;-0.23202508574958158;-0.4509523973984284;0.05128205128205128;0.05128205128205128;0.02564102564102564
18;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.8;0;66.54317176322148;29.98001109032373;75.6078701827665;29.98001109032373;-15.298094184769344;-0.23202508574958158;-0.45136037911152344;0.05128205128205128;0.05128205128205128;0.02564102564102564
19;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.9;0;66.6056409793094;30.206278509520303;75.72396967791676;30.206278509520303;-15.351069121387512;-0.23202508574958158;-0.4510705707659366;0.05128205128205128;0.05128205128205128;0.02564102564102564
20;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;1.0;0;66.57425732367383;30.186973302832428;75.72522269194272;30.186973302832428;-15.34427188341233;-0.23202508574958158;-0.4510974427394473;0.05128205128205128;0.05128205128205128;0.02564102564102564
