model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
0;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;1.25;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
1;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;1.2;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
2;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;1.15;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
3;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;1.1;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
4;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;1.05;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
5;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;1.0;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
6;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;0.95;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
7;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;0.9;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
8;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;0.85;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
9;500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;5.0;0.01;0.8;1.0;1;0.5324481398378504;0.30180786812354654;2.846755392831888;2.25786689775731;0.11495272252715803;2.0636706712451067;0.27386127875258304;0.24782437824220538;0.8205128205128205;0.6153846153846154;0.2564102564102564;0.6989874087659856;-0.6989874087659856;-2.3065509767126002;2.3065509767126002;1.3113180954944441
