model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;converged;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
0;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.25;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
1;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.2;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
2;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.15;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
3;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.1;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
4;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.05;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
5;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.0;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
6;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;0.95;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
7;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;0.9;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
8;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;0.85;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
9;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;0.8;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
10;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;0.75;1.0;0;-9.182838390888788;0.4183328627477181;12.35453653537335;2.346182543074036;0.9481342131569848;1.4144086876153148;0.709233449477352;0.3819325823337247;0.8536585365853658;0.6585365853658537;0.24390243902439024;0.2779064763654858;-0.2779064763654858;-0.5681946054046005;0.5681946054046005;0.3789743908165486
11;500.0;48.0;1.0;1.0;36.0;1.0;1.0;1.0;0.5;5.0;5.0;24.0;1.0;1.0;1.0;0.3;2.5;1.0;18.0;1.0;1.0;0.3;1.5;80.0;1.0;0.1;0;-8.96068553800771;0.46441530392192476;12.528838890028549;2.37116169007399;0.9039345632518027;1.4295226644686947;0.672590270249037;0.38175055525117574;0.8292682926829268;0.5853658536585366;0.21951219512195122;0.2777955223706726;-0.2777955223706726;-0.568017716344588;0.568017716344588;0.39722325937270103
