model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;rhk_scale;rhk_shape;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
0;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.25;3.0;-6.229398796268539;-0.05181472938676279;8.551319502745086;1.618884449406437;0.6705235238490932;1.1494879111764884;0.7325783972125436;0.4157307340728293;0.8780487804878049;0.6829268292682927;0.2926829268292683;0.2999369788464716;0.18465077356779874;0.1677950775063263;0.35972425252398754;0.7857142857142858;0.9794086801751526;0.7121848739495799;6.921639126339614
1;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.2;3.0;-6.410100032878103;-0.06282901795452744;8.645217508591912;1.6352467680653717;0.7089386375452588;1.1697530503081206;0.7391986062717771;0.4146878148402753;0.8536585365853658;0.6829268292682927;0.2926829268292683;0.2603317688502287;0.1308890605385969;0.10673918494355145;0.3297890987779102;0.7857142857142858;0.9793595830368964;0.7175070028011206;6.990913176530789
2;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.15;3.0;-6.6027813572810015;-0.2187071266696421;8.742743875197526;1.6962038402898543;0.7496902088411069;1.1936782309032972;0.7390243902439027;0.4138574511829558;0.8536585365853658;0.6829268292682927;0.2926829268292683;0.22215380248431907;0.07726065888757017;0.04568446083748489;0.3037606860537424;0.7857142857142858;0.9792914514529737;0.7173669467787117;7.0633280255484925
3;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.1;3.0;-6.828765769438524;-0.39142540434616535;8.823214027088486;1.6358687133379988;0.7958022492651873;1.2171214691934171;0.7407665505226483;0.4137289260702868;0.8536585365853658;0.7073170731707317;0.34146341463414637;0.1918820419655286;0.023876830166406605;-0.015334546165284485;0.288106064354707;0.7857142857142858;0.9792110362042551;0.7187675070028013;7.123271204830435
4;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.05;3.0;-7.064409132384864;-0.5274994199167224;8.90921871953701;1.6132185811545412;0.8433028087627589;1.2428747815555015;0.752090592334495;0.4137583796268164;0.8536585365853658;0.7073170731707317;0.34146341463414637;0.1641387001427407;-0.029392485739682506;-0.07638559893439617;0.27567733241059245;0.7857142857142858;0.9790926225403185;0.727871148459384;7.188060335336458
5;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.311514211781307;-0.5601286484602781;9.004804738540761;1.6386240635055742;0.8922455021154049;1.2712437659547984;0.7550522648083626;0.4139335893154957;0.8780487804878049;0.7317073170731707;0.36585365853658536;0.15122154119972672;-0.08256074468131203;-0.13749797125375976;0.2684863211782779;0.8095238095238096;0.9789170004585961;0.7339869281045754;7.262877776662138
6;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;0.95;3.0;-7.5678054078582715;-0.5932247354863875;9.116146478542811;1.6400200318085183;0.9425735610930566;1.3031635533972947;0.7703832752613243;0.41425147084558095;0.8780487804878049;0.7073170731707317;0.3902439024390244;0.1699562144434276;-0.1354402075009284;-0.19854502847786643;0.2726426820273902;0.8095238095238096;0.9786822285032407;0.7463118580765642;7.3553265752118175
7;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;0.9;3.0;-7.834372359934563;-0.651449645417415;9.235979099044476;1.6556965353652515;0.9946598965302021;1.3385413476571304;0.7747386759581883;0.4146756631487688;0.8780487804878049;0.7073170731707317;0.36585365853658536;0.19892952744351736;-0.18813834466255824;-0.25954052533330785;0.29002409251115846;0.8095238095238096;0.978330751098074;0.7498132586367883;7.456207436870033
8;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;0.85;3.0;-8.10788894476116;-0.7406591112696219;9.382228731282217;1.6572481144769426;1.0496309657304541;1.378528443311116;0.7789198606271779;0.41502545735195506;0.8780487804878049;0.7073170731707317;0.36585365853658536;0.24223359893419952;-0.2406222146970168;-0.3203854699856009;0.3249374028589984;0.8095238095238096;0.9778292569391093;0.7531746031746034;7.580573466157735
9;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;0.8;3.0;;;;;;;;;;;;;;;;;;;
