model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m;n_3m;n_1m
0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.5;0.0;0;86.15662846504482;6.590249379790038;94.36532156608801;15.67404826146128;-11.993019845822205;-0.39294470728473324;-0.5207733112480182;0.23076923076923078;0.1282051282051282;0.05128205128205128
1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.4;0.0;0;78.08746153718984;5.643752253968529;86.44161664127546;14.235028761918954;-10.938338126037628;-0.3916657985547585;-0.5192589258765321;0.20512820512820512;0.15384615384615385;0.02564102564102564
2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.3;0.0;0;70.00966972447176;4.679338447345799;78.50928689776677;12.178269670884958;-9.879377776553854;-0.3874027694548427;-0.517401307941462;0.2564102564102564;0.1282051282051282;0.02564102564102564
3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.2;0.0;0;61.949256902518286;3.727475950886344;70.59414858836307;12.51323441082161;-8.825337463460833;-0.37802410543502807;-0.5150702866741177;0.28205128205128205;0.1282051282051282;0.02564102564102564
4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.1;0.0;0;53.853228982964715;3.2856520073625575;62.64336532867761;13.010102148008087;-7.76597824354741;-0.36757968414023456;-0.5120296231480546;0.2564102564102564;0.15384615384615385;0.05128205128205128
5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.0;0;45.787337241217365;2.5621718377331604;54.743883700630036;12.47930167984444;-6.720313072051986;-0.37587853445857333;-0.5079971598176767;0.28205128205128205;0.23076923076923078;0.05128205128205128
6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.9;0.0;0;37.70951578939803;1.5921381998753361;46.851351311440474;10.352711673913262;-5.717430915945265;-0.2856634379393084;-0.5047964045934153;0.38461538461538464;0.23076923076923078;0.05128205128205128
7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.8;0.0;0;29.601860510671106;1.1555665219431432;38.937804403546764;10.372997856122396;-4.724663334224268;-0.28276820039262623;-0.5036606793803524;0.4358974358974359;0.3076923076923077;0.10256410256410256
8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.7;0.0;0;21.496341613001935;-0.369271433441412;31.266082275803665;10.545837917649038;-3.7883965847617955;-0.38365349357760703;-0.5008127524668989;0.4358974358974359;0.38461538461538464;0.15384615384615385
9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.6;0.0;0;13.346963489996046;-2.110103359708404;24.270269986437444;11.09100065776164;-2.9129737751983087;-0.3744733501619913;-0.4938767152345904;0.38461538461538464;0.3333333333333333;0.07692307692307693
10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.5;0.0;0;5.107000240337526;-3.2164161781376492;17.471459343825487;11.914656927640124;-2.0684778024785246;-0.37663288633040304;-0.4718738035626902;0.41025641025641024;0.20512820512820512;0.05128205128205128
11;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.1;0;45.78480440392012;2.5693907541610486;54.763284291113635;12.466775483385419;-6.722640315950601;-0.37587853445857333;-0.5079692176105058;0.28205128205128205;0.23076923076923078;0.05128205128205128
12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.2;0;45.76513256224641;2.5779466092083396;54.76260081391724;12.484524938962494;-6.722402388283045;-0.37587853445857333;-0.5079742499277643;0.28205128205128205;0.23076923076923078;0.05128205128205128
