[-];[-];[-];[-];[-];[m];
c1;c2;c3;c4;rch;offset;complete
1.0;1.0;1.0;1.0;1.5;0.0;0
1.0;1.0;1.0;1.0;1.4;0.0;0
1.0;1.0;1.0;1.0;1.3;0.0;0
1.0;1.0;1.0;1.0;1.2;0.0;0
1.0;1.0;1.0;1.0;1.1;0.0;0
1.0;1.0;1.0;1.0;1.0;0.0;0
1.0;1.0;1.0;1.0;0.9;0.0;0
1.0;1.0;1.0;1.0;0.8;0.0;0
1.0;1.0;1.0;1.0;0.7;0.0;0
1.0;1.0;1.0;1.0;0.6;0.0;0
1.0;1.0;1.0;1.0;0.5;0.0;0
1.0;1.0;1.0;1.0;1.0;0.1;0
1.0;1.0;1.0;1.0;1.0;0.2;0
1.0;1.0;1.0;1.0;1.0;0.3;0
1.0;1.0;1.0;1.0;1.0;0.4;0
1.0;1.0;1.0;1.0;1.0;0.5;0
1.0;1.0;1.0;1.0;1.0;0.6;0
1.0;1.0;1.0;1.0;1.0;0.7;0
1.0;1.0;1.0;1.0;1.0;0.8;0
1.0;1.0;1.0;1.0;1.0;0.9;0
1.0;1.0;1.0;1.0;1.0;1.0;0
1.0;1.0;1.0;1.0;1.0;1.5;0
1.0;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;20.0;0
4.3899384;32.21738;16.20145;16.20145;0.8291974;0.0;0
15.437407;59.20437;59.20437;59.20437;1.0965036;0.0;0
68.30807;2.5629284;2.5629284;2.5629284;0.89005446;0.0;0
74.47877;0.75556856;0.75556856;0.75556856;0.8383716;0.0;0
96.7513;85.165665;75.13636;47.389725;1.0016954;0.0;0
32.58928;4.6519403;4.6519403;4.6519403;1.1252079;0.0;0
37.052265;52.48427;11.061514;11.061514;0.8847993;0.0;0
46.960884;61.502625;61.502625;61.502625;1.1110195;0.0;0
18.95524;19.825142;19.825142;0.8820082;0.98098755;0.0;0
13.000852;89.57413;89.57413;86.914345;0.95188636;0.0;0
47.575737;19.017675;19.017675;5.5682526;0.92976046;0.0;0
22.698666;88.45265;52.283905;39.17193;0.8227905;0.0;0
66.9847;76.3014;53.632496;53.632496;0.91631687;0.0;0
43.72082;24.081888;1.503545;1.503545;1.1896257;0.0;0
83.26949;15.08291;15.08291;15.08291;0.80108345;0.0;0
70.02951;31.630108;31.630108;10.03888;1.22915;0.0;0
31.24354;39.80108;39.80108;39.80108;0.80374825;0.0;0
83.22766;24.58601;24.58601;24.58601;0.93101585;0.0;0
80.478386;99.88917;47.133522;47.133522;1.053153;0.0;0
38.753963;22.972937;22.972937;9.371204;1.1689208;0.0;0
