[-];[-];[-];[-];[-];[m];
c1;c2;c3;c4;rch;offset;complete
1.1095824;1.0882914;1.0882914;0.93885016;0.97914195;0.0;1
0.97555137;1.0844951;1.0844951;0.96840656;0.96208364;0.0;1
1.1434392;0.881078;0.81639093;0.81639093;0.9607373;0.0;0
1.0789472;0.81466216;0.81466216;0.81466216;0.95093435;0.0;0
0.8376709;0.9215198;0.9215198;0.84466046;1.0478356;0.0;0
1.190249;0.86285454;0.86285454;0.86285454;1.015508;0.0;0
1.1044558;0.9583154;0.9583154;0.8676975;0.98212373;0.0;0
1.1144258;1.1917385;1.0345618;1.0345618;1.0079079;0.0;0
0.85124546;0.87242854;0.87242854;0.87242854;1.0119073;0.0;0
0.9801544;0.9275496;0.82836115;0.82836115;0.9682929;0.0;0
0.9483192;1.0900457;0.9762464;0.9762464;0.97888684;0.0;0
1.170706;1.0036731;1.0036731;0.98832273;1.0047277;0.0;0
1.057546;0.8175713;0.8175713;0.8175713;1.0339794;0.0;0
1.1291046;0.864676;0.864676;0.84032756;0.9629589;0.0;0
0.9773657;1.1740998;0.8086315;0.8086315;1.0358336;0.0;0
0.8908955;0.841266;0.841266;0.841266;1.0108986;0.0;0
1.0218339;1.0540371;0.98546207;0.8984085;0.9989659;0.0;0
0.8255269;1.1169302;0.9595873;0.81984854;0.96439403;0.0;0
1.1310525;0.9061756;0.9061756;0.9061756;1.0049903;0.0;0
1.0526657;1.0900311;1.044752;1.0054709;0.9853632;0.0;0
1.1032351;0.86795807;0.86795807;0.86795807;0.9688967;0.0;0
0.94181037;0.91390014;0.91390014;0.8851715;1.0379974;0.0;0
1.1882792;0.9247288;0.89648795;0.87185735;0.9960573;0.0;0
1.1572485;1.198574;0.8070555;0.8070555;0.9579756;0.0;0
1.1113534;0.8858289;0.8858289;0.8454754;0.9802139;0.0;0
0.8778555;0.85168296;0.85168296;0.85168296;0.9681505;0.0;0
0.9866884;1.1702765;0.9388439;0.9388439;1.0439246;0.0;0
0.8175215;0.86477226;0.8633579;0.8633579;0.9743062;0.0;0
0.8617158;1.151712;1.0772029;0.9359134;1.0006397;0.0;0
1.0732195;1.0601827;0.9120436;0.9120436;1.0245522;0.0;0
1.0979049;1.0307446;0.87069726;0.87069726;0.96585107;0.0;0
1.1870039;1.1005355;1.0013562;1.0013562;0.9937488;0.0;0
0.93033016;1.0903996;1.0903996;1.0839554;1.0153282;0.0;0
0.9481839;0.8442105;0.8442105;0.8442105;1.0381954;0.0;0
0.98782235;1.1997864;1.0888156;0.83113396;1.0154103;0.0;0
0.87578857;1.1767559;0.98479;0.98479;0.9580084;0.0;0
0.8519686;1.1586368;0.9615091;0.80622214;0.98215616;0.0;0
0.990282;1.0489156;0.9438084;0.9438084;0.98509324;0.0;0
0.89076376;1.0091165;0.8582324;0.8582324;0.98882735;0.0;0
1.0679256;1.0145115;0.9330535;0.9330535;1.0441618;0.0;0
0.9748608;0.8059748;0.8059748;0.8059748;0.9535703;0.0;0
1.1330713;0.9997878;0.84086674;0.84086674;0.98021734;0.0;0
1.080106;1.0495079;1.0495079;0.82989544;0.9992456;0.0;0
