[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.25;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.2;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.15;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.1;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.05;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.95;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.9;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.85;1.0;1
