;[m3/s]
;"Q
"
25.05.20;0.027
26.05.20;0.027
27.05.20;0.026
28.05.20;0.024
29.05.20;0.023
30.05.20;0.022
31.05.20;0.022
01.06.20;0.018
02.06.20;0.018
03.06.20;0.017
04.06.20;0.027
05.06.20;0.034
06.06.20;0.036
07.06.20;0.035
08.06.20;0.032
09.06.20;0.031
10.06.20;0.031
11.06.20;0.032
12.06.20;0.029
13.06.20;0.029
14.06.20;0.032
15.06.20;0.031
16.06.20;0.03
17.06.20;0.035
18.06.20;0.035
19.06.20;0.034
20.06.20;0.032
21.06.20;0.031
22.06.20;0.03
23.06.20;0.029
24.06.20;0.028
25.06.20;0.026
26.06.20;0.035
27.06.20;0.032
28.06.20;0.037
29.06.20;0.036
30.06.20;0.034
01.07.20;0.032
02.07.20;0.035
03.07.20;0.032
04.07.20;0.03
05.07.20;0.028
06.07.20;0.032
07.07.20;0.029
08.07.20;0.027
09.07.20;0.024
10.07.20;0.019
11.07.20;0.016
12.07.20;0.013
13.07.20;0.01
14.07.20;0.011
15.07.20;0.023
16.07.20;0.033
17.07.20;0.033
18.07.20;0.028
19.07.20;0.023
20.07.20;0.019
21.07.20;0.016
22.07.20;0.016
23.07.20;0.027
24.07.20;0.029
25.07.20;0.029
26.07.20;0.025
27.07.20;0.023
28.07.20;0.039
29.07.20;0.04
30.07.20;0.041
31.07.20;0.041
01.08.20;0.041
02.08.20;0.032
03.08.20;0.031
04.08.20;0.037
05.08.20;0.032
06.08.20;0.029
07.08.20;0.027
08.08.20;0.033
09.08.20;0.04
10.08.20;0.041
11.08.20;0.039
12.08.20;0.029
13.08.20;0.04
14.08.20;0.04
15.08.20;0.029
16.08.20;0.02
17.08.20;0.035
18.08.20;0.025
19.08.20;0.018
20.08.20;0.019
21.08.20;0.04
22.08.20;0.039
23.08.20;0.04
24.08.20;0.041
25.08.20;0.041
26.08.20;0.041
27.08.20;0.041
28.08.20;0.04
29.08.20;0.034
30.08.20;0.041
31.08.20;0.043
01.09.20;0.042
02.09.20;0.039
03.09.20;0.034
04.09.20;0.031
05.09.20;0.03
06.09.20;0.029
07.09.20;0.028
08.09.20;0.027
09.09.20;0.026
10.09.20;0.025
11.09.20;0.024
12.09.20;0.02
13.09.20;0.017
14.09.20;0.017
15.09.20;0.018
16.09.20;0.026
17.09.20;0.028
18.09.20;0.031
19.09.20;0.031
20.09.20;0.029
21.09.20;0.036
22.09.20;0.04
23.09.20;0.034
24.09.20;0.04
25.09.20;0.036
26.09.20;0.042
27.09.20;0.04
28.09.20;0.035
29.09.20;0.037
30.09.20;0.035
01.10.20;0.034
02.10.20;0.033
03.10.20;0.035
04.10.20;0.034
05.10.20;0.034
06.10.20;0.036
07.10.20;0.043
08.10.20;0.04
09.10.20;0.038
10.10.20;0.043
11.10.20;0.042
12.10.20;0.04
13.10.20;0.039
01.05.21;
02.05.21;
03.05.21;
04.05.21;
05.05.21;
06.05.21;
07.05.21;
08.05.21;
09.05.21;
10.05.21;
11.05.21;
12.05.21;
13.05.21;
14.05.21;
15.05.21;
16.05.21;
17.05.21;
18.05.21;
19.05.21;
20.05.21;
21.05.21;
22.05.21;
23.05.21;
24.05.21;
25.05.21;
26.05.21;
27.05.21;
28.05.21;
29.05.21;
30.05.21;
31.05.21;
01.06.21;
02.06.21;
03.06.21;
04.06.21;
05.06.21;
06.06.21;
07.06.21;
08.06.21;
09.06.21;
10.06.21;
11.06.21;
12.06.21;
13.06.21;
14.06.21;
15.06.21;
16.06.21;
17.06.21;
18.06.21;
19.06.21;
20.06.21;
21.06.21;
22.06.21;
23.06.21;
24.06.21;
25.06.21;
26.06.21;
27.06.21;
28.06.21;
29.06.21;
30.06.21;
01.07.21;
02.07.21;
03.07.21;
04.07.21;
05.07.21;
06.07.21;
07.07.21;
08.07.21;
09.07.21;
10.07.21;
11.07.21;
12.07.21;
13.07.21;
14.07.21;
15.07.21;
16.07.21;
17.07.21;
18.07.21;
19.07.21;
20.07.21;
21.07.21;
22.07.21;
23.07.21;
24.07.21;
25.07.21;
26.07.21;
27.07.21;
28.07.21;
29.07.21;
30.07.21;
31.07.21;
01.08.21;
02.08.21;
03.08.21;
04.08.21;
05.08.21;
06.08.21;
07.08.21;
08.08.21;
09.08.21;
10.08.21;
11.08.21;
12.08.21;
13.08.21;
14.08.21;
15.08.21;
16.08.21;
17.08.21;
18.08.21;
19.08.21;
20.08.21;
21.08.21;
22.08.21;
23.08.21;
24.08.21;
25.08.21;
26.08.21;
27.08.21;
28.08.21;
29.08.21;
30.08.21;
31.08.21;
01.09.21;
02.09.21;
03.09.21;
04.09.21;
05.09.21;
06.09.21;
07.09.21;
08.09.21;
09.09.21;
10.09.21;
11.09.21;
12.09.21;
13.09.21;
14.09.21;
15.09.21;
16.09.21;
17.09.21;
18.09.21;
19.09.21;
20.09.21;
21.09.21;
22.09.21;
23.09.21;
24.09.21;
25.09.21;
26.09.21;
27.09.21;
28.09.21;
29.09.21;
30.09.21;
01.10.21;
02.10.21;
03.10.21;
04.10.21;
05.10.21;
06.10.21;
07.10.21;
08.10.21;
09.10.21;
10.10.21;
11.10.21;
12.10.21;
13.10.21;
14.10.21;
15.10.21;
16.10.21;
17.10.21;
18.10.21;
19.10.21;
20.10.21;
21.10.21;
22.10.21;
23.10.21;
24.10.21;
25.10.21;
