;[m3/s]
;"Q
"
25.05.20;
26.05.20;
27.05.20;
28.05.20;
29.05.20;0.066
30.05.20;0.064
31.05.20;0.063
01.06.20;0.063
02.06.20;0.058
03.06.20;0.06
04.06.20;0.076
05.06.20;0.125
06.06.20;0.163
07.06.20;0.175
08.06.20;0.088
09.06.20;0.081
10.06.20;0.091
11.06.20;0.105
12.06.20;0.076
13.06.20;0.074
14.06.20;0.087
15.06.20;0.089
16.06.20;0.089
17.06.20;0.215
18.06.20;0.183
19.06.20;0.129
20.06.20;0.122
21.06.20;0.106
22.06.20;0.095
23.06.20;0.091
24.06.20;0.086
25.06.20;0.081
26.06.20;0.107
27.06.20;0.094
28.06.20;0.145
29.06.20;0.116
30.06.20;0.1
01.07.20;0.084
02.07.20;0.08
03.07.20;0.066
04.07.20;0.061
05.07.20;0.058
06.07.20;0.065
07.07.20;0.06
08.07.20;0.055
09.07.20;0.055
10.07.20;0.054
11.07.20;0.054
12.07.20;0.053
13.07.20;0.052
14.07.20;0.052
15.07.20;0.058
16.07.20;0.081
17.07.20;0.087
18.07.20;0.062
19.07.20;0.054
20.07.20;0.053
21.07.20;0.052
22.07.20;0.052
23.07.20;0.052
24.07.20;0.052
25.07.20;0.052
26.07.20;0.053
27.07.20;0.053
28.07.20;0.052
29.07.20;0.052
30.07.20;0.053
31.07.20;0.054
01.08.20;0.055
02.08.20;0.091
03.08.20;0.116
04.08.20;0.128
05.08.20;0.065
06.08.20;0.055
07.08.20;0.053
08.08.20;0.052
09.08.20;0.052
10.08.20;0.052
11.08.20;0.065
12.08.20;0.061
13.08.20;0.056
14.08.20;0.108
15.08.20;0.094
16.08.20;0.063
17.08.20;0.116
18.08.20;0.065
19.08.20;0.06
20.08.20;0.058
21.08.20;0.055
22.08.20;0.054
23.08.20;0.053
24.08.20;0.053
25.08.20;0.052
26.08.20;0.052
27.08.20;0.052
28.08.20;0.069
29.08.20;0.065
30.08.20;0.487
31.08.20;0.298
01.09.20;0.189
02.09.20;0.136
03.09.20;0.106
04.09.20;0.089
05.09.20;0.078
06.09.20;0.074
07.09.20;0.071
08.09.20;0.067
09.09.20;0.064
10.09.20;0.062
11.09.20;0.062
12.09.20;0.06
13.09.20;0.058
14.09.20;0.057
15.09.20;0.056
16.09.20;0.056
17.09.20;0.055
18.09.20;0.054
19.09.20;0.054
20.09.20;0.054
21.09.20;0.054
22.09.20;0.053
23.09.20;0.056
24.09.20;0.078
25.09.20;0.121
26.09.20;0.343
27.09.20;0.379
28.09.20;0.211
29.09.20;0.217
30.09.20;0.178
01.10.20;0.153
02.10.20;0.146
03.10.20;0.183
04.10.20;0.154
05.10.20;0.15
06.10.20;0.242
07.10.20;0.542
08.10.20;0.431
09.10.20;0.353
10.10.20;0.494
11.10.20;0.428
12.10.20;0.378
13.10.20;0.325
01.05.21;0.091
02.05.21;0.225
03.05.21;0.116
04.05.21;0.086
05.05.21;0.445
06.05.21;0.533
07.05.21;1.179
08.05.21;1.066
09.05.21;0.802
10.05.21;0.599
11.05.21;0.502
12.05.21;0.702
13.05.21;0.476
14.05.21;0.411
15.05.21;0.406
16.05.21;0.473
17.05.21;0.7
18.05.21;1.008
19.05.21;1.146
20.05.21;1.074
21.05.21;1.108
22.05.21;1.171
23.05.21;1.103
24.05.21;0.907
25.05.21;0.766
26.05.21;0.705
27.05.21;0.914
28.05.21;0.655
29.05.21;0.558
30.05.21;0.481
31.05.21;0.415
01.06.21;0.357
02.06.21;0.33
03.06.21;0.331
04.06.21;0.295
05.06.21;0.33
06.06.21;0.32
07.06.21;0.295
08.06.21;0.435
09.06.21;0.582
10.06.21;0.508
11.06.21;0.413
12.06.21;0.349
13.06.21;0.311
14.06.21;0.287
15.06.21;0.267
16.06.21;0.249
17.06.21;0.229
18.06.21;0.207
19.06.21;0.202
20.06.21;0.207
21.06.21;0.239
22.06.21;0.212
23.06.21;0.242
24.06.21;0.288
25.06.21;0.299
26.06.21;0.197
27.06.21;0.196
28.06.21;0.663
29.06.21;0.735
30.06.21;0.829
01.07.21;1.138
02.07.21;0.918
03.07.21;0.732
04.07.21;0.6
05.07.21;0.49
06.07.21;0.428
07.07.21;0.403
08.07.21;0.342
09.07.21;0.336
10.07.21;0.283
11.07.21;0.315
12.07.21;0.25
13.07.21;
14.07.21;1.106
15.07.21;2.178
16.07.21;1.835
17.07.21;1.559
18.07.21;1.211
19.07.21;0.995
20.07.21;0.846
21.07.21;0.71
22.07.21;0.62
23.07.21;0.551
24.07.21;0.507
25.07.21;0.54
26.07.21;0.472
27.07.21;0.442
28.07.21;0.433
29.07.21;0.383
30.07.21;0.354
31.07.21;0.334
01.08.21;0.389
02.08.21;0.337
03.08.21;0.365
04.08.21;0.353
05.08.21;0.336
06.08.21;0.335
07.08.21;0.359
08.08.21;0.33
09.08.21;0.301
10.08.21;0.295
11.08.21;0.291
12.08.21;0.29
13.08.21;0.287
14.08.21;0.287
15.08.21;0.293
16.08.21;0.278
17.08.21;0.25
18.08.21;0.208
19.08.21;0.205
20.08.21;0.195
21.08.21;0.177
22.08.21;0.205
23.08.21;0.198
24.08.21;0.167
25.08.21;0.11
26.08.21;0.117
27.08.21;0.119
28.08.21;0.145
29.08.21;0.248
30.08.21;0.346
31.08.21;0.266
01.09.21;0.196
02.09.21;0.132
03.09.21;0.128
04.09.21;0.129
05.09.21;0.121
06.09.21;0.118
07.09.21;0.114
08.09.21;0.115
09.09.21;0.123
10.09.21;0.135
11.09.21;0.144
12.09.21;0.135
13.09.21;0.141
14.09.21;0.145
15.09.21;0.342
16.09.21;0.337
17.09.21;0.249
18.09.21;0.172
19.09.21;0.195
20.09.21;0.24
21.09.21;0.207
22.09.21;0.169
23.09.21;0.172
24.09.21;0.199
25.09.21;0.238
26.09.21;0.293
27.09.21;0.263
28.09.21;0.3
29.09.21;0.256
30.09.21;0.208
01.10.21;0.234
02.10.21;0.273
03.10.21;0.294
04.10.21;0.309
05.10.21;0.349
06.10.21;0.312
07.10.21;0.31
08.10.21;0.286
09.10.21;0.268
10.10.21;0.259
11.10.21;0.268
12.10.21;0.29
13.10.21;0.311
14.10.21;0.29
15.10.21;0.303
16.10.21;0.307
17.10.21;0.307
18.10.21;0.313
19.10.21;0.306
20.10.21;0.275
21.10.21;
22.10.21;
23.10.21;
24.10.21;
25.10.21;
26.10.21;
27.10.21;
28.10.21;
29.10.21;
30.10.21;
31.10.21;
01.11.21;
02.11.21;
03.11.21;
04.11.21;
05.11.21;
06.11.21;
07.11.21;
08.11.21;
09.11.21;
10.11.21;
11.11.21;
12.11.21;
13.11.21;
14.11.21;
15.11.21;
16.11.21;
17.11.21;
