;[m3/s]
;"Q
"
25.05.20;
26.05.20;
27.05.20;
28.05.20;
29.05.20;0.037
30.05.20;0.037
31.05.20;0.042
01.06.20;0.054
02.06.20;0.046
03.06.20;0.048
04.06.20;0.059
05.06.20;0.093
06.06.20;0.121
07.06.20;0.12
08.06.20;0.045
09.06.20;0.045
10.06.20;0.046
11.06.20;0.07
12.06.20;0.041
13.06.20;0.076
14.06.20;0.08
15.06.20;0.061
16.06.20;0.061
17.06.20;
18.06.20;
19.06.20;
20.06.20;
21.06.20;
22.06.20;
23.06.20;
24.06.20;
25.06.20;
26.06.20;
27.06.20;
28.06.20;
29.06.20;
30.06.20;
01.07.20;
02.07.20;
03.07.20;
04.07.20;
05.07.20;
06.07.20;
07.07.20;
08.07.20;0.046
09.07.20;0.052
10.07.20;0.051
11.07.20;0.048
12.07.20;0.046
13.07.20;0.044
14.07.20;0.044
15.07.20;0.062
16.07.20;0.079
17.07.20;0.121
18.07.20;0.063
19.07.20;0.049
20.07.20;0.046
21.07.20;0.046
22.07.20;0.045
23.07.20;0.044
24.07.20;0.044
25.07.20;0.043
26.07.20;0.05
27.07.20;0.044
28.07.20;0.041
29.07.20;0.04
30.07.20;0.04
31.07.20;0.039
01.08.20;0.041
02.08.20;0.074
03.08.20;0.095
04.08.20;0.073
05.08.20;0.049
06.08.20;0.044
07.08.20;0.043
08.08.20;0.041
09.08.20;0.04
10.08.20;0.039
11.08.20;0.039
12.08.20;0.043
13.08.20;0.044
14.08.20;0.045
15.08.20;0.046
16.08.20;0.042
17.08.20;0.093
18.08.20;0.05
19.08.20;0.046
20.08.20;0.042
21.08.20;0.039
22.08.20;0.039
23.08.20;0.039
24.08.20;0.039
25.08.20;0.039
26.08.20;0.038
27.08.20;0.039
28.08.20;0.074
29.08.20;0.048
30.08.20;0.482
31.08.20;0.314
01.09.20;0.222
02.09.20;0.116
03.09.20;0.083
04.09.20;0.07
05.09.20;0.061
06.09.20;0.058
07.09.20;0.055
08.09.20;0.051
09.09.20;0.049
10.09.20;0.048
11.09.20;0.046
12.09.20;0.045
13.09.20;0.045
14.09.20;0.045
15.09.20;0.042
16.09.20;0.043
17.09.20;0.045
18.09.20;0.045
19.09.20;0.045
20.09.20;0.045
21.09.20;0.044
22.09.20;0.044
23.09.20;0.045
24.09.20;0.079
25.09.20;0.091
26.09.20;0.159
27.09.20;0.216
28.09.20;0.107
29.09.20;0.112
30.09.20;0.088
01.10.20;0.086
02.10.20;0.079
03.10.20;0.098
04.10.20;0.086
05.10.20;0.084
06.10.20;0.154
07.10.20;0.22
08.10.20;0.15
09.10.20;0.122
10.10.20;0.337
11.10.20;0.272
12.10.20;0.238
13.10.20;0.199
01.05.21;
02.05.21;
03.05.21;
04.05.21;
05.05.21;
06.05.21;
07.05.21;
08.05.21;
09.05.21;
10.05.21;
11.05.21;
12.05.21;
13.05.21;
14.05.21;
15.05.21;
16.05.21;
17.05.21;
18.05.21;
19.05.21;
20.05.21;
21.05.21;
22.05.21;0.052
23.05.21;0.076
24.05.21;0.039
25.05.21;0.041
26.05.21;0.264
27.05.21;0.482
28.05.21;2.42
29.05.21;1.454
30.05.21;0.605
31.05.21;0.337
01.06.21;0.215
02.06.21;0.355
03.06.21;0.116
04.06.21;0.072
05.06.21;0.087
06.06.21;0.124
07.06.21;0.254
08.06.21;0.616
09.06.21;0.666
10.06.21;0.621
11.06.21;0.706
12.06.21;0.672
13.06.21;0.486
14.06.21;0.288
15.06.21;0.157
16.06.21;0.125
17.06.21;0.158
18.06.21;0.187
19.06.21;0.201
20.06.21;0.214
21.06.21;0.224
22.06.21;0.233
23.06.21;0.239
24.06.21;0.245
25.06.21;0.249
26.06.21;0.234
27.06.21;0.221
28.06.21;0.23
29.06.21;0.205
30.06.21;0.166
01.07.21;0.079
02.07.21;0.093
03.07.21;0.128
04.07.21;0.161
05.07.21;0.184
06.07.21;0.201
07.07.21;0.215
08.07.21;0.229
09.07.21;0.239
10.07.21;0.245
11.07.21;0.237
12.07.21;0.238
13.07.21;0.238
14.07.21;0.25
15.07.21;0.247
16.07.21;0.239
17.07.21;0.26
18.07.21;0.249
19.07.21;0.195
20.07.21;0.13
21.07.21;0.084
22.07.21;0.095
23.07.21;0.129
24.07.21;0.158
25.07.21;0.176
26.07.21;0.188
27.07.21;0.161
28.07.21;0.061
29.07.21;0.074
30.07.21;0.076
31.07.21;0.091
01.08.21;0.075
02.08.21;0.095
03.08.21;0.211
04.08.21;0.125
05.08.21;0.958
06.08.21;1.375
07.08.21;0.708
08.08.21;0.256
09.08.21;0.107
10.08.21;0.055
11.08.21;0.038
12.08.21;0.039
13.08.21;0.047
14.08.21;0.054
15.08.21;0.048
16.08.21;0.065
17.08.21;0.079
18.08.21;0.079
19.08.21;0.099
20.08.21;0.108
21.08.21;0.12
22.08.21;0.065
23.08.21;0.091
24.08.21;0.076
25.08.21;0.076
26.08.21;0.082
27.08.21;0.078
28.08.21;0.061
29.08.21;0.062
30.08.21;0.087
31.08.21;0.1
01.09.21;0.108
02.09.21;0.116
03.09.21;0.128
04.09.21;0.134
05.09.21;0.137
06.09.21;0.138
07.09.21;0.104
08.09.21;0.142
09.09.21;0.16
10.09.21;0.167
11.09.21;0.175
12.09.21;0.162
13.09.21;0.171
14.09.21;0.182
15.09.21;0.19
16.09.21;0.192
17.09.21;0.184
18.09.21;0.182
19.09.21;0.141
20.09.21;0.122
21.09.21;0.148
22.09.21;0.172
23.09.21;0.186
24.09.21;0.189
25.09.21;0.193
26.09.21;0.197
27.09.21;0.201
28.09.21;0.204
29.09.21;0.208
30.09.21;0.215
01.10.21;0.222
02.10.21;0.201
03.10.21;0.212
04.10.21;0.215
05.10.21;0.219
06.10.21;0.145
07.10.21;0.127
08.10.21;0.167
09.10.21;0.192
10.10.21;0.165
11.10.21;0.15
12.10.21;0.174
13.10.21;0.196
14.10.21;0.204
15.10.21;0.209
16.10.21;0.209
17.10.21;0.182
18.10.21;0.201
19.10.21;0.139
20.10.21;0.181
21.10.21;0.191
22.10.21;0.203
23.10.21;0.208
24.10.21;0.211
25.10.21;0.146
26.10.21;0.114
27.10.21;0.149
28.10.21;0.158
29.10.21;0.177
30.10.21;0.185
31.10.21;0.192
01.11.21;0.194
02.11.21;0.191
03.11.21;0.167
04.11.21;0.194
05.11.21;0.2
06.11.21;0.202
07.11.21;0.201
08.11.21;0.202
09.11.21;0.205
10.11.21;0.21
11.11.21;0.149
12.11.21;0.133
13.11.21;0.18
14.11.21;0.198
15.11.21;0.203
16.11.21;
17.11.21;
