;[m3/s]
;"Q
"
25.05.20;
26.05.20;
27.05.20;
28.05.20;0.191
29.05.20;0.191
30.05.20;0.19
31.05.20;0.19
01.06.20;0.19
02.06.20;0.19
03.06.20;0.191
04.06.20;0.19
05.06.20;0.188
06.06.20;0.188
07.06.20;0.188
08.06.20;0.189
09.06.20;0.189
10.06.20;0.188
11.06.20;0.187
12.06.20;0.189
13.06.20;0.189
14.06.20;0.189
15.06.20;0.189
16.06.20;0.19
17.06.20;0.188
18.06.20;0.19
19.06.20;0.191
20.06.20;0.191
21.06.20;0.191
22.06.20;0.191
23.06.20;0.191
24.06.20;0.191
25.06.20;0.191
26.06.20;0.189
27.06.20;0.189
28.06.20;0.189
29.06.20;0.189
30.06.20;0.19
01.07.20;0.19
02.07.20;0.189
03.07.20;0.189
04.07.20;0.19
05.07.20;0.19
06.07.20;0.19
07.07.20;0.19
08.07.20;0.19
09.07.20;0.191
10.07.20;0.191
11.07.20;0.191
12.07.20;0.191
13.07.20;0.191
14.07.20;0.191
15.07.20;0.19
16.07.20;0.19
17.07.20;0.189
18.07.20;0.19
19.07.20;0.19
20.07.20;0.19
21.07.20;0.19
22.07.20;0.191
23.07.20;0.191
24.07.20;0.191
25.07.20;0.191
26.07.20;0.191
27.07.20;0.191
28.07.20;0.191
29.07.20;0.191
30.07.20;0.191
31.07.20;0.191
01.08.20;0.191
02.08.20;0.188
03.08.20;0.189
04.08.20;0.187
05.08.20;0.189
06.08.20;0.19
07.08.20;0.19
08.08.20;0.19
09.08.20;0.19
10.08.20;0.19
11.08.20;0.191
12.08.20;0.189
13.08.20;0.189
14.08.20;0.191
15.08.20;0.191
16.08.20;0.191
17.08.20;0.188
18.08.20;0.19
19.08.20;0.19
20.08.20;0.19
21.08.20;0.19
22.08.20;0.191
23.08.20;0.191
24.08.20;0.191
25.08.20;0.191
26.08.20;0.191
27.08.20;0.191
28.08.20;0.19
29.08.20;0.19
30.08.20;0.188
31.08.20;0.189
01.09.20;0.19
02.09.20;0.19
03.09.20;0.19
04.09.20;0.19
05.09.20;0.191
06.09.20;0.191
07.09.20;0.191
08.09.20;0.191
09.09.20;0.191
10.09.20;0.191
11.09.20;0.191
12.09.20;0.191
13.09.20;0.191
14.09.20;0.191
15.09.20;0.191
16.09.20;0.191
17.09.20;0.191
18.09.20;0.191
19.09.20;0.191
20.09.20;0.191
21.09.20;0.191
22.09.20;0.191
23.09.20;0.19
24.09.20;0.191
25.09.20;0.19
26.09.20;0.189
27.09.20;0.189
28.09.20;0.19
29.09.20;0.19
30.09.20;0.19
01.10.20;0.19
02.10.20;0.19
03.10.20;0.19
04.10.20;0.19
05.10.20;0.19
06.10.20;0.19
07.10.20;0.189
08.10.20;0.19
09.10.20;0.19
10.10.20;0.185
11.10.20;0.187
12.10.20;0.189
13.10.20;0.189
01.05.21;
02.05.21;
03.05.21;
04.05.21;
05.05.21;
06.05.21;
07.05.21;
08.05.21;
09.05.21;
10.05.21;
11.05.21;
12.05.21;
13.05.21;
14.05.21;
15.05.21;
16.05.21;
17.05.21;
18.05.21;
19.05.21;
20.05.21;
21.05.21;
22.05.21;
23.05.21;
24.05.21;
25.05.21;
26.05.21;0.194
27.05.21;0.192
28.05.21;0.194
29.05.21;0.195
30.05.21;0.195
31.05.21;0.195
01.06.21;0.195
02.06.21;0.195
03.06.21;0.195
04.06.21;0.194
05.06.21;0.192
06.06.21;0.192
07.06.21;0.192
08.06.21;0.19
09.06.21;0.189
10.06.21;0.188
11.06.21;0.191
12.06.21;0.193
13.06.21;0.195
14.06.21;0.195
15.06.21;0.195
16.06.21;0.195
17.06.21;0.195
18.06.21;0.195
19.06.21;0.195
20.06.21;0.195
21.06.21;0.195
22.06.21;0.196
23.06.21;0.195
24.06.21;0.191
25.06.21;0.195
26.06.21;0.196
27.06.21;0.195
28.06.21;0.191
29.06.21;0.189
30.06.21;0.189
01.07.21;0.19
02.07.21;0.192
03.07.21;0.194
04.07.21;0.194
05.07.21;0.195
06.07.21;0.195
07.07.21;0.195
08.07.21;0.195
09.07.21;0.195
10.07.21;0.195
11.07.21;0.195
12.07.21;0.195
13.07.21;
14.07.21;
15.07.21;
16.07.21;
17.07.21;
18.07.21;
19.07.21;
20.07.21;
21.07.21;
22.07.21;
23.07.21;
24.07.21;
25.07.21;
26.07.21;
27.07.21;
28.07.21;
29.07.21;
30.07.21;
31.07.21;
01.08.21;
02.08.21;
03.08.21;
04.08.21;
05.08.21;
06.08.21;
07.08.21;
08.08.21;
09.08.21;
10.08.21;
11.08.21;
12.08.21;
13.08.21;
14.08.21;
15.08.21;
16.08.21;
17.08.21;0.195
18.08.21;0.195
19.08.21;0.195
20.08.21;0.195
21.08.21;0.195
22.08.21;0.195
23.08.21;0.195
24.08.21;0.195
25.08.21;0.195
26.08.21;0.195
27.08.21;0.195
28.08.21;0.194
29.08.21;0.193
30.08.21;0.193
31.08.21;0.195
01.09.21;0.195
02.09.21;0.195
03.09.21;0.194
04.09.21;0.194
05.09.21;0.194
06.09.21;0.195
07.09.21;0.194
08.09.21;0.194
09.09.21;0.194
10.09.21;0.194
11.09.21;0.194
12.09.21;0.194
13.09.21;0.194
14.09.21;0.194
15.09.21;0.193
16.09.21;0.192
17.09.21;0.193
18.09.21;0.194
19.09.21;0.193
20.09.21;0.193
21.09.21;0.193
22.09.21;0.194
23.09.21;0.194
24.09.21;0.194
25.09.21;0.194
26.09.21;0.193
27.09.21;0.194
28.09.21;0.193
29.09.21;0.194
30.09.21;0.194
01.10.21;0.194
02.10.21;0.194
03.10.21;0.195
04.10.21;0.194
05.10.21;0.192
06.10.21;0.192
07.10.21;0.193
08.10.21;0.193
09.10.21;0.194
10.10.21;0.194
11.10.21;0.194
12.10.21;0.193
13.10.21;0.193
14.10.21;0.193
15.10.21;0.193
16.10.21;0.194
17.10.21;0.194
18.10.21;0.195
19.10.21;0.195
20.10.21;0.195
21.10.21;
22.10.21;
23.10.21;
24.10.21;
25.10.21;
26.10.21;
27.10.21;
28.10.21;
29.10.21;
30.10.21;
31.10.21;
01.11.21;
02.11.21;
03.11.21;
04.11.21;
05.11.21;
06.11.21;
07.11.21;
08.11.21;
09.11.21;
10.11.21;
11.11.21;
12.11.21;
13.11.21;
14.11.21;
15.11.21;
16.11.21;
17.11.21;
