;[m3/s]
;"Q
"
25.05.20;
26.05.20;
27.05.20;
28.05.20;
29.05.20;0.117
30.05.20;0.115
31.05.20;0.114
01.06.20;0.112
02.06.20;0.111
03.06.20;0.109
04.06.20;0.127
05.06.20;0.167
06.06.20;0.179
07.06.20;0.191
08.06.20;0.171
09.06.20;0.168
10.06.20;0.182
11.06.20;0.187
12.06.20;0.173
13.06.20;0.173
14.06.20;0.176
15.06.20;0.172
16.06.20;0.173
17.06.20;0.222
18.06.20;0.198
19.06.20;0.183
20.06.20;0.181
21.06.20;0.179
22.06.20;0.177
23.06.20;0.174
24.06.20;0.171
25.06.20;0.168
26.06.20;0.195
27.06.20;0.19
28.06.20;0.2
29.06.20;0.201
30.06.20;0.181
01.07.20;0.174
02.07.20;0.196
03.07.20;0.173
04.07.20;0.162
05.07.20;0.16
06.07.20;0.167
07.07.20;0.144
08.07.20;0.122
09.07.20;0.118
10.07.20;0.116
11.07.20;0.116
12.07.20;0.115
13.07.20;0.114
14.07.20;0.114
15.07.20;0.117
16.07.20;0.132
17.07.20;0.154
18.07.20;0.123
19.07.20;0.112
20.07.20;0.107
21.07.20;0.105
22.07.20;0.104
23.07.20;0.104
24.07.20;0.104
25.07.20;0.103
26.07.20;0.104
27.07.20;0.103
28.07.20;0.103
29.07.20;0.103
30.07.20;0.103
31.07.20;0.103
01.08.20;0.104
02.08.20;0.214
03.08.20;0.174
04.08.20;0.203
05.08.20;0.158
06.08.20;0.134
07.08.20;0.126
08.08.20;0.118
09.08.20;0.113
10.08.20;0.109
11.08.20;0.131
12.08.20;0.13
13.08.20;0.118
14.08.20;0.124
15.08.20;0.129
16.08.20;0.114
17.08.20;0.2
18.08.20;0.138
19.08.20;0.126
20.08.20;0.12
21.08.20;0.114
22.08.20;0.113
23.08.20;0.111
24.08.20;0.109
25.08.20;0.107
26.08.20;0.104
27.08.20;0.104
28.08.20;0.124
29.08.20;0.126
30.08.20;0.247
31.08.20;0.271
01.09.20;0.23
02.09.20;0.211
03.09.20;0.19
04.09.20;0.168
05.09.20;0.157
06.09.20;0.152
07.09.20;0.147
08.09.20;0.142
09.09.20;0.137
10.09.20;0.134
11.09.20;0.133
12.09.20;0.129
13.09.20;0.126
14.09.20;0.123
15.09.20;0.119
16.09.20;0.119
17.09.20;0.121
18.09.20;0.117
19.09.20;0.117
20.09.20;0.116
21.09.20;0.114
22.09.20;0.136
23.09.20;0.163
24.09.20;0.145
25.09.20;0.19
26.09.20;0.331
27.09.20;0.394
28.09.20;0.311
29.09.20;0.293
30.09.20;0.259
01.10.20;0.24
02.10.20;0.225
03.10.20;0.249
04.10.20;0.234
05.10.20;0.226
06.10.20;0.259
07.10.20;0.35
08.10.20;0.328
09.10.20;0.313
10.10.20;0.382
11.10.20;0.347
12.10.20;0.334
13.10.20;0.315
01.05.21;
02.05.21;
03.05.21;
04.05.21;
05.05.21;
06.05.21;
07.05.21;
08.05.21;
09.05.21;
10.05.21;
11.05.21;
12.05.21;
13.05.21;
14.05.21;
15.05.21;
16.05.21;
17.05.21;
18.05.21;
19.05.21;
20.05.21;
21.05.21;
22.05.21;
23.05.21;
24.05.21;
25.05.21;
26.05.21;
27.05.21;
28.05.21;
29.05.21;
30.05.21;
31.05.21;
01.06.21;
02.06.21;
03.06.21;
04.06.21;
05.06.21;
06.06.21;
07.06.21;
08.06.21;
09.06.21;
10.06.21;
11.06.21;
12.06.21;
13.06.21;
14.06.21;
15.06.21;
16.06.21;
17.06.21;
18.06.21;
19.06.21;
20.06.21;
21.06.21;
22.06.21;
23.06.21;
24.06.21;
25.06.21;
26.06.21;
27.06.21;
28.06.21;
29.06.21;
30.06.21;
01.07.21;
02.07.21;
03.07.21;
04.07.21;
05.07.21;
06.07.21;
07.07.21;
08.07.21;
09.07.21;
10.07.21;
11.07.21;
12.07.21;0.713
13.07.21;1.728
14.07.21;1.758
15.07.21;2.358
16.07.21;2.416
17.07.21;2.154
18.07.21;1.85
19.07.21;1.605
20.07.21;1.414
21.07.21;1.257
22.07.21;1.132
23.07.21;1.023
24.07.21;0.943
25.07.21;1.035
26.07.21;0.867
27.07.21;0.765
28.07.21;0.741
29.07.21;0.641
30.07.21;0.591
31.07.21;0.527
01.08.21;0.795
02.08.21;0.643
03.08.21;0.648
04.08.21;0.629
05.08.21;0.614
06.08.21;0.591
07.08.21;0.647
08.08.21;0.64
09.08.21;0.522
10.08.21;0.462
11.08.21;0.43
12.08.21;0.405
13.08.21;0.389
14.08.21;0.38
15.08.21;0.374
16.08.21;0.383
17.08.21;0.463
18.08.21;0.397
19.08.21;0.377
20.08.21;0.334
21.08.21;0.249
22.08.21;0.25
23.08.21;0.241
24.08.21;0.166
25.08.21;0.116
26.08.21;0.122
27.08.21;0.16
28.08.21;0.23
29.08.21;0.479
30.08.21;0.619
31.08.21;0.517
01.09.21;0.4
02.09.21;0.33
03.09.21;0.22
04.09.21;0.159
05.09.21;0.201
06.09.21;0.263
07.09.21;0.12
08.09.21;0.096
09.09.21;0.093
10.09.21;0.085
11.09.21;0.103
12.09.21;0.086
13.09.21;0.077
14.09.21;0.058
15.09.21;0.338
16.09.21;0.444
17.09.21;0.294
18.09.21;0.121
19.09.21;0.249
20.09.21;0.427
21.09.21;0.311
22.09.21;0.177
23.09.21;0.129
24.09.21;0.112
25.09.21;0.097
26.09.21;0.174
27.09.21;0.108
28.09.21;0.342
29.09.21;0.2
30.09.21;0.187
01.10.21;0.129
02.10.21;0.111
03.10.21;0.103
04.10.21;0.349
05.10.21;0.527
06.10.21;0.439
07.10.21;0.458
08.10.21;0.404
09.10.21;0.376
10.10.21;0.349
11.10.21;0.33
12.10.21;0.338
13.10.21;0.486
14.10.21;0.377
15.10.21;0.364
16.10.21;0.346
17.10.21;0.318
18.10.21;0.276
19.10.21;0.228
20.10.21;0.184
21.10.21;
22.10.21;
23.10.21;
24.10.21;
25.10.21;
26.10.21;
27.10.21;
28.10.21;
29.10.21;
30.10.21;
31.10.21;
01.11.21;
02.11.21;
03.11.21;
04.11.21;
05.11.21;
06.11.21;
07.11.21;
08.11.21;
09.11.21;
10.11.21;
11.11.21;
12.11.21;
13.11.21;
14.11.21;
15.11.21;
16.11.21;
17.11.21;
