;[m3/s]
;Q
25.05.20;
26.05.20;
27.05.20;
28.05.20;
29.05.20;0.126
30.05.20;0.131
31.05.20;0.131
01.06.20;0.129
02.06.20;0.129
03.06.20;0.129
04.06.20;0.174
05.06.20;0.207
06.06.20;0.296
07.06.20;0.261
08.06.20;0.212
09.06.20;0.217
10.06.20;0.284
11.06.20;0.398
12.06.20;0.292
13.06.20;0.265
14.06.20;0.259
15.06.20;0.241
16.06.20;0.227
17.06.20;0.384
18.06.20;0.363
19.06.20;0.3
20.06.20;0.281
21.06.20;0.263
22.06.20;0.246
23.06.20;0.232
24.06.20;0.218
25.06.20;0.207
26.06.20;0.264
27.06.20;0.229
28.06.20;0.249
29.06.20;0.246
30.06.20;0.214
01.07.20;0.197
02.07.20;0.23
03.07.20;0.201
04.07.20;0.188
05.07.20;0.181
06.07.20;0.211
07.07.20;0.183
08.07.20;0.172
09.07.20;0.166
10.07.20;0.161
11.07.20;0.161
12.07.20;0.154
13.07.20;0.15
14.07.20;0.146
15.07.20;0.154
16.07.20;0.172
17.07.20;0.23
18.07.20;0.173
19.07.20;0.158
20.07.20;0.15
21.07.20;0.145
22.07.20;0.142
23.07.20;0.138
24.07.20;0.135
25.07.20;0.133
26.07.20;0.139
27.07.20;0.133
28.07.20;0.129
29.07.20;0.126
30.07.20;0.123
31.07.20;0.121
01.08.20;0.125
02.08.20;0.317
03.08.20;0.233
04.08.20;0.382
05.08.20;0.241
06.08.20;0.192
07.08.20;0.174
08.08.20;0.162
09.08.20;0.156
10.08.20;0.151
11.08.20;0.149
12.08.20;0.219
13.08.20;0.19
14.08.20;0.189
15.08.20;0.172
16.08.20;0.154
17.08.20;0.294
18.08.20;0.203
19.08.20;0.176
20.08.20;0.162
21.08.20;0.152
22.08.20;0.154
23.08.20;0.147
24.08.20;0.143
25.08.20;0.142
26.08.20;0.135
27.08.20;0.133
28.08.20;0.175
29.08.20;0.167
30.08.20;0.364
31.08.20;0.434
01.09.20;0.361
02.09.20;0.274
03.09.20;0.225
04.09.20;0.197
05.09.20;0.18
06.09.20;0.171
07.09.20;0.163
08.09.20;0.156
09.09.20;0.15
10.09.20;0.146
11.09.20;0.143
12.09.20;0.139
13.09.20;0.134
14.09.20;0.129
15.09.20;0.125
16.09.20;0.14
17.09.20;0.145
18.09.20;0.134
19.09.20;0.131
20.09.20;0.129
21.09.20;0.128
22.09.20;0.127
23.09.20;0.129
24.09.20;0.156
25.09.20;0.212
26.09.20;0.338
27.09.20;0.43
28.09.20;0.281
29.09.20;0.272
30.09.20;0.245
01.10.20;0.235
02.10.20;0.222
03.10.20;0.245
04.10.20;0.251
05.10.20;0.269
06.10.20;0.461
07.10.20;0.502
08.10.20;0.467
09.10.20;0.414
10.10.20;0.491
11.10.20;0.457
12.10.20;0.44
13.10.20;0.407
01.05.21;
02.05.21;
03.05.21;
04.05.21;
05.05.21;
06.05.21;
07.05.21;
08.05.21;
09.05.21;
10.05.21;
11.05.21;
12.05.21;
13.05.21;
14.05.21;
15.05.21;
16.05.21;
17.05.21;
18.05.21;
19.05.21;
20.05.21;
21.05.21;
22.05.21;
23.05.21;
24.05.21;
25.05.21;
26.05.21;
27.05.21;
28.05.21;
29.05.21;
30.05.21;
31.05.21;
01.06.21;
02.06.21;
03.06.21;
04.06.21;
05.06.21;
06.06.21;
07.06.21;
08.06.21;
09.06.21;
10.06.21;
11.06.21;
12.06.21;
13.06.21;
14.06.21;
15.06.21;
16.06.21;
17.06.21;
18.06.21;
19.06.21;
20.06.21;
21.06.21;
22.06.21;
23.06.21;
24.06.21;
25.06.21;
26.06.21;
27.06.21;
28.06.21;
29.06.21;
30.06.21;
01.07.21;
02.07.21;
03.07.21;
04.07.21;
05.07.21;
06.07.21;
07.07.21;
08.07.21;
09.07.21;
10.07.21;
11.07.21;
12.07.21;
13.07.21;
14.07.21;
15.07.21;
16.07.21;
17.07.21;
18.07.21;
19.07.21;
20.07.21;
21.07.21;
22.07.21;
23.07.21;
24.07.21;
25.07.21;
26.07.21;
27.07.21;
28.07.21;
29.07.21;
30.07.21;
31.07.21;
01.08.21;
02.08.21;
03.08.21;
04.08.21;
05.08.21;
06.08.21;
07.08.21;
08.08.21;
09.08.21;
10.08.21;
11.08.21;
12.08.21;
13.08.21;
14.08.21;
15.08.21;
16.08.21;
17.08.21;
18.08.21;
19.08.21;
20.08.21;
21.08.21;
22.08.21;
23.08.21;
24.08.21;
25.08.21;
26.08.21;
27.08.21;
28.08.21;
29.08.21;
30.08.21;
31.08.21;
01.09.21;
02.09.21;
03.09.21;
04.09.21;
05.09.21;
06.09.21;
07.09.21;
08.09.21;
09.09.21;
10.09.21;
11.09.21;
12.09.21;
13.09.21;
14.09.21;
15.09.21;
16.09.21;
17.09.21;
18.09.21;
19.09.21;
20.09.21;
21.09.21;
22.09.21;
23.09.21;
24.09.21;
25.09.21;
26.09.21;
27.09.21;
28.09.21;
29.09.21;
30.09.21;
01.10.21;
02.10.21;
03.10.21;
04.10.21;
05.10.21;
06.10.21;
07.10.21;
08.10.21;
09.10.21;
10.10.21;
11.10.21;
12.10.21;
13.10.21;
14.10.21;
15.10.21;
16.10.21;
17.10.21;
18.10.21;
19.10.21;
20.10.21;
21.10.21;
22.10.21;
23.10.21;
24.10.21;
25.10.21;
26.10.21;
27.10.21;
28.10.21;
29.10.21;
30.10.21;
31.10.21;
01.11.21;
02.11.21;
03.11.21;
04.11.21;
05.11.21;
06.11.21;
07.11.21;
08.11.21;
09.11.21;
10.11.21;
11.11.21;
12.11.21;
13.11.21;
14.11.21;
15.11.21;
16.11.21;
17.11.21;
