;[m3/s]
;Q
2013-01-01;12.0
2013-01-02;12.554166666666667
2013-01-03;11.7875
2013-01-04;9.85
2013-01-05;8.75
2013-01-06;8.15
2013-01-07;7.329166666666667
2013-01-08;6.8125
2013-01-09;6.0375000000000005
2013-01-10;5.670833333333333
2013-01-11;5.720833333333334
2013-01-12;5.3999999999999995
2013-01-13;5.008333333333334
2013-01-14;4.6875
2013-01-15;4.545833333333333
2013-01-16;4.545833333333333
2013-01-17;4.091666666666666
2013-01-18;3.908333333333333
2013-01-19;3.891666666666666
2013-01-20;3.7000000000000006
2013-01-21;3.9
2013-01-22;3.7583333333333333
2013-01-23;3.5749999999999997
2013-01-24;3.25
2013-01-25;3.1
2013-01-26;3.0
2013-01-27;2.808333333333333
2013-01-28;2.920833333333333
2013-01-29;3.266666666666667
2013-01-30;6.441666666666666
2013-01-31;12.083333333333334
2013-02-01;13.274999999999999
2013-02-02;15.504166666666668
2013-02-03;47.46791666666667
2013-02-04;27.755
2013-02-05;20.1475
2013-02-06;22.44
2013-02-07;20.092083333333335
2013-02-08;14.600416666666666
2013-02-09;12.290416666666667
2013-02-10;10.257083333333334
2013-02-11;8.730416666666667
2013-02-12;7.875
2013-02-13;7.014583333333333
2013-02-14;6.005
2013-02-15;5.747916666666666
2013-02-16;5.697500000000001
2013-02-17;5.29375
2013-02-18;5.104166666666667
2013-02-19;4.86
2013-02-20;4.630833333333333
2013-02-21;4.383333333333333
2013-02-22;4.1725
2013-02-23;3.9341666666666666
2013-02-24;3.796666666666667
2013-02-25;3.6225
2013-02-26;3.3533333333333335
2013-02-27;3.192083333333333
2013-02-28;3.2108333333333334
2013-03-01;3.09125
2013-03-02;3.091666666666667
2013-03-03;3.0825
2013-03-04;3.091666666666667
2013-03-05;3.2083333333333335
2013-03-06;3.4508333333333336
2013-03-07;4.16375
2013-03-08;5.884166666666666
2013-03-09;8.39
2013-03-10;12.664166666666667
2013-03-11;14.475416666666668
2013-03-12;14.67375
2013-03-13;12.6025
2013-03-14;10.82
2013-03-15;9.002083333333333
2013-03-16;7.565
2013-03-17;6.369166666666666
2013-03-18;5.973333333333333
2013-03-19;6.608333333333333
2013-03-20;5.9725
2013-03-21;5.5129166666666665
2013-03-22;5.076666666666667
2013-03-23;4.841666666666667
2013-03-24;4.75
2013-03-25;4.456666666666666
2013-03-26;4.31
