;[m3/s]
;Q
2013-01-01;2.672
2013-01-02;2.598
2013-01-03;2.102
2013-01-04;1.988
2013-01-05;1.851
2013-01-06;1.744
2013-01-07;1.585
2013-01-08;1.46
2013-01-09;1.364
2013-01-10;1.321
2013-01-11;1.277
2013-01-12;1.195
2013-01-13;1.104
2013-01-14;1.049
2013-01-15;0.979
2013-01-16;0.941
2013-01-17;0.888
2013-01-18;0.858
2013-01-19;0.807
2013-01-20;0.875
2013-01-21;0.845
2013-01-22;0.755
2013-01-23;0.723
2013-01-24;0.729
2013-01-25;0.658
2013-01-26;0.608
2013-01-27;0.612
2013-01-28;0.684
2013-01-29;1.295
2013-01-30;3.457
2013-01-31;3.531
2013-02-01;4.268
2013-02-02;8.677
2013-02-03;4.658
2013-02-04;3.636
2013-02-05;4.579
2013-02-06;3.582
2013-02-07;2.857
2013-02-08;2.393
2013-02-09;2.018
2013-02-10;1.752
2013-02-11;1.661
2013-02-12;1.464
2013-02-13;1.333
2013-02-14;1.213
2013-02-15;1.206
2013-02-16;1.108
2013-02-17;1.059
2013-02-18;1.025
2013-02-19;0.955
2013-02-20;0.895
2013-02-21;0.848
2013-02-22;0.807
2013-02-23;0.768
2013-02-24;0.729
2013-02-25;0.7
2013-02-26;0.698
2013-02-27;0.692
2013-02-28;0.653
2013-03-01;0.653
2013-03-02;0.667
2013-03-03;0.646
2013-03-04;0.686
2013-03-05;0.736
2013-03-06;0.869
2013-03-07;1.237
2013-03-08;1.65
2013-03-09;2.592
2013-03-10;3.301
2013-03-11;3.495
2013-03-12;2.946
2013-03-13;2.575
2013-03-14;2.014
2013-03-15;1.727
2013-03-16;1.476
2013-03-17;1.39
2013-03-18;1.425
2013-03-19;1.34
2013-03-20;1.27
2013-03-21;1.202
2013-03-22;1.164
2013-03-23;1.178
2013-03-24;1.08
2013-03-25;1.021
2013-03-26;0.913
2013-03-27;0.858
2013-03-28;0.852
2013-03-29;0.892
2013-03-30;0.851
2013-03-31;0.821
2013-04-01;0.797
2013-04-02;0.788
2013-04-03;0.739
2013-04-04;0.782
2013-04-05;0.872
2013-04-06;0.858
2013-04-07;0.781
2013-04-08;0.801
2013-04-09;1.135
2013-04-10;3.689
2013-04-11;5.976
2013-04-12;8.001
2013-04-13;4.869
2013-04-14;3.732
2013-04-15;3.21
2013-04-16;2.831
2013-04-17;2.459
2013-04-18;2.069
2013-04-19;1.898
2013-04-20;1.885
2013-04-21;1.654
2013-04-22;1.422
2013-04-23;1.274
2013-04-24;1.164
2013-04-25;1.057
2013-04-26;1.063
2013-04-27;1.441
2013-04-28;1.676
2013-04-29;1.382
2013-04-30;1.297
2013-05-01;1.171
2013-05-02;1.245
2013-05-03;1.202
2013-05-04;1.118
2013-05-05;1.021
2013-05-06;1.04
2013-05-07;1.073
2013-05-08;0.913
2013-05-09;0.837
2013-05-10;1.418
2013-05-11;1.101
2013-05-12;1.322
2013-05-13;1.168
2013-05-14;0.997
2013-05-15;0.986
2013-05-16;0.937
2013-05-17;1.098
2013-05-18;0.972
2013-05-19;0.878
2013-05-20;0.837
2013-05-21;1.071
2013-05-22;2.239
2013-05-23;1.983
2013-05-24;1.959
2013-05-25;1.638
2013-05-26;1.507
2013-05-27;1.585
2013-05-28;1.362
2013-05-29;2.087
2013-05-30;1.591
2013-05-31;3.9
