;[m3/s]
;Q
2013-01-01;0.976
2013-01-02;0.911
2013-01-03;0.734
2013-01-04;0.664
2013-01-05;0.639
2013-01-06;0.602
2013-01-07;0.593
2013-01-08;0.559
2013-01-09;0.521
2013-01-10;0.523
2013-01-11;0.631
2013-01-12;0.57
2013-01-13;0.529
2013-01-14;0.516
2013-01-15;0.486
2013-01-16;0.473
2013-01-17;0.457
2013-01-18;0.43
2013-01-19;0.43
2013-01-20;0.471
2013-01-21;0.435
2013-01-22;0.43
2013-01-23;0.43
2013-01-24;0.391
2013-01-25;0.383
2013-01-26;0.32
2013-01-27;0.322
2013-01-28;0.477
2013-01-29;0.629
2013-01-30;0.919
2013-01-31;0.958
2013-02-01;1.183
2013-02-02;5.207
2013-02-03;3.482
2013-02-04;2.358
2013-02-05;2.309
2013-02-06;2.288
2013-02-07;1.867
2013-02-08;1.443
2013-02-09;1.218
2013-02-10;1.059
2013-02-11;0.98
2013-02-12;0.878
2013-02-13;0.764
2013-02-14;0.681
2013-02-15;0.849
2013-02-16;0.947
2013-02-17;1.003
2013-02-18;0.986
2013-02-19;1.007
2013-02-20;1.074
2013-02-21;0.952
2013-02-22;0.864
2013-02-23;0.789
2013-02-24;0.711
2013-02-25;0.629
2013-02-26;0.591
2013-02-27;0.584
2013-02-28;0.559
2013-03-01;0.559
2013-03-02;0.559
2013-03-03;0.536
2013-03-04;0.523
2013-03-05;0.577
2013-03-06;0.757
2013-03-07;1.261
2013-03-08;1.67
2013-03-09;1.721
2013-03-10;1.665
2013-03-11;1.521
2013-03-12;1.293
2013-03-13;1.15
2013-03-14;0.952
2013-03-15;0.833
2013-03-16;0.713
2013-03-17;0.707
2013-03-18;0.956
2013-03-19;0.99
2013-03-20;0.921
2013-03-21;0.843
2013-03-22;0.777
2013-03-23;0.728
2013-03-24;0.671
2013-03-25;0.681
2013-03-26;0.618
2013-03-27;0.598
2013-03-28;0.638
2013-03-29;0.661
2013-03-30;0.689
2013-03-31;0.689
2013-04-01;0.644
2013-04-02;0.644
2013-04-03;0.618
2013-04-04;0.602
2013-04-05;0.577
2013-04-06;0.532
2013-04-07;0.489
2013-04-08;0.473
2013-04-09;0.559
2013-04-10;0.561
2013-04-11;0.632
2013-04-12;1.828
2013-04-13;1.325
2013-04-14;1.058
2013-04-15;0.857
2013-04-16;0.727
2013-04-17;0.631
2013-04-18;0.595
2013-04-19;0.563
2013-04-20;0.538
2013-04-21;0.529
2013-04-22;0.477
2013-04-23;0.43
2013-04-24;0.387
2013-04-25;0.38
2013-04-26;0.412
2013-04-27;1.495
2013-04-28;2.002
2013-04-29;1.472
2013-04-30;1.162
2013-05-01;0.967
2013-05-02;1.008
2013-05-03;0.888
2013-05-04;0.828
2013-05-05;0.722
2013-05-06;0.664
2013-05-07;0.593
2013-05-08;0.543
2013-05-09;0.503
2013-05-10;0.822
2013-05-11;0.581
2013-05-12;0.534
2013-05-13;0.496
2013-05-14;0.457
2013-05-15;0.455
2013-05-16;0.473
2013-05-17;0.736
2013-05-18;0.566
2013-05-19;0.523
2013-05-20;0.493
2013-05-21;0.913
2013-05-22;2.592
2013-05-23;2.649
2013-05-24;2.029
2013-05-25;1.428
2013-05-26;1.204
2013-05-27;1.384
2013-05-28;1.5
2013-05-29;2.406
2013-05-30;2.094
2013-05-31;4.778
2013-06-01;13.038
2013-06-02;6.345
2013-06-03;3.164
2013-06-04;2.055
2013-06-05;1.424
2013-06-06;1.105
2013-06-07;0.927
2013-06-08;0.839
2013-06-09;0.836
2013-06-10;1.12
2013-06-11;0.8
2013-06-12;0.675
2013-06-13;0.621
2013-06-14;0.66
2013-06-15;0.573
2013-06-16;0.505
2013-06-17;0.466
2013-06-18;0.421
2013-06-19;0.387
2013-06-20;0.367
2013-06-21;0.361
2013-06-22;0.298
2013-06-23;0.27
2013-06-24;0.307
2013-06-25;0.335
2013-06-26;0.265
2013-06-27;0.259
2013-06-28;0.28
2013-06-29;0.467
2013-06-30;0.345
2013-07-01;0.263
2013-07-02;0.232
2013-07-03;0.37
2013-07-04;0.4
2013-07-05;0.305
2013-07-06;0.258
2013-07-07;0.225
2013-07-08;0.203
2013-07-09;0.186
2013-07-10;0.183
2013-07-11;0.166
2013-07-12;0.166
2013-07-13;0.165
2013-07-14;0.146
2013-07-15;0.144
2013-07-16;0.127
2013-07-17;0.127
2013-07-18;0.141
2013-07-19;0.146
2013-07-20;0.12
2013-07-21;0.105
2013-07-22;0.102
2013-07-23;0.095
2013-07-24;0.115
2013-07-25;0.101
2013-07-26;0.085
2013-07-27;0.08
2013-07-28;0.171
2013-07-29;1.03
2013-07-30;0.394
2013-07-31;0.227
2013-08-01;0.209
2013-08-02;0.209
2013-08-03;0.218
2013-08-04;0.272
2013-08-05;0.25
2013-08-06;0.209
2013-08-07;0.392
2013-08-08;0.397
2013-08-09;0.304
2013-08-10;0.22
2013-08-11;0.205
2013-08-12;0.201
2013-08-13;0.218
2013-08-14;0.123
2013-08-15;0.122
2013-08-16;0.112
2013-08-17;0.104
2013-08-18;0.1
2013-08-19;0.166
2013-08-20;0.141
2013-08-21;0.101
2013-08-22;0.087
2013-08-23;0.087
2013-08-24;0.142
2013-08-25;0.148
2013-08-26;0.122
2013-08-27;0.105
2013-08-28;0.158
2013-08-29;0.123
2013-08-30;0.101
2013-08-31;0.087
2013-09-01;0.087
2013-09-02;0.086
2013-09-03;0.072
2013-09-04;0.072
2013-09-05;0.074
2013-09-06;0.072
2013-09-07;0.126
2013-09-08;0.349
2013-09-09;0.324
2013-09-10;0.536
2013-09-11;0.316
2013-09-12;0.792
2013-09-13;0.432
2013-09-14;0.277
2013-09-15;0.351
2013-09-16;0.6
2013-09-17;0.795
2013-09-18;0.916
2013-09-19;0.914
2013-09-20;0.601
2013-09-21;0.437
2013-09-22;0.329
2013-09-23;0.256
2013-09-24;0.227
2013-09-25;0.198
2013-09-26;0.175
2013-09-27;0.166
2013-09-28;0.166
2013-09-29;0.166
2013-09-30;0.166
2013-10-01;0.166
2013-10-02;0.154
2013-10-03;0.146
2013-10-04;0.146
2013-10-05;0.605
2013-10-06;3.015
2013-10-07;1.322
2013-10-08;0.812
2013-10-09;0.61
2013-10-10;2.26
2013-10-11;1.615
2013-10-12;1.032
2013-10-13;0.782
2013-10-14;0.693
2013-10-15;0.938
2013-10-16;2.417
2013-10-17;1.517
2013-10-18;0.991
2013-10-19;0.74
2013-10-20;0.864
2013-10-21;0.691
2013-10-22;0.561
2013-10-23;0.569
2013-10-24;0.52
2013-10-25;0.426
2013-10-26;0.357
2013-10-27;0.627
2013-10-28;0.48
2013-10-29;0.634
2013-10-30;0.523
2013-10-31;0.462
2013-11-01;0.419
2013-11-02;0.41
2013-11-03;1.117
2013-11-04;0.924
2013-11-05;0.869
2013-11-06;0.778
2013-11-07;0.645
2013-11-08;0.646
2013-11-09;0.835
2013-11-10;2.31
2013-11-11;3.108
2013-11-12;1.851
2013-11-13;1.19
2013-11-14;0.879
2013-11-15;0.702
2013-11-16;0.582
2013-11-17;0.534
2013-11-18;0.484
2013-11-19;0.486
2013-11-20;0.656
2013-11-21;0.652
2013-11-22;0.776
2013-11-23;0.807
2013-11-24;0.878
2013-11-25;0.975
2013-11-26;0.865
