;[m3/s]
;Q
2013-01-01;3.823
2013-01-02;3.577
2013-01-03;3.038
2013-01-04;2.871
2013-01-05;2.722
2013-01-06;2.506
2013-01-07;2.301
2013-01-08;2.128
2013-01-09;1.973
2013-01-10;1.942
2013-01-11;1.799
2013-01-12;1.686
2013-01-13;1.578
2013-01-14;1.486
2013-01-15;1.404
2013-01-16;1.355
2013-01-17;1.283
2013-01-18;1.238
2013-01-19;1.188
2013-01-20;1.309
2013-01-21;1.2
2013-01-22;1.146
2013-01-23;1.1
2013-01-24;1.046
2013-01-25;1.012
2013-01-26;0.957
2013-01-27;1.016
2013-01-28;1.042
2013-01-29;2.03
2013-01-30;3.52
2013-01-31;3.694
2013-02-01;4.176
2013-02-02;6.88
2013-02-03;4.58
2013-02-04;3.992
2013-02-05;4.35
2013-02-06;3.724
2013-02-07;3.161
2013-02-08;2.685
2013-02-09;2.359
2013-02-10;2.09
2013-02-11;1.947
2013-02-12;1.78
2013-02-13;1.642
2013-02-14;1.505
2013-02-15;1.472
2013-02-16;1.381
2013-02-17;1.313
2013-02-18;1.272
2013-02-19;1.23
2013-02-20;1.211
2013-02-21;1.167
2013-02-22;1.104
2013-02-23;1.1
2013-02-24;1.052
2013-02-25;1.016
2013-02-26;1.015
2013-02-27;1.002
2013-02-28;0.969
2013-03-01;0.946
2013-03-02;0.946
2013-03-03;0.933
2013-03-04;0.924
2013-03-05;0.972
2013-03-06;1.121
2013-03-07;1.445
2013-03-08;1.915
2013-03-09;3.23
2013-03-10;3.397
2013-03-11;3.36
2013-03-12;3.005
2013-03-13;2.587
2013-03-14;2.227
2013-03-15;1.963
2013-03-16;1.775
2013-03-17;1.716
2013-03-18;1.796
2013-03-19;1.661
2013-03-20;1.554
2013-03-21;1.445
2013-03-22;1.385
2013-03-23;1.381
2013-03-24;1.343
2013-03-25;1.256
2013-03-26;1.192
2013-03-27;1.157
2013-03-28;1.19
2013-03-29;1.126
2013-03-30;1.111
2013-03-31;1.066
2013-04-01;1.025
2013-04-02;1.022
2013-04-03;1.002
2013-04-04;0.979
2013-04-05;1.009
2013-04-06;0.976
2013-04-07;0.946
2013-04-08;0.966
2013-04-09;1.192
2013-04-10;2.13
2013-04-11;3.821
2013-04-12;8.027
2013-04-13;5.283
2013-04-14;4.352
2013-04-15;4.338
2013-04-16;4.396
2013-04-17;4.225
2013-04-18;4.148
2013-04-19;3.788
2013-04-20;3.188
2013-04-21;2.692
2013-04-22;2.365
2013-04-23;2.172
2013-04-24;2.128
2013-04-25;2.15
2013-04-26;2.324
2013-04-27;2.879
2013-04-28;2.538
2013-04-29;2.266
2013-04-30;2.144
2013-05-01;2.114
2013-05-02;2.483
2013-05-03;2.318
2013-05-04;2.139
2013-05-05;1.989
2013-05-06;1.879
2013-05-07;1.78
2013-05-08;1.686
2013-05-09;1.662
2013-05-10;2.052
2013-05-11;1.622
2013-05-12;1.759
2013-05-13;1.554
2013-05-14;1.426
2013-05-15;1.399
2013-05-16;1.347
2013-05-17;1.584
2013-05-18;1.339
2013-05-19;1.288
2013-05-20;1.252
2013-05-21;2.385
2013-05-22;3.201
2013-05-23;2.913
2013-05-24;2.748
2013-05-25;2.381
2013-05-26;2.435
2013-05-27;2.627
2013-05-28;2.233
2013-05-29;2.545
2013-05-30;2.181
2013-05-31;4.768
2013-06-01;9.717
2013-06-02;7.244
2013-06-03;4.61
2013-06-04;3.405
2013-06-05;3.057
2013-06-06;2.745
2013-06-07;2.729
2013-06-08;2.535
2013-06-09;2.819
2013-06-10;3.203
2013-06-11;2.588
2013-06-12;2.211
2013-06-13;2.022
2013-06-14;2.036
2013-06-15;1.755
2013-06-16;1.578
2013-06-17;1.436
2013-06-18;1.33
2013-06-19;1.234
2013-06-20;1.203
2013-06-21;1.137
2013-06-22;1.059
2013-06-23;1.059
2013-06-24;1.098
2013-06-25;1.078
2013-06-26;0.976
2013-06-27;0.956
2013-06-28;0.937
2013-06-29;1.803
2013-06-30;1.228
2013-07-01;1.012
2013-07-02;0.927
2013-07-03;1.441
2013-07-04;1.337
2013-07-05;1.135
2013-07-06;1.016
2013-07-07;0.963
2013-07-08;0.899
2013-07-09;0.864
2013-07-10;0.836
2013-07-11;0.808
2013-07-12;0.768
2013-07-13;0.753
2013-07-14;0.715
2013-07-15;0.704
2013-07-16;0.694
2013-07-17;0.67
2013-07-18;0.664
2013-07-19;0.687
2013-07-20;0.656
2013-07-21;0.629
2013-07-22;0.611
2013-07-23;0.604
2013-07-24;0.602
2013-07-25;0.6
2013-07-26;0.58
2013-07-27;0.58
2013-07-28;0.768
2013-07-29;3.191
2013-07-30;1.349
2013-07-31;0.937
2013-08-01;0.796
2013-08-02;0.702
2013-08-03;0.678
2013-08-04;0.769
2013-08-05;0.667
2013-08-06;0.634
2013-08-07;0.713
2013-08-08;0.713
2013-08-09;0.643
2013-08-10;0.602
2013-08-11;0.59
2013-08-12;0.582
2013-08-13;0.58
2013-08-14;0.563
2013-08-15;0.545
2013-08-16;0.539
2013-08-17;0.526
2013-08-18;0.509
2013-08-19;0.618
2013-08-20;0.555
2013-08-21;0.512
2013-08-22;0.5
2013-08-23;0.496
2013-08-24;0.576
2013-08-25;0.582
2013-08-26;0.516
2013-08-27;0.554
2013-08-28;0.561
2013-08-29;0.512
2013-08-30;0.493
2013-08-31;0.479
2013-09-01;0.49
2013-09-02;0.473
2013-09-03;0.46
2013-09-04;0.45
2013-09-05;0.443
2013-09-06;0.426
2013-09-07;0.467
2013-09-08;0.802
2013-09-09;0.757
2013-09-10;0.994
2013-09-11;0.802
2013-09-12;2.875
2013-09-13;1.274
2013-09-14;1.091
2013-09-15;1.165
2013-09-16;1.818
2013-09-17;2.415
2013-09-18;3.997
2013-09-19;4.078
2013-09-20;2.692
2013-09-21;2.034
2013-09-22;1.637
2013-09-23;1.37
2013-09-24;1.202
2013-09-25;1.084
2013-09-26;1.122
2013-09-27;0.973
2013-09-28;0.911
2013-09-29;0.87
2013-09-30;0.826
2013-10-01;0.796
2013-10-02;0.756
2013-10-03;0.726
2013-10-04;0.702
2013-10-05;1.231
2013-10-06;1.89
2013-10-07;1.173
2013-10-08;1.039
2013-10-09;0.992
2013-10-10;2.644
2013-10-11;2.044
2013-10-12;1.721
2013-10-13;1.545
2013-10-14;1.608
2013-10-15;2.553
2013-10-16;4.445
2013-10-17;3.242
2013-10-18;2.437
2013-10-19;1.995
2013-10-20;1.946
2013-10-21;1.652
2013-10-22;1.436
2013-10-23;1.439
2013-10-24;1.27
2013-10-25;1.143
2013-10-26;1.06
2013-10-27;1.157
2013-10-28;1.205
2013-10-29;1.86
2013-10-30;1.31
2013-10-31;1.181
2013-11-01;1.121
2013-11-02;1.266
2013-11-03;3.55
2013-11-04;3.099
2013-11-05;3.536
2013-11-06;3.711
2013-11-07;3.135
2013-11-08;2.927
2013-11-09;3.442
2013-11-10;4.085
2013-11-11;3.823
2013-11-12;3.073
2013-11-13;2.653
2013-11-14;2.307
2013-11-15;2.037
2013-11-16;1.83
2013-11-17;1.701
2013-11-18;1.622
2013-11-19;1.617
2013-11-20;1.544
2013-11-21;1.431
2013-11-22;1.381
2013-11-23;1.296
2013-11-24;1.343
2013-11-25;1.23
2013-11-26;1.146
2013-11-27;1.08
2013-11-28;1.042
2013-11-29;1.029
2013-11-30;1.07
2013-12-01;0.979
2013-12-02;0.946
2013-12-03;0.943
2013-12-04;0.937
2013-12-05;0.905
2013-12-06;0.912
2013-12-07;0.867
2013-12-08;0.848
2013-12-09;0.808
2013-12-10;0.795
2013-12-11;0.826
2013-12-12;0.845
2013-12-13;0.795
2013-12-14;0.817
2013-12-15;0.795
2013-12-16;0.792
2013-12-17;0.792
2013-12-18;0.786
2013-12-19;1.03
2013-12-20;1.166
2013-12-21;0.979
2013-12-22;1.138
2013-12-23;1.754
2013-12-24;1.365
2013-12-25;2.565
2013-12-26;2.872
2013-12-27;2.313
2013-12-28;2.672
2013-12-29;2.763
2013-12-30;2.25
2013-12-31;1.937
2014-01-01;1.804
2014-01-02;2.515
2014-01-03;2.375
2014-01-04;2.777
2014-01-05;3.019
2014-01-06;2.542
2014-01-07;2.411
2014-01-08;2.295
2014-01-09;2.134
2014-01-10;2.367
2014-01-11;2.031
2014-01-12;1.835
2014-01-13;1.75
2014-01-14;1.686
2014-01-15;1.534
2014-01-16;1.806
2014-01-17;1.915
2014-01-18;1.647
2014-01-19;1.529
2014-01-20;1.422
2014-01-21;1.368
2014-01-22;1.28
2014-01-23;1.231
2014-01-24;1.279
2014-01-25;1.128
2014-01-26;1.128
2014-01-27;1.26
2014-01-28;1.111
2014-01-29;1.035
2014-01-30;1.025
2014-01-31;0.959
2014-02-01;0.966
2014-02-02;0.969
2014-02-03;0.946
2014-02-04;0.924
2014-02-05;0.908
2014-02-06;0.911
2014-02-07;1.426
2014-02-08;1.263
2014-02-09;1.243
2014-02-10;1.144
2014-02-11;1.139
2014-02-12;1.056
2014-02-13;1.784
2014-02-14;1.677
2014-02-15;2.006
2014-02-16;2.231
2014-02-17;1.89
2014-02-18;1.706
2014-02-19;1.558
2014-02-20;1.459
2014-02-21;1.98
2014-02-22;1.686
2014-02-23;1.554
2014-02-24;1.422
2014-02-25;1.321
2014-02-26;1.36
2014-02-27;1.365
2014-02-28;1.369
2014-03-01;1.313
2014-03-02;1.203
2014-03-03;1.2
2014-03-04;1.125
2014-03-05;1.073
2014-03-06;1.025
2014-03-07;0.992
2014-03-08;0.969
2014-03-09;0.986
2014-03-10;1.009
2014-03-11;0.989
2014-03-12;0.98
2014-03-13;1.002
2014-03-14;1.039
2014-03-15;1.035
2014-03-16;1.056
2014-03-17;1.093
2014-03-18;1.083
2014-03-19;1.107
2014-03-20;1.059
2014-03-21;1.066
2014-03-22;1.596
2014-03-23;1.339
2014-03-24;1.178
2014-03-25;1.056
2014-03-26;0.989
2014-03-27;0.943
2014-03-28;0.933
2014-03-29;0.895
2014-03-30;0.873
2014-03-31;0.886
2014-04-01;0.905
2014-04-02;0.908
2014-04-03;0.921
2014-04-04;0.883
2014-04-05;0.886
2014-04-06;0.892
2014-04-07;0.87
2014-04-08;0.905
2014-04-09;0.833
2014-04-10;0.795
2014-04-11;0.777
2014-04-12;0.753
2014-04-13;0.747
2014-04-14;0.723
2014-04-15;0.72
2014-04-16;0.686
2014-04-17;0.662
2014-04-18;0.688
2014-04-19;0.662
2014-04-20;0.664
2014-04-21;0.659
2014-04-22;0.65
2014-04-23;0.678
2014-04-24;0.643
2014-04-25;0.705
2014-04-26;0.967
2014-04-27;1.747
2014-04-28;1.033
2014-04-29;1.106
2014-04-30;1.237
2014-05-01;1.183
2014-05-02;1.197
2014-05-03;1.39
2014-05-04;1.153
2014-05-05;1.059
2014-05-06;0.976
2014-05-07;1.551
2014-05-08;1.297
2014-05-09;2.295
2014-05-10;2.038
2014-05-11;2.042
2014-05-12;2.14
2014-05-13;2.56
2014-05-14;3.129
2014-05-15;2.543
2014-05-16;2.173
2014-05-17;1.851
2014-05-18;1.618
2014-05-19;1.427
2014-05-20;1.262
2014-05-21;1.153
2014-05-22;1.069
2014-05-23;1.128
2014-05-24;0.996
2014-05-25;0.914
2014-05-26;0.899
2014-05-27;0.902
2014-05-28;0.842
2014-05-29;0.808
2014-05-30;0.795
2014-05-31;0.75
2014-06-01;0.723
2014-06-02;0.726
2014-06-03;0.704
2014-06-04;0.734
2014-06-05;0.708
2014-06-06;0.654
2014-06-07;0.629
2014-06-08;0.613
2014-06-09;0.596
2014-06-10;0.596
2014-06-11;0.586
2014-06-12;0.575
2014-06-13;0.576
2014-06-14;0.555
2014-06-15;0.541
2014-06-16;0.535
2014-06-17;0.568
2014-06-18;0.555
2014-06-19;0.533
2014-06-20;0.514
2014-06-21;0.51
2014-06-22;0.499
2014-06-23;0.518
2014-06-24;0.608
2014-06-25;0.508
2014-06-26;0.496
2014-06-27;0.486
2014-06-28;0.554
2014-06-29;0.665
2014-06-30;0.729
2014-07-01;0.534
2014-07-02;0.51
2014-07-03;0.486
2014-07-04;0.49
