;[m3/s]
;Q
2013-01-01;3.838
2013-01-02;3.663
2013-01-03;3.013
2013-01-04;2.7
2013-01-05;2.65
2013-01-06;2.4
2013-01-07;2.343
2013-01-08;2.125
2013-01-09;1.919
2013-01-10;1.85
2013-01-11;2.148
2013-01-12;1.93
2013-01-13;1.744
2013-01-14;1.638
2013-01-15;1.425
2013-01-16;1.425
2013-01-17;1.24
2013-01-18;1.213
2013-01-19;1.213
2013-01-20;1.213
2013-01-21;1.213
2013-01-22;1.213
2013-01-23;1.036
2013-01-24;0.98
2013-01-25;0.843
2013-01-26;0.843
2013-01-27;0.843
2013-01-28;0.954
2013-01-29;1.985
2013-01-30;4.9
2013-01-31;5.038
2013-02-01;5.01
2013-02-02;12.322
2013-02-03;7.707
2013-02-04;5.863
2013-02-05;7.274
2013-02-06;6.582
2013-02-07;5.313
2013-02-08;4.3
2013-02-09;3.625
2013-02-10;3.05
2013-02-11;2.738
2013-02-12;2.4
2013-02-13;2.148
2013-02-14;1.907
2013-02-15;2.068
2013-02-16;1.85
2013-02-17;1.85
2013-02-18;1.85
2013-02-19;1.907
2013-02-20;1.873
2013-02-21;1.797
2013-02-22;1.638
2013-02-23;1.487
2013-02-24;1.39
2013-02-25;1.24
2013-02-26;1.08
2013-02-27;1.0
2013-02-28;1.0
2013-03-01;1.0
2013-03-02;1.0
2013-03-03;1.036
2013-03-04;1.168
2013-03-05;1.496
2013-03-06;2.449
2013-03-07;4.725
2013-03-08;6.446
2013-03-09;7.722
2013-03-10;7.139
2013-03-11;6.981
2013-03-12;5.988
2013-03-13;4.975
2013-03-14;4.15
2013-03-15;3.413
2013-03-16;2.913
2013-03-17;2.788
2013-03-18;3.475
2013-03-19;3.488
2013-03-20;3.338
2013-03-21;2.975
2013-03-22;2.7
2013-03-23;2.488
2013-03-24;2.285
2013-03-25;2.114
2013-03-26;1.85
2013-03-27;1.656
2013-03-28;1.884
2013-03-29;1.919
2013-03-30;1.93
2013-03-31;1.861
2013-04-01;1.815
2013-04-02;1.691
2013-04-03;1.638
2013-04-04;1.558
2013-04-05;1.469
2013-04-06;1.381
2013-04-07;1.213
2013-04-08;1.275
2013-04-09;1.713
2013-04-10;3.025
2013-04-11;5.246
2013-04-12;12.199
2013-04-13;7.429
2013-04-14;5.65
2013-04-15;4.975
2013-04-16;4.5
2013-04-17;3.913
2013-04-18;3.413
2013-04-19;3.1
2013-04-20;2.863
2013-04-21;2.44
2013-04-22;2.045
2013-04-23;1.779
2013-04-24;1.638
2013-04-25;1.54
2013-04-26;1.552
2013-04-27;3.151
2013-04-28;3.763
2013-04-29;3.175
2013-04-30;2.788
2013-05-01;2.55
2013-05-02;2.538
2013-05-03;2.4
2013-05-04;2.32
2013-05-05;2.01
2013-05-06;1.841
2013-05-07;1.682
2013-05-08;1.532
2013-05-09;1.452
2013-05-10;1.963
2013-05-11;1.505
2013-05-12;1.654
2013-05-13;1.549
2013-05-14;1.425
2013-05-15;1.425
2013-05-16;1.425
2013-05-17;2.029
2013-05-18;1.7
2013-05-19;1.647
2013-05-20;1.569
2013-05-21;4.751
2013-05-22;8.374
2013-05-23;7.885
2013-05-24;5.893
2013-05-25;4.613
2013-05-26;4.513
2013-05-27;5.476
2013-05-28;4.813
2013-05-29;5.676
2013-05-30;5.038
2013-05-31;14.229
2013-06-01;37.887
2013-06-02;19.069
2013-06-03;10.852
2013-06-04;7.118
2013-06-05;5.313
2013-06-06;4.288
2013-06-07;3.55
2013-06-08;3.013
2013-06-09;2.55
2013-06-10;3.5
2013-06-11;2.675
2013-06-12;2.251
2013-06-13;1.988
2013-06-14;1.999
2013-06-15;1.753
2013-06-16;1.549
2013-06-17;1.363
2013-06-18;1.169
2013-06-19;1.0
2013-06-20;0.998
2013-06-21;0.946
2013-06-22;0.771
2013-06-23;0.758
2013-06-24;1.008
2013-06-25;1.034
2013-06-26;0.732
2013-06-27;0.751
2013-06-28;0.722
2013-06-29;2.224
2013-06-30;1.49
2013-07-01;1.051
2013-07-02;0.895
2013-07-03;1.959
2013-07-04;2.565
2013-07-05;1.988
2013-07-06;1.673
2013-07-07;1.346
2013-07-08;1.133
2013-07-09;0.839
2013-07-10;0.653
2013-07-11;0.649
2013-07-12;0.54
2013-07-13;0.502
2013-07-14;0.473
2013-07-15;0.455
2013-07-16;0.445
2013-07-17;0.473
2013-07-18;0.469
2013-07-19;0.525
2013-07-20;0.423
2013-07-21;0.376
2013-07-22;0.317
2013-07-23;0.317
2013-07-24;0.287
2013-07-25;0.257
2013-07-26;0.257
2013-07-27;0.257
2013-07-28;0.354
2013-07-29;3.066
2013-07-30;1.905
2013-07-31;0.964
2013-08-01;0.618
2013-08-02;0.443
2013-08-03;0.323
2013-08-04;0.379
2013-08-05;0.3
2013-08-06;0.257
2013-08-07;0.369
2013-08-08;0.429
2013-08-09;0.373
2013-08-10;0.317
2013-08-11;0.312
2013-08-12;0.297
2013-08-13;0.253
2013-08-14;0.257
2013-08-15;0.245
2013-08-16;0.229
2013-08-17;0.219
2013-08-18;0.209
2013-08-19;0.349
2013-08-20;0.287
2013-08-21;0.237
2013-08-22;0.223
2013-08-23;0.257
2013-08-24;0.319
2013-08-25;0.332
2013-08-26;0.287
2013-08-27;0.267
2013-08-28;0.344
2013-08-29;0.315
2013-08-30;0.29
2013-08-31;0.257
2013-09-01;0.257
2013-09-02;0.249
2013-09-03;0.231
2013-09-04;0.209
2013-09-05;0.209
2013-09-06;0.191
2013-09-07;0.183
2013-09-08;0.526
2013-09-09;0.49
2013-09-10;0.739
2013-09-11;0.505
2013-09-12;2.794
2013-09-13;1.622
2013-09-14;1.022
2013-09-15;1.202
2013-09-16;2.105
2013-09-17;2.417
2013-09-18;3.663
2013-09-19;4.65
2013-09-20;4.663
2013-09-21;3.875
2013-09-22;3.05
2013-09-23;2.419
2013-09-24;1.965
2013-09-25;1.558
2013-09-26;1.461
2013-09-27;1.169
2013-09-28;1.0
2013-09-29;1.0
2013-09-30;0.961
2013-10-01;0.843
2013-10-02;0.751
2013-10-03;0.686
2013-10-04;0.686
2013-10-05;2.032
2013-10-06;5.2
2013-10-07;4.45
2013-10-08;3.638
2013-10-09;2.925
2013-10-10;5.109
2013-10-11;5.488
2013-10-12;4.55
2013-10-13;3.875
2013-10-14;3.813
2013-10-15;4.438
2013-10-16;7.822
2013-10-17;4.85
2013-10-18;3.9
2013-10-19;2.825
2013-10-20;3.013
2013-10-21;2.48
2013-10-22;2.056
2013-10-23;2.307
2013-10-24;1.866
2013-10-25;1.549
2013-10-26;1.416
2013-10-27;1.943
2013-10-28;1.587
2013-10-29;3.175
2013-10-30;2.341
2013-10-31;1.919
2013-11-01;1.647
2013-11-02;1.866
2013-11-03;4.478
2013-11-04;4.938
2013-11-05;5.025
2013-11-06;4.725
2013-11-07;4.075
2013-11-08;3.488
2013-11-09;4.675
2013-11-10;8.129
2013-11-11;7.832
2013-11-12;4.813
2013-11-13;4.513
2013-11-14;3.975
2013-11-15;3.45
2013-11-16;2.95
2013-11-17;2.538
2013-11-18;2.389
2013-11-19;2.305
2013-11-20;2.438
2013-11-21;2.4
2013-11-22;2.4
2013-11-23;2.49
2013-11-24;3.163
2013-11-25;3.375
2013-11-26;2.825
2013-11-27;2.056
2013-11-28;1.815
2013-11-29;1.638
2013-11-30;1.834
2013-12-01;1.461
2013-12-02;1.319
2013-12-03;1.443
2013-12-04;1.416
2013-12-05;1.213
2013-12-06;1.169
2013-12-07;1.0
2013-12-08;1.0
2013-12-09;1.0
2013-12-10;1.0
2013-12-11;0.993
2013-12-12;1.0
2013-12-13;1.0
2013-12-14;1.16
2013-12-15;1.0
2013-12-16;0.941
2013-12-17;0.843
2013-12-18;0.856
2013-12-19;1.363
2013-12-20;1.658
2013-12-21;1.416
2013-12-22;1.584
2013-12-23;2.125
2013-12-24;1.85
2013-12-25;4.335
2013-12-26;7.161
2013-12-27;5.956
2013-12-28;5.483
2013-12-29;6.656
2013-12-30;5.025
2013-12-31;4.538
2014-01-01;3.813
2014-01-02;4.45
2014-01-03;4.5
2014-01-04;4.738
2014-01-05;4.938
2014-01-06;4.75
2014-01-07;4.288
2014-01-08;3.675
2014-01-09;3.138
2014-01-10;3.538
2014-01-11;2.813
2014-01-12;2.45
2014-01-13;2.24
2014-01-14;2.264
2014-01-15;1.999
2014-01-16;2.533
2014-01-17;3.375
2014-01-18;2.913
2014-01-19;2.525
2014-01-20;2.228
2014-01-21;1.942
2014-01-22;1.691
2014-01-23;1.611
2014-01-24;1.647
2014-01-25;1.39
2014-01-26;1.425
2014-01-27;1.676
2014-01-28;1.523
2014-01-29;1.638
2014-01-30;1.461
2014-01-31;1.425
2014-02-01;1.301
2014-02-02;1.487
2014-02-03;1.372
2014-02-04;1.213
2014-02-05;1.293
2014-02-06;1.213
2014-02-07;1.961
2014-02-08;2.495
2014-02-09;3.375
2014-02-10;2.763
2014-02-11;2.221
2014-02-12;1.753
2014-02-13;3.465
2014-02-14;4.738
2014-02-15;4.74
2014-02-16;6.013
2014-02-17;5.138
2014-02-18;4.038
2014-02-19;3.113
2014-02-20;2.492
2014-02-21;2.867
2014-02-22;2.438
2014-02-23;2.4
2014-02-24;2.148
2014-02-25;2.182
2014-02-26;2.566
2014-02-27;2.913
2014-02-28;3.075
2014-03-01;3.013
2014-03-02;2.825
2014-03-03;2.75
2014-03-04;2.38
2014-03-05;2.114
2014-03-06;1.85
2014-03-07;1.735
2014-03-08;1.638
2014-03-09;1.567
2014-03-10;1.469
2014-03-11;1.416
2014-03-12;1.284
2014-03-13;1.213
2014-03-14;1.213
2014-03-15;1.213
2014-03-16;1.213
2014-03-17;1.204
2014-03-18;1.169
2014-03-19;1.213
2014-03-20;1.115
2014-03-21;1.036
2014-03-22;1.86
2014-03-23;1.611
2014-03-24;1.532
2014-03-25;1.416
2014-03-26;1.24
2014-03-27;1.213
2014-03-28;1.062
2014-03-29;1.0
2014-03-30;0.98
2014-03-31;0.915
2014-04-01;0.843
2014-04-02;0.843
2014-04-03;0.843
2014-04-04;0.843
2014-04-05;0.843
2014-04-06;0.797
2014-04-07;0.686
2014-04-08;0.732
2014-04-09;0.667
2014-04-10;0.649
2014-04-11;0.574
2014-04-12;0.574
2014-04-13;0.611
2014-04-14;0.686
2014-04-15;0.686
2014-04-16;0.644
2014-04-17;0.583
2014-04-18;0.649
2014-04-19;0.686
2014-04-20;0.649
2014-04-21;0.681
2014-04-22;0.548
2014-04-23;0.477
2014-04-24;0.473
2014-04-25;0.522
2014-04-26;0.69
2014-04-27;1.903
2014-04-28;1.043
2014-04-29;1.292
2014-04-30;1.523
2014-05-01;1.924
2014-05-02;1.991
2014-05-03;2.888
2014-05-04;2.297
2014-05-05;1.942
2014-05-06;1.611
2014-05-07;2.366
2014-05-08;2.045
2014-05-09;2.777
2014-05-10;3.5
2014-05-11;3.4
2014-05-12;3.088
2014-05-13;3.463
2014-05-14;4.95
2014-05-15;4.413
2014-05-16;3.525
2014-05-17;2.7
2014-05-18;2.217
2014-05-19;1.889
2014-05-20;1.656
2014-05-21;1.532
2014-05-22;1.346
2014-05-23;1.461
2014-05-24;1.151
2014-05-25;1.0
2014-05-26;1.0
2014-05-27;1.142
2014-05-28;0.922
2014-05-29;0.843
2014-05-30;0.758
2014-05-31;0.686
2014-06-01;0.658
2014-06-02;0.625
2014-06-03;0.574
2014-06-04;0.655
2014-06-05;0.641
2014-06-06;0.57
2014-06-07;0.528
2014-06-08;0.473
2014-06-09;0.441
2014-06-10;0.431
2014-06-11;0.434
2014-06-12;0.388
2014-06-13;0.388
2014-06-14;0.388
2014-06-15;0.367
2014-06-16;0.344
2014-06-17;0.401
2014-06-18;0.392
2014-06-19;0.367
2014-06-20;0.341
2014-06-21;0.317
2014-06-22;0.317
2014-06-23;0.326
2014-06-24;0.462
2014-06-25;0.358
2014-06-26;0.317
2014-06-27;0.3
2014-06-28;0.386
2014-06-29;0.604
2014-06-30;0.634
2014-07-01;0.413
2014-07-02;0.335
2014-07-03;0.315
2014-07-04;0.365
2014-07-05;0.867
2014-07-06;0.496
2014-07-07;0.94
2014-07-08;1.556
2014-07-09;1.337
2014-07-10;3.464
2014-07-11;3.175
2014-07-12;2.999
2014-07-13;2.571
2014-07-14;3.069
2014-07-15;3.0
2014-07-16;2.01
2014-07-17;1.638
2014-07-18;1.301
2014-07-19;1.067
2014-07-20;1.969
2014-07-21;4.052
2014-07-22;21.972
2014-07-23;10.071
2014-07-24;5.59
2014-07-25;4.075
2014-07-26;3.163
2014-07-27;2.504
2014-07-28;2.343
2014-07-29;2.963
2014-07-30;4.317
2014-07-31;6.467
2014-08-01;4.9
2014-08-02;3.625
2014-08-03;2.725
2014-08-04;2.148
2014-08-05;1.664
2014-08-06;1.372
2014-08-07;1.443
2014-08-08;1.133
2014-08-09;1.0
2014-08-10;1.361
2014-08-11;2.314
2014-08-12;1.381
2014-08-13;1.337
2014-08-14;1.275
2014-08-15;2.099
2014-08-16;1.762
2014-08-17;1.523
2014-08-18;1.301
2014-08-19;1.089
2014-08-20;0.954
2014-08-21;0.836
2014-08-22;0.765
2014-08-23;0.693
2014-08-24;0.797
2014-08-25;0.639
2014-08-26;0.867
2014-08-27;0.778
2014-08-28;0.653
2014-08-29;0.853
2014-08-30;0.648
2014-08-31;0.991
2014-09-01;1.363
2014-09-02;0.948
2014-09-03;0.836
2014-09-04;0.771
2014-09-05;0.686
2014-09-06;0.639
2014-09-07;0.579
2014-09-08;0.566
2014-09-09;0.524
2014-09-10;0.473
2014-09-11;0.473
2014-09-12;0.642
2014-09-13;0.763
2014-09-14;0.536
2014-09-15;0.466
2014-09-16;0.469
2014-09-17;0.427
2014-09-18;0.388
2014-09-19;0.477
2014-09-20;0.497
2014-09-21;1.797
2014-09-22;2.15
2014-09-23;1.177
2014-09-24;1.049
2014-09-25;1.005
2014-09-26;0.81
2014-09-27;0.686
2014-09-28;0.653
2014-09-29;0.574
2014-09-30;0.574
2014-10-01;0.528
2014-10-02;0.473
2014-10-03;0.473
2014-10-04;0.473
2014-10-05;0.466
2014-10-06;0.402
2014-10-07;0.705
2014-10-08;0.718
2014-10-09;0.491
2014-10-10;0.579
2014-10-11;0.574
2014-10-12;0.502
2014-10-13;0.498
2014-10-14;0.473
2014-10-15;0.519
2014-10-16;1.215
2014-10-17;2.394
2014-10-18;1.792
2014-10-19;1.319
2014-10-20;1.18
2014-10-21;1.49
2014-10-22;1.762
2014-10-23;1.656
2014-10-24;1.514
2014-10-25;1.354
2014-10-26;1.213
2014-10-27;1.044
2014-10-28;0.941
2014-10-29;0.843
2014-10-30;0.751
2014-10-31;0.686
2014-11-01;0.649
2014-11-02;0.574
2014-11-03;0.57
2014-11-04;0.545
2014-11-05;2.063
2014-11-06;2.343
2014-11-07;1.62
2014-11-08;1.319
2014-11-09;1.133
2014-11-10;1.0
2014-11-11;0.915
2014-11-12;0.905
2014-11-13;1.677
2014-11-14;1.213
2014-11-15;1.611
2014-11-16;5.263
2014-11-17;5.013
2014-11-18;4.388
2014-11-19;3.488
2014-11-20;2.725
2014-11-21;2.148
2014-11-22;1.771
2014-11-23;1.523
2014-11-24;1.328
2014-11-25;1.213
2014-11-26;1.08
2014-11-27;1.0
2014-11-28;0.889
2014-11-29;0.843
2014-11-30;0.765
2014-12-01;0.81
2014-12-02;0.784
2014-12-03;0.686
2014-12-04;0.686
2014-12-05;0.686
2014-12-06;0.686
2014-12-07;0.686
2014-12-08;0.681
2014-12-09;0.686
2014-12-10;0.692
2014-12-11;1.239
2014-12-12;1.319
2014-12-13;1.266
2014-12-14;1.425
2014-12-15;1.585
2014-12-16;1.532
2014-12-17;2.145
2014-12-18;4.163
2014-12-19;4.425
2014-12-20;4.225
2014-12-21;3.463
2014-12-22;2.913
2014-12-23;2.309
2014-12-24;1.907
2014-12-25;1.673
2014-12-26;1.443
2014-12-27;1.461
2014-12-28;1.319
2014-12-29;1.009
2014-12-30;1.0
2014-12-31;1.0
2015-01-01;0.928
2015-01-02;1.64
2015-01-03;3.369
2015-01-04;6.109
2015-01-05;4.313
2015-01-06;3.363
2015-01-07;2.688
2015-01-08;2.297
2015-01-09;1.999
2015-01-10;2.251
2015-01-11;3.778
2015-01-12;3.35
2015-01-13;3.1
2015-01-14;3.625
2015-01-15;3.4
2015-01-16;3.55
2015-01-17;5.175
2015-01-18;4.763
2015-01-19;3.85
2015-01-20;3.238
2015-01-21;2.575
2015-01-22;2.205
2015-01-23;1.832
2015-01-24;1.638
2015-01-25;1.469
2015-01-26;1.416
2015-01-27;1.469
2015-01-28;1.425
2015-01-29;2.078
2015-01-30;3.688
2015-01-31;2.565
2015-02-01;1.953
2015-02-02;1.665
2015-02-03;1.425
2015-02-04;1.257
2015-02-05;1.151
2015-02-06;1.0
2015-02-07;0.974
2015-02-08;0.993
2015-02-09;0.843
2015-02-10;0.843
2015-02-11;0.876
2015-02-12;0.961
2015-02-13;1.106
2015-02-14;2.302
2015-02-15;2.75
2015-02-16;2.205
2015-02-17;1.93
2015-02-18;1.647
2015-02-19;1.496
2015-02-20;1.452
2015-02-21;1.978
2015-02-22;1.942
2015-02-23;2.69
2015-02-24;3.463
2015-02-25;2.925
2015-02-26;2.403
2015-02-27;4.13
2015-02-28;4.763
2015-03-01;4.65
2015-03-02;7.835
2015-03-03;5.796
2015-03-04;4.463
2015-03-05;3.45
2015-03-06;2.863
2015-03-07;2.475
2015-03-08;2.148
2015-03-09;2.125
2015-03-10;2.194
2015-03-11;2.4
2015-03-12;2.4
2015-03-13;2.148
2015-03-14;1.907
2015-03-15;1.7
2015-03-16;1.638
2015-03-17;1.558
2015-03-18;1.7
2015-03-19;1.907
2015-03-20;1.861
2015-03-21;1.85
2015-03-22;1.718
2015-03-23;1.638
2015-03-24;1.461
2015-03-25;1.443
2015-03-26;1.549
2015-03-27;1.452
2015-03-28;1.319
2015-03-29;1.549
2015-03-30;4.226
2015-03-31;3.65
2015-04-01;3.2
2015-04-02;3.4
2015-04-03;3.663
2015-04-04;4.425
2015-04-05;4.738
2015-04-06;3.85
2015-04-07;3.05
2015-04-08;2.513
2015-04-09;2.136
2015-04-10;1.85
2015-04-11;1.85
2015-04-12;1.7
2015-04-13;1.638
2015-04-14;1.558
2015-04-15;1.434
2015-04-16;1.425
2015-04-17;1.797
2015-04-18;1.648
2015-04-19;1.293
2015-04-20;1.124
2015-04-21;0.993
2015-04-22;0.935
2015-04-23;0.843
2015-04-24;0.843
2015-04-25;0.843
2015-04-26;0.856
2015-04-27;0.869
2015-04-28;2.185
2015-04-29;1.31
2015-04-30;1.124
2015-05-01;4.793
2015-05-02;9.973
2015-05-03;7.562
2015-05-04;6.312
2015-05-05;4.913
2015-05-06;3.788
2015-05-07;2.963
2015-05-08;2.322
2015-05-09;2.01
2015-05-10;1.726
2015-05-11;1.496
2015-05-12;1.293
2015-05-13;1.169
2015-05-14;1.428
2015-05-15;2.386
2015-05-16;1.822
2015-05-17;1.39
2015-05-18;1.213
2015-05-19;1.133
2015-05-20;1.062
2015-05-21;0.961
2015-05-22;0.843
2015-05-23;0.771
2015-05-24;0.686
2015-05-25;1.104
2015-05-26;1.184
2015-05-27;0.791
2015-05-28;0.672
2015-05-29;0.686
2015-05-30;0.686
2015-05-31;0.639
2015-06-01;0.574
2015-06-02;0.566
2015-06-03;0.536
2015-06-04;0.494
2015-06-05;0.469
2015-06-06;0.503
2015-06-07;0.52
2015-06-08;0.502
2015-06-09;0.473
2015-06-10;0.473
2015-06-11;0.427
2015-06-12;0.421
2015-06-13;0.413
2015-06-14;0.515
2015-06-15;0.956
2015-06-16;0.666
2015-06-17;0.583
