# WaterLevel.0100_071-0_-_LUBW@EX_Eichstetten.EntireRecord.csv generated at 2024-11-14 00:51:13 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0100/071-0 - LUBW@EX_Eichstetten
# Location: EX_Eichstetten
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1972-11-27T00:00:00Z,1972-11-27 01:00:00,223.74,Working,31,
1972-12-04T00:00:00Z,1972-12-04 01:00:00,223.72,Working,31,
1972-12-11T00:00:00Z,1972-12-11 01:00:00,223.72,Working,31,
1972-12-18T00:00:00Z,1972-12-18 01:00:00,223.75,Working,31,
1972-12-26T00:00:00Z,1972-12-26 01:00:00,223.77,Working,31,
1973-01-02T00:00:00Z,1973-01-02 01:00:00,223.78,Working,31,
1973-01-08T00:00:00Z,1973-01-08 01:00:00,223.79,Working,31,
1973-01-15T00:00:00Z,1973-01-15 01:00:00,223.81,Working,31,
1973-01-22T00:00:00Z,1973-01-22 01:00:00,223.81,Working,31,
1973-01-29T00:00:00Z,1973-01-29 01:00:00,223.82,Working,31,
1973-02-05T00:00:00Z,1973-02-05 01:00:00,223.83,Working,31,
1973-02-12T00:00:00Z,1973-02-12 01:00:00,223.85,Working,31,
1973-02-19T00:00:00Z,1973-02-19 01:00:00,223.85,Working,31,
1973-02-26T00:00:00Z,1973-02-26 01:00:00,223.86,Working,31,
1973-03-05T00:00:00Z,1973-03-05 01:00:00,223.9,Working,31,
1973-03-12T00:00:00Z,1973-03-12 01:00:00,223.94,Working,31,
1973-03-19T00:00:00Z,1973-03-19 01:00:00,223.98,Working,31,
1973-03-26T00:00:00Z,1973-03-26 01:00:00,224.03,Working,31,
1973-04-02T00:00:00Z,1973-04-02 01:00:00,224.1,Working,31,
1973-04-09T00:00:00Z,1973-04-09 01:00:00,224.15,Working,31,
1973-04-16T00:00:00Z,1973-04-16 01:00:00,224.27,Working,31,
1973-04-24T00:00:00Z,1973-04-24 01:00:00,224.22,Working,31,
1973-04-30T00:00:00Z,1973-04-30 01:00:00,224.26,Working,31,
1973-05-07T00:00:00Z,1973-05-07 01:00:00,224.29,Working,31,
