# WaterLevel.0106_120-5_-_Stadt_Freiburg@EX_Freiburg_im_Breisgau.EntireRecord.csv generated at 2024-11-19 06:00:02 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0106/120-5 - Stadt Freiburg@EX_Freiburg_im_Breisgau
# Location: EX_Freiburg_im_Breisgau
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1964-12-07T00:00:00Z,1964-12-07 01:00:00,321.21,Working,-1,
1964-12-14T00:00:00Z,1964-12-14 01:00:00,321.26,Working,-1,
1964-12-21T00:00:00Z,1964-12-21 01:00:00,321.34,Working,-1,
1964-12-28T00:00:00Z,1964-12-28 01:00:00,322.47,Working,-1,
1965-01-04T00:00:00Z,1965-01-04 01:00:00,322.63,Working,-1,
1965-01-11T00:00:00Z,1965-01-11 01:00:00,322.65,Working,-1,
1965-01-18T00:00:00Z,1965-01-18 01:00:00,322.24,Working,-1,
1965-01-25T00:00:00Z,1965-01-25 01:00:00,322.19,Working,-1,
1965-02-01T00:00:00Z,1965-02-01 01:00:00,322.3,Working,-1,
1965-02-08T00:00:00Z,1965-02-08 01:00:00,323.07,Working,-1,
1965-02-15T00:00:00Z,1965-02-15 01:00:00,322.47,Working,-1,
1965-02-22T00:00:00Z,1965-02-22 01:00:00,322.1,Working,-1,
1965-03-01T00:00:00Z,1965-03-01 01:00:00,321.97,Working,-1,
1965-03-08T00:00:00Z,1965-03-08 01:00:00,321.74,Working,-1,
1965-03-15T00:00:00Z,1965-03-15 01:00:00,321.65,Working,-1,
1965-03-22T00:00:00Z,1965-03-22 01:00:00,322.92,Working,-1,
1965-03-29T00:00:00Z,1965-03-29 01:00:00,324.01,Working,-1,
1965-04-05T00:00:00Z,1965-04-05 01:00:00,323.94,Working,-1,
1965-04-12T00:00:00Z,1965-04-12 01:00:00,323.68,Working,-1,
1965-04-19T00:00:00Z,1965-04-19 01:00:00,323.87,Working,-1,
1965-04-26T00:00:00Z,1965-04-26 01:00:00,324.84,Working,-1,
1965-05-03T00:00:00Z,1965-05-03 01:00:00,324.72,Working,-1,
