# WaterLevel.0113_070-7_-_LUBW@EX_Schallstadt.EntireRecord.csv generated at 2024-11-14 01:43:29 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0113/070-7 - LUBW@EX_Schallstadt
# Location: EX_Schallstadt
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1972-02-21T00:00:00Z,1972-02-21 01:00:00,215.42,Working,31,
1972-02-28T00:00:00Z,1972-02-28 01:00:00,215.41,Working,31,
1972-03-06T00:00:00Z,1972-03-06 01:00:00,215.41,Working,31,
1972-03-13T00:00:00Z,1972-03-13 01:00:00,215.38,Working,31,
1972-03-20T00:00:00Z,1972-03-20 01:00:00,215.35,Working,31,
1972-03-27T00:00:00Z,1972-03-27 01:00:00,215.37,Working,31,
1972-04-05T00:00:00Z,1972-04-05 01:00:00,215.36,Working,31,
1972-04-10T00:00:00Z,1972-04-10 01:00:00,215.36,Working,31,
1972-04-17T00:00:00Z,1972-04-17 01:00:00,215.35,Working,31,
1972-04-26T00:00:00Z,1972-04-26 01:00:00,215.35,Working,31,
1972-05-02T00:00:00Z,1972-05-02 01:00:00,215.34,Working,31,
1972-05-09T00:00:00Z,1972-05-09 01:00:00,215.31,Working,31,
1972-05-15T00:00:00Z,1972-05-15 01:00:00,215.31,Working,31,
1972-05-24T00:00:00Z,1972-05-24 01:00:00,215.29,Working,31,
1972-05-29T00:00:00Z,1972-05-29 01:00:00,215.29,Working,31,
1972-06-05T00:00:00Z,1972-06-05 01:00:00,215.25,Working,31,
1972-06-12T00:00:00Z,1972-06-12 01:00:00,215.35,Working,31,
1972-06-19T00:00:00Z,1972-06-19 01:00:00,215.44,Working,31,
1972-06-26T00:00:00Z,1972-06-26 01:00:00,215.44,Working,31,
1972-07-03T00:00:00Z,1972-07-03 01:00:00,215.46,Working,31,
1972-07-10T00:00:00Z,1972-07-10 01:00:00,215.42,Working,31,
1972-07-17T00:00:00Z,1972-07-17 01:00:00,215.47,Working,31,
1972-07-24T00:00:00Z,1972-07-24 01:00:00,215.65,Working,31,
1972-07-31T00:00:00Z,1972-07-31 01:00:00,215.73,Working,31,
1972-08-07T00:00:00Z,1972-08-07 01:00:00,215.67,Working,31,
1972-08-14T00:00:00Z,1972-08-14 01:00:00,215.61,Working,31,
1972-08-21T00:00:00Z,1972-08-21 01:00:00,215.55,Working,31,
1972-08-28T00:00:00Z,1972-08-28 01:00:00,215.5,Working,31,
1972-09-04T00:00:00Z,1972-09-04 01:00:00,215.43,Working,31,
1972-09-11T00:00:00Z,1972-09-11 01:00:00,215.36,Working,31,
1972-09-18T00:00:00Z,1972-09-18 01:00:00,215.32,Working,31,
1972-09-25T00:00:00Z,1972-09-25 01:00:00,215.25,Working,31,
1972-10-02T00:00:00Z,1972-10-02 01:00:00,215.23,Working,31,
1972-10-09T00:00:00Z,1972-10-09 01:00:00,215.21,Working,31,
1972-10-16T00:00:00Z,1972-10-16 01:00:00,215.17,Working,31,
1972-10-23T00:00:00Z,1972-10-23 01:00:00,215.18,Working,31,
1972-10-30T00:00:00Z,1972-10-30 01:00:00,215.16,Working,31,
1972-11-06T00:00:00Z,1972-11-06 01:00:00,215.17,Working,31,
1972-11-14T00:00:00Z,1972-11-14 01:00:00,215.19,Working,31,
1972-11-20T00:00:00Z,1972-11-20 01:00:00,215.44,Working,31,
1972-11-27T00:00:00Z,1972-11-27 01:00:00,215.59,Working,31,
1972-12-04T00:00:00Z,1972-12-04 01:00:00,215.49,Working,31,
1972-12-11T00:00:00Z,1972-12-11 01:00:00,215.63,Working,31,
1972-12-18T00:00:00Z,1972-12-18 01:00:00,215.69,Working,31,
1972-12-27T00:00:00Z,1972-12-27 01:00:00,215.7,Working,31,
1973-01-02T00:00:00Z,1973-01-02 01:00:00,215.66,Working,31,
1973-01-08T00:00:00Z,1973-01-08 01:00:00,215.6,Working,31,
1973-01-15T00:00:00Z,1973-01-15 01:00:00,215.6,Working,31,
1973-01-22T00:00:00Z,1973-01-22 01:00:00,215.55,Working,31,
1973-01-29T00:00:00Z,1973-01-29 01:00:00,215.57,Working,31,
1973-02-05T00:00:00Z,1973-02-05 01:00:00,215.6,Working,31,
1973-02-12T00:00:00Z,1973-02-12 01:00:00,215.67,Working,31,
1973-02-19T00:00:00Z,1973-02-19 01:00:00,215.64,Working,31,
1973-02-26T00:00:00Z,1973-02-26 01:00:00,215.66,Working,31,
1973-03-05T00:00:00Z,1973-03-05 01:00:00,215.7,Working,31,
1973-03-12T00:00:00Z,1973-03-12 01:00:00,215.72,Working,31,
1973-03-20T00:00:00Z,1973-03-20 01:00:00,215.72,Working,31,
1973-03-26T00:00:00Z,1973-03-26 01:00:00,215.71,Working,31,
1973-04-02T00:00:00Z,1973-04-02 01:00:00,215.7,Working,31,
1973-04-09T00:00:00Z,1973-04-09 01:00:00,215.68,Working,31,
1973-04-16T00:00:00Z,1973-04-16 01:00:00,215.64,Working,31,
1973-04-24T00:00:00Z,1973-04-24 01:00:00,215.68,Working,31,
1973-04-30T00:00:00Z,1973-04-30 01:00:00,215.69,Working,31,
1973-05-07T00:00:00Z,1973-05-07 01:00:00,215.74,Working,31,
1973-05-14T00:00:00Z,1973-05-14 01:00:00,215.76,Working,31,
1973-05-21T00:00:00Z,1973-05-21 01:00:00,215.79,Working,31,
1973-05-28T00:00:00Z,1973-05-28 01:00:00,215.73,Working,31,
1973-06-04T00:00:00Z,1973-06-04 01:00:00,215.73,Working,31,
1973-06-12T00:00:00Z,1973-06-12 01:00:00,215.71,Working,31,
1973-06-18T00:00:00Z,1973-06-18 01:00:00,215.65,Working,31,
1973-06-25T00:00:00Z,1973-06-25 01:00:00,215.77,Working,31,
1973-07-02T00:00:00Z,1973-07-02 01:00:00,215.73,Working,31,
1973-07-09T00:00:00Z,1973-07-09 01:00:00,215.69,Working,31,
1973-07-16T00:00:00Z,1973-07-16 01:00:00,215.64,Working,31,
1973-07-23T00:00:00Z,1973-07-23 01:00:00,215.6,Working,31,
1973-07-30T00:00:00Z,1973-07-30 01:00:00,215.59,Working,31,
1973-08-06T00:00:00Z,1973-08-06 01:00:00,215.54,Working,31,
1973-08-13T00:00:00Z,1973-08-13 01:00:00,215.51,Working,31,
1973-08-20T00:00:00Z,1973-08-20 01:00:00,215.49,Working,31,
1973-08-27T00:00:00Z,1973-08-27 01:00:00,215.47,Working,31,
1973-09-03T00:00:00Z,1973-09-03 01:00:00,215.48,Working,31,
