# WaterLevel.0118_070-0_-_LUBW@EX_Ehrenkirchen.EntireRecord.csv generated at 2024-11-14 00:50:47 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0118/070-0 - LUBW@EX_Ehrenkirchen
# Location: EX_Ehrenkirchen
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1923-01-01T00:00:00Z,1923-01-01 01:00:00,217.84,Working,31,
1923-01-08T00:00:00Z,1923-01-08 01:00:00,217.88,Working,31,
1923-01-15T00:00:00Z,1923-01-15 01:00:00,217.75,Working,31,
1923-01-22T00:00:00Z,1923-01-22 01:00:00,217.8,Working,31,
1923-01-29T00:00:00Z,1923-01-29 01:00:00,217.65,Working,31,
1923-02-05T00:00:00Z,1923-02-05 01:00:00,217.6,Working,31,
1923-02-12T00:00:00Z,1923-02-12 01:00:00,217.28,Working,31,
1923-02-19T00:00:00Z,1923-02-19 01:00:00,217.3,Working,31,
1923-02-26T00:00:00Z,1923-02-26 01:00:00,217.5,Working,31,
1923-03-05T00:00:00Z,1923-03-05 01:00:00,217.4,Working,31,
1923-03-12T00:00:00Z,1923-03-12 01:00:00,217.4,Working,31,
1923-03-19T00:00:00Z,1923-03-19 01:00:00,217.4,Working,31,
1923-03-26T00:00:00Z,1923-03-26 01:00:00,217.6,Working,31,
1923-04-02T00:00:00Z,1923-04-02 01:00:00,217.62,Working,31,
1923-04-09T00:00:00Z,1923-04-09 01:00:00,217.63,Working,31,
1923-04-16T00:00:00Z,1923-04-16 01:00:00,217.63,Working,31,
1923-04-23T00:00:00Z,1923-04-23 01:00:00,217.63,Working,31,
1923-04-30T00:00:00Z,1923-04-30 01:00:00,217.63,Working,31,
1923-05-07T00:00:00Z,1923-05-07 01:00:00,217.65,Working,31,
1923-05-14T00:00:00Z,1923-05-14 01:00:00,217.65,Working,31,
1923-05-21T00:00:00Z,1923-05-21 01:00:00,217.68,Working,31,
1923-05-28T00:00:00Z,1923-05-28 01:00:00,217.68,Working,31,
1923-06-04T00:00:00Z,1923-06-04 01:00:00,217.15,Working,31,
1923-06-11T00:00:00Z,1923-06-11 01:00:00,216.84,Working,31,
1923-06-18T00:00:00Z,1923-06-18 01:00:00,216.82,Working,31,
1923-06-25T00:00:00Z,1923-06-25 01:00:00,216.84,Working,31,
1923-07-02T00:00:00Z,1923-07-02 01:00:00,216.81,Working,31,
1923-07-09T00:00:00Z,1923-07-09 01:00:00,216.79,Working,31,
1923-07-16T00:00:00Z,1923-07-16 01:00:00,216.58,Working,31,
1923-07-23T00:00:00Z,1923-07-23 01:00:00,216.82,Working,31,
1923-07-30T00:00:00Z,1923-07-30 01:00:00,216.77,Working,31,
1923-08-06T00:00:00Z,1923-08-06 01:00:00,216.75,Working,31,
1923-08-13T00:00:00Z,1923-08-13 01:00:00,216.69,Working,31,
1923-08-20T00:00:00Z,1923-08-20 01:00:00,216.68,Working,31,
1923-08-27T00:00:00Z,1923-08-27 01:00:00,216.68,Working,31,
1923-09-03T00:00:00Z,1923-09-03 01:00:00,216.65,Working,31,
1923-09-10T00:00:00Z,1923-09-10 01:00:00,216.4,Working,31,
1923-09-17T00:00:00Z,1923-09-17 01:00:00,216.28,Working,31,
1923-09-24T00:00:00Z,1923-09-24 01:00:00,216.25,Working,31,
1923-10-01T00:00:00Z,1923-10-01 01:00:00,216.2,Working,31,
1923-10-08T00:00:00Z,1923-10-08 01:00:00,216.15,Working,31,
1923-10-15T00:00:00Z,1923-10-15 01:00:00,216.1,Working,31,
1923-10-22T00:00:00Z,1923-10-22 01:00:00,216.08,Working,31,
1923-10-29T00:00:00Z,1923-10-29 01:00:00,216.08,Working,31,
1923-11-05T00:00:00Z,1923-11-05 01:00:00,216.06,Working,31,
1923-11-12T00:00:00Z,1923-11-12 01:00:00,215.94,Working,31,
1923-11-19T00:00:00Z,1923-11-19 01:00:00,215.9,Working,31,
1923-11-26T00:00:00Z,1923-11-26 01:00:00,215.9,Working,31,
1923-12-03T00:00:00Z,1923-12-03 01:00:00,215.98,Working,31,
1923-12-10T00:00:00Z,1923-12-10 01:00:00,215.97,Working,31,
1923-12-17T00:00:00Z,1923-12-17 01:00:00,215.97,Working,31,
1923-12-24T00:00:00Z,1923-12-24 01:00:00,215.97,Working,31,
1923-12-31T00:00:00Z,1923-12-31 01:00:00,215.97,Working,31,
1924-01-07T00:00:00Z,1924-01-07 01:00:00,215.98,Working,31,
1924-01-14T00:00:00Z,1924-01-14 01:00:00,215.98,Working,31,
1924-01-21T00:00:00Z,1924-01-21 01:00:00,215.99,Working,31,
1924-01-28T00:00:00Z,1924-01-28 01:00:00,215.99,Working,31,
1924-02-04T00:00:00Z,1924-02-04 01:00:00,215.97,Working,31,
1924-02-11T00:00:00Z,1924-02-11 01:00:00,215.97,Working,31,
1924-02-18T00:00:00Z,1924-02-18 01:00:00,215.96,Working,31,
1924-02-25T00:00:00Z,1924-02-25 01:00:00,215.99,Working,31,
1924-03-03T00:00:00Z,1924-03-03 01:00:00,215.97,Working,31,
1924-03-10T00:00:00Z,1924-03-10 01:00:00,215.97,Working,31,
1924-03-17T00:00:00Z,1924-03-17 01:00:00,215.96,Working,31,
1924-03-24T00:00:00Z,1924-03-24 01:00:00,215.96,Working,31,
1924-03-31T00:00:00Z,1924-03-31 01:00:00,215.96,Working,31,
1924-04-07T00:00:00Z,1924-04-07 01:00:00,215.92,Working,31,
1924-04-14T00:00:00Z,1924-04-14 01:00:00,215.88,Working,31,
1924-04-21T00:00:00Z,1924-04-21 01:00:00,215.88,Working,31,
1924-04-28T00:00:00Z,1924-04-28 01:00:00,216,Working,31,
1924-05-05T00:00:00Z,1924-05-05 01:00:00,215.82,Working,31,
1924-05-12T00:00:00Z,1924-05-12 01:00:00,215.82,Working,31,
1924-05-19T00:00:00Z,1924-05-19 01:00:00,215.82,Working,31,
1924-05-26T00:00:00Z,1924-05-26 01:00:00,215.82,Working,31,
1924-06-02T00:00:00Z,1924-06-02 01:00:00,215.94,Working,31,
1924-06-10T00:00:00Z,1924-06-10 01:00:00,216.24,Working,31,
1924-06-16T00:00:00Z,1924-06-16 01:00:00,216.26,Working,31,
1924-06-23T00:00:00Z,1924-06-23 01:00:00,216.26,Working,31,
1924-06-30T00:00:00Z,1924-06-30 01:00:00,216.25,Working,31,
1924-07-07T00:00:00Z,1924-07-07 01:00:00,216.34,Working,31,
1924-07-14T00:00:00Z,1924-07-14 01:00:00,216.33,Working,31,
1924-07-21T00:00:00Z,1924-07-21 01:00:00,216.33,Working,31,
1924-07-28T00:00:00Z,1924-07-28 01:00:00,216.33,Working,31,
1924-08-04T00:00:00Z,1924-08-04 01:00:00,215.7,Working,31,
1924-08-11T00:00:00Z,1924-08-11 01:00:00,215.7,Working,31,
1924-08-18T00:00:00Z,1924-08-18 01:00:00,215.7,Working,31,
1924-08-25T00:00:00Z,1924-08-25 01:00:00,215.69,Working,31,
1924-09-01T00:00:00Z,1924-09-01 01:00:00,215.69,Working,31,
1924-09-08T00:00:00Z,1924-09-08 01:00:00,215.69,Working,31,
1924-09-15T00:00:00Z,1924-09-15 01:00:00,215.68,Working,31,
1924-09-22T00:00:00Z,1924-09-22 01:00:00,215.68,Working,31,
1924-09-29T00:00:00Z,1924-09-29 01:00:00,215.68,Working,31,
1924-10-06T00:00:00Z,1924-10-06 01:00:00,215.67,Working,31,
1924-10-13T00:00:00Z,1924-10-13 01:00:00,215.66,Working,31,
1924-10-20T00:00:00Z,1924-10-20 01:00:00,215.66,Working,31,
1924-10-27T00:00:00Z,1924-10-27 01:00:00,215.67,Working,31,
1924-11-03T00:00:00Z,1924-11-03 01:00:00,215.66,Working,31,
1924-11-10T00:00:00Z,1924-11-10 01:00:00,215.64,Working,31,
1924-11-17T00:00:00Z,1924-11-17 01:00:00,215.65,Working,31,
1924-11-24T00:00:00Z,1924-11-24 01:00:00,215.65,Working,31,
1924-12-01T00:00:00Z,1924-12-01 01:00:00,215.67,Working,31,
1924-12-08T00:00:00Z,1924-12-08 01:00:00,215.67,Working,31,
1924-12-15T00:00:00Z,1924-12-15 01:00:00,215.7,Working,31,
1924-12-22T00:00:00Z,1924-12-22 01:00:00,215.7,Working,31,
1924-12-29T00:00:00Z,1924-12-29 01:00:00,215.68,Working,31,
1925-01-05T00:00:00Z,1925-01-05 01:00:00,215.35,Working,31,
1925-01-12T00:00:00Z,1925-01-12 01:00:00,215.28,Working,31,
1925-01-19T00:00:00Z,1925-01-19 01:00:00,215.24,Working,31,
1925-01-26T00:00:00Z,1925-01-26 01:00:00,215.12,Working,31,
1925-02-02T00:00:00Z,1925-02-02 01:00:00,215.1,Working,31,
1925-02-09T00:00:00Z,1925-02-09 01:00:00,215.07,Working,31,
1925-02-16T00:00:00Z,1925-02-16 01:00:00,215.04,Working,31,
1925-02-23T00:00:00Z,1925-02-23 01:00:00,215.01,Working,31,
1925-03-02T00:00:00Z,1925-03-02 01:00:00,214.91,Working,31,
1925-03-09T00:00:00Z,1925-03-09 01:00:00,214.95,Working,31,
1925-03-16T00:00:00Z,1925-03-16 01:00:00,214.97,Working,31,
1925-03-23T00:00:00Z,1925-03-23 01:00:00,214.87,Working,31,
1925-03-30T00:00:00Z,1925-03-30 01:00:00,214.9,Working,31,
1925-04-06T00:00:00Z,1925-04-06 01:00:00,214.87,Working,31,
1925-04-13T00:00:00Z,1925-04-13 01:00:00,214.9,Working,31,
1925-04-20T00:00:00Z,1925-04-20 01:00:00,214.84,Working,31,
1925-04-27T00:00:00Z,1925-04-27 01:00:00,214.9,Working,31,
1925-05-04T00:00:00Z,1925-05-04 01:00:00,214.88,Working,31,
1925-05-11T00:00:00Z,1925-05-11 01:00:00,214.9,Working,31,
1925-05-18T00:00:00Z,1925-05-18 01:00:00,214.96,Working,31,
1925-05-25T00:00:00Z,1925-05-25 01:00:00,214.94,Working,31,
1925-06-01T00:00:00Z,1925-06-01 01:00:00,214.96,Working,31,
1925-06-08T00:00:00Z,1925-06-08 01:00:00,214.93,Working,31,
1925-06-15T00:00:00Z,1925-06-15 01:00:00,214.9,Working,31,
1925-06-22T00:00:00Z,1925-06-22 01:00:00,214.9,Working,31,
1925-06-29T00:00:00Z,1925-06-29 01:00:00,214.95,Working,31,
1925-07-06T00:00:00Z,1925-07-06 01:00:00,215.04,Working,31,
1925-07-13T00:00:00Z,1925-07-13 01:00:00,215.12,Working,31,
1925-07-20T00:00:00Z,1925-07-20 01:00:00,215.1,Working,31,
1925-07-27T00:00:00Z,1925-07-27 01:00:00,215.14,Working,31,
1925-08-03T00:00:00Z,1925-08-03 01:00:00,215.06,Working,31,
1925-08-10T00:00:00Z,1925-08-10 01:00:00,215.01,Working,31,
1925-08-17T00:00:00Z,1925-08-17 01:00:00,214.98,Working,31,
1925-08-24T00:00:00Z,1925-08-24 01:00:00,214.95,Working,31,
1925-08-31T00:00:00Z,1925-08-31 01:00:00,214.94,Working,31,
1925-09-07T00:00:00Z,1925-09-07 01:00:00,214.92,Working,31,
1925-09-14T00:00:00Z,1925-09-14 01:00:00,214.95,Working,31,
1925-09-21T00:00:00Z,1925-09-21 01:00:00,214.9,Working,31,
1925-09-28T00:00:00Z,1925-09-28 01:00:00,214.94,Working,31,
1925-10-05T00:00:00Z,1925-10-05 01:00:00,214.92,Working,31,
1925-10-12T00:00:00Z,1925-10-12 01:00:00,214.88,Working,31,
1925-10-19T00:00:00Z,1925-10-19 01:00:00,214.86,Working,31,
1925-10-26T00:00:00Z,1925-10-26 01:00:00,214.92,Working,31,
1925-11-02T00:00:00Z,1925-11-02 01:00:00,214.55,Working,31,
1925-11-09T00:00:00Z,1925-11-09 01:00:00,214.65,Working,31,
1925-11-16T00:00:00Z,1925-11-16 01:00:00,214.6,Working,31,
1925-11-23T00:00:00Z,1925-11-23 01:00:00,214.52,Working,31,
1925-11-30T00:00:00Z,1925-11-30 01:00:00,214.44,Working,31,
1925-12-07T00:00:00Z,1925-12-07 01:00:00,214.4,Working,31,
1925-12-14T00:00:00Z,1925-12-14 01:00:00,215.65,Working,31,
1925-12-21T00:00:00Z,1925-12-21 01:00:00,215.8,Working,31,
1925-12-28T00:00:00Z,1925-12-28 01:00:00,216,Working,31,
1926-01-04T00:00:00Z,1926-01-04 01:00:00,216.1,Working,31,
1926-01-11T00:00:00Z,1926-01-11 01:00:00,216,Working,31,
1926-01-18T00:00:00Z,1926-01-18 01:00:00,216.3,Working,31,
1926-01-25T00:00:00Z,1926-01-25 01:00:00,216.55,Working,31,
1926-02-01T00:00:00Z,1926-02-01 01:00:00,216.5,Working,31,
1926-02-08T00:00:00Z,1926-02-08 01:00:00,216.4,Working,31,
1926-02-15T00:00:00Z,1926-02-15 01:00:00,216.4,Working,31,
1926-02-22T00:00:00Z,1926-02-22 01:00:00,216.3,Working,31,
1926-03-01T00:00:00Z,1926-03-01 01:00:00,217,Working,31,
1926-03-08T00:00:00Z,1926-03-08 01:00:00,217.39,Working,31,
1926-03-15T00:00:00Z,1926-03-15 01:00:00,217.59,Working,31,
1926-03-22T00:00:00Z,1926-03-22 01:00:00,217.39,Working,31,
1926-03-29T00:00:00Z,1926-03-29 01:00:00,217.29,Working,31,
1926-04-05T00:00:00Z,1926-04-05 01:00:00,217.4,Working,31,
1926-04-12T00:00:00Z,1926-04-12 01:00:00,216.8,Working,31,
1926-04-19T00:00:00Z,1926-04-19 01:00:00,216.4,Working,31,
1926-04-26T00:00:00Z,1926-04-26 01:00:00,216.2,Working,31,
1926-05-03T00:00:00Z,1926-05-03 01:00:00,216.4,Working,31,
1926-05-10T00:00:00Z,1926-05-10 01:00:00,216.25,Working,31,
1926-05-17T00:00:00Z,1926-05-17 01:00:00,216.3,Working,31,
1926-05-25T00:00:00Z,1926-05-25 01:00:00,216.4,Working,31,
1926-06-07T00:00:00Z,1926-06-07 01:00:00,216,Working,31,
1926-06-14T00:00:00Z,1926-06-14 01:00:00,215.7,Working,31,
1926-06-22T00:00:00Z,1926-06-22 01:00:00,215.7,Working,31,
1926-06-28T00:00:00Z,1926-06-28 01:00:00,215.6,Working,31,
1926-07-05T00:00:00Z,1926-07-05 01:00:00,215.8,Working,31,
1926-07-12T00:00:00Z,1926-07-12 01:00:00,215.8,Working,31,
1926-07-19T00:00:00Z,1926-07-19 01:00:00,215.7,Working,31,
1926-07-26T00:00:00Z,1926-07-26 01:00:00,215.7,Working,31,
1926-08-02T00:00:00Z,1926-08-02 01:00:00,215.7,Working,31,
1926-08-09T00:00:00Z,1926-08-09 01:00:00,215.7,Working,31,
1926-08-16T00:00:00Z,1926-08-16 01:00:00,215.56,Working,31,
1926-08-23T00:00:00Z,1926-08-23 01:00:00,215.52,Working,31,
1926-08-30T00:00:00Z,1926-08-30 01:00:00,215.52,Working,31,
1926-09-06T00:00:00Z,1926-09-06 01:00:00,215.4,Working,31,
1926-09-13T00:00:00Z,1926-09-13 01:00:00,215.4,Working,31,
1926-09-20T00:00:00Z,1926-09-20 01:00:00,215.4,Working,31,
1926-09-27T00:00:00Z,1926-09-27 01:00:00,215.4,Working,31,
1926-10-04T00:00:00Z,1926-10-04 01:00:00,215.4,Working,31,
1926-10-11T00:00:00Z,1926-10-11 01:00:00,215.4,Working,31,
1926-10-18T00:00:00Z,1926-10-18 01:00:00,215.3,Working,31,
1926-10-25T00:00:00Z,1926-10-25 01:00:00,215.4,Working,31,
1926-11-01T00:00:00Z,1926-11-01 01:00:00,215.5,Working,31,
1926-11-08T00:00:00Z,1926-11-08 01:00:00,215.49,Working,31,
1926-11-15T00:00:00Z,1926-11-15 01:00:00,215.44,Working,31,
