# WaterLevel.PE_33_-_Badenova@EX_Kirchzarten.EntireRecord.csv generated at 2024-11-14 01:40:56 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.PE 33 - Badenova@EX_Kirchzarten
# Location: EX_Kirchzarten
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1987-01-21T13:00:00Z,1987-01-21 14:00:00,354.4309998093,Working,31,
1987-02-03T13:00:00Z,1987-02-03 14:00:00,351.3109999237,Working,31,
1987-02-17T13:00:00Z,1987-02-17 14:00:00,350.5209999619,Working,31,
1987-03-04T13:00:00Z,1987-03-04 14:00:00,351.8410001335,Working,31,
1987-03-17T13:00:00Z,1987-03-17 14:00:00,351.510999733,Working,31,
1987-04-01T14:00:00Z,1987-04-01 15:00:00,352.0310001907,Working,31,
1987-04-15T14:00:00Z,1987-04-15 15:00:00,351.6409998474,Working,31,
1987-04-29T14:00:00Z,1987-04-29 15:00:00,350.8809996185,Working,31,
1987-05-13T14:00:00Z,1987-05-13 15:00:00,350.2810001907,Working,31,
1987-05-25T14:00:00Z,1987-05-25 15:00:00,351.9910002289,Working,31,
1987-06-10T14:00:00Z,1987-06-10 15:00:00,352.8109999237,Working,31,
1987-06-25T14:00:00Z,1987-06-25 15:00:00,354.6609998283,Working,31,
1987-07-09T14:00:00Z,1987-07-09 15:00:00,352.2110000191,Working,31,
1987-07-23T14:00:00Z,1987-07-23 15:00:00,350.8109999237,Working,31,
1987-08-06T14:00:00Z,1987-08-06 15:00:00,350.201000267,Working,31,
1987-08-19T14:00:00Z,1987-08-19 15:00:00,350.0310001907,Working,31,
1987-09-03T14:00:00Z,1987-09-03 15:00:00,349.7510004578,Working,31,
1987-09-16T14:00:00Z,1987-09-16 15:00:00,349.6910000381,Working,31,
1987-09-30T13:00:00Z,1987-09-30 14:00:00,350.4410000381,Working,31,
1987-10-14T13:00:00Z,1987-10-14 14:00:00,350.6910000381,Working,31,
1987-10-28T13:00:00Z,1987-10-28 14:00:00,350.9110003052,Working,31,
1987-11-12T13:00:00Z,1987-11-12 14:00:00,350.3809996185,Working,31,
1987-11-25T13:00:00Z,1987-11-25 14:00:00,352.4010000763,Working,31,
