# WaterLevel.0118_020-6_-_LUBW@EX_Bad_Krozingen.EntireRecord.csv generated at 2024-11-13 05:08:13 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0118/020-6 - LUBW@EX_Bad_Krozingen
# Location: EX_Bad_Krozingen
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1968-11-04T00:00:00Z,1968-11-04 01:00:00,194.27,Working,31,
1968-11-11T00:00:00Z,1968-11-11 01:00:00,194.22,Working,31,
1968-11-18T00:00:00Z,1968-11-18 01:00:00,194.19,Working,31,
1968-11-25T00:00:00Z,1968-11-25 01:00:00,194.15,Working,31,
1968-12-02T00:00:00Z,1968-12-02 01:00:00,193.86,Working,31,
1968-12-09T00:00:00Z,1968-12-09 01:00:00,193.74,Working,31,
1968-12-16T00:00:00Z,1968-12-16 01:00:00,193.65,Working,31,
1968-12-23T00:00:00Z,1968-12-23 01:00:00,193.55,Working,31,
1968-12-30T00:00:00Z,1968-12-30 01:00:00,193.46,Working,31,
1969-01-03T00:00:00Z,1969-01-03 01:00:00,193.69,Working,31,
1969-01-10T00:00:00Z,1969-01-10 01:00:00,193.72,Working,31,
1969-01-17T00:00:00Z,1969-01-17 01:00:00,193.74,Working,31,
1969-01-24T00:00:00Z,1969-01-24 01:00:00,193.81,Working,31,
1969-02-06T00:00:00Z,1969-02-06 01:00:00,193.45,Working,31,
1969-02-13T00:00:00Z,1969-02-13 01:00:00,193.56,Working,31,
1969-02-20T00:00:00Z,1969-02-20 01:00:00,193.62,Working,31,
1969-02-27T00:00:00Z,1969-02-27 01:00:00,193.66,Working,31,
1969-04-01T00:00:00Z,1969-04-01 01:00:00,193.56,Working,31,
1969-04-08T00:00:00Z,1969-04-08 01:00:00,193.5,Working,31,
1969-04-15T00:00:00Z,1969-04-15 01:00:00,193.09,Working,31,
1969-04-22T00:00:00Z,1969-04-22 01:00:00,193.14,Working,31,
1969-04-29T00:00:00Z,1969-04-29 01:00:00,193.26,Working,31,
1969-05-06T00:00:00Z,1969-05-06 01:00:00,193.92,Working,31,
1969-05-13T00:00:00Z,1969-05-13 01:00:00,194.19,Working,31,
1969-05-20T00:00:00Z,1969-05-20 01:00:00,194.31,Working,31,
1969-05-27T00:00:00Z,1969-05-27 01:00:00,194.29,Working,31,
1969-07-08T00:00:00Z,1969-07-08 01:00:00,194.44,Working,31,
1969-07-15T00:00:00Z,1969-07-15 01:00:00,194.41,Working,31,
1969-07-22T00:00:00Z,1969-07-22 01:00:00,194.37,Working,31,
1969-07-29T00:00:00Z,1969-07-29 01:00:00,194.26,Working,31,
1969-11-04T00:00:00Z,1969-11-04 01:00:00,193.87,Working,31,
1969-11-11T00:00:00Z,1969-11-11 01:00:00,193.87,Working,31,
1969-11-18T00:00:00Z,1969-11-18 01:00:00,193.83,Working,31,
1969-11-25T00:00:00Z,1969-11-25 01:00:00,193.81,Working,31,
1969-12-02T00:00:00Z,1969-12-02 01:00:00,193.79,Working,31,
1969-12-09T00:00:00Z,1969-12-09 01:00:00,193.86,Working,31,
1969-12-16T00:00:00Z,1969-12-16 01:00:00,193.77,Working,31,
1969-12-23T00:00:00Z,1969-12-23 01:00:00,193.86,Working,31,
1969-12-30T00:00:00Z,1969-12-30 01:00:00,193.82,Working,31,
1970-01-07T00:00:00Z,1970-01-07 01:00:00,193.78,Working,31,
1970-01-13T00:00:00Z,1970-01-13 01:00:00,193.84,Working,31,
1970-01-20T00:00:00Z,1970-01-20 01:00:00,193.96,Working,31,
1970-01-27T00:00:00Z,1970-01-27 01:00:00,193.93,Working,31,
1970-02-03T00:00:00Z,1970-02-03 01:00:00,193.97,Working,31,
1970-02-10T00:00:00Z,1970-02-10 01:00:00,194.25,Working,31,
1970-02-17T00:00:00Z,1970-02-17 01:00:00,194.36,Working,31,
1970-02-24T00:00:00Z,1970-02-24 01:00:00,194.43,Working,31,
1970-03-03T00:00:00Z,1970-03-03 01:00:00,194.59,Working,31,
