# WaterLevel.0160_070-0_-_LUBW@EX_Ehrenkirchen.EntireRecord.csv generated at 2024-11-14 00:50:47 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0160/070-0 - LUBW@EX_Ehrenkirchen
# Location: EX_Ehrenkirchen
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1980-01-07T00:00:00Z,1980-01-07 01:00:00,245.27,Working,31,
1980-01-14T00:00:00Z,1980-01-14 01:00:00,245.28,Working,31,
1980-01-21T00:00:00Z,1980-01-21 01:00:00,245.28,Working,31,
1980-01-28T00:00:00Z,1980-01-28 01:00:00,245.29,Working,31,
1980-02-04T00:00:00Z,1980-02-04 01:00:00,245.35,Working,31,
1980-02-11T00:00:00Z,1980-02-11 01:00:00,245.5,Working,31,
1980-02-18T00:00:00Z,1980-02-18 01:00:00,245.52,Working,31,
1980-02-25T00:00:00Z,1980-02-25 01:00:00,245.55,Working,31,
1980-03-03T00:00:00Z,1980-03-03 01:00:00,245.55,Working,31,
1980-03-10T00:00:00Z,1980-03-10 01:00:00,245.55,Working,31,
1980-03-17T00:00:00Z,1980-03-17 01:00:00,245.55,Working,31,
1980-03-24T00:00:00Z,1980-03-24 01:00:00,245.55,Working,31,
1980-03-31T00:00:00Z,1980-03-31 01:00:00,245.55,Working,31,
1980-04-07T00:00:00Z,1980-04-07 01:00:00,245.55,Working,31,
1980-04-14T00:00:00Z,1980-04-14 01:00:00,245.54,Working,31,
1980-04-21T00:00:00Z,1980-04-21 01:00:00,245.53,Working,31,
1980-04-28T00:00:00Z,1980-04-28 01:00:00,245.52,Working,31,
1980-05-05T00:00:00Z,1980-05-05 01:00:00,245.52,Working,31,
