# WaterLevel.0247_020-6_-_LUBW@EX_Breisach_am_Rhein.EntireRecord.csv generated at 2024-11-14 00:49:50 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.0247/020-6 - LUBW@EX_Breisach_am_Rhein
# Location: EX_Breisach_am_Rhein
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1998-04-06T00:00:00Z,1998-04-06 01:00:00,193.39,Working,31,
1998-04-13T00:00:00Z,1998-04-13 01:00:00,193.47,Working,31,
1998-04-20T00:00:00Z,1998-04-20 01:00:00,193.55,Working,31,
1998-04-27T00:00:00Z,1998-04-27 01:00:00,193.57,Working,31,
1998-05-04T00:00:00Z,1998-05-04 01:00:00,193.55,Working,31,
1998-05-11T00:00:00Z,1998-05-11 01:00:00,193.52,Working,31,
1998-05-18T00:00:00Z,1998-05-18 01:00:00,193.48,Working,31,
1998-05-25T00:00:00Z,1998-05-25 01:00:00,193.46,Working,31,
1998-06-01T00:00:00Z,1998-06-01 01:00:00,193.44,Working,31,
1998-06-08T00:00:00Z,1998-06-08 01:00:00,193.42,Working,31,
1998-06-15T00:00:00Z,1998-06-15 01:00:00,193.44,Working,31,
1998-06-22T00:00:00Z,1998-06-22 01:00:00,193.41,Working,31,
1998-06-29T00:00:00Z,1998-06-29 01:00:00,193.35,Working,31,
1998-07-06T00:00:00Z,1998-07-06 01:00:00,193.3,Working,31,
1998-07-13T00:00:00Z,1998-07-13 01:00:00,193.23,Working,31,
1998-07-20T00:00:00Z,1998-07-20 01:00:00,193.2,Working,31,
1998-07-27T00:00:00Z,1998-07-27 01:00:00,193.12,Working,31,
1998-08-03T00:00:00Z,1998-08-03 01:00:00,193.15,Working,31,
1998-08-10T00:00:00Z,1998-08-10 01:00:00,193.17,Working,31,
1998-08-17T00:00:00Z,1998-08-17 01:00:00,193.18,Working,31,
1998-08-24T00:00:00Z,1998-08-24 01:00:00,193.16,Working,31,
1998-08-31T00:00:00Z,1998-08-31 01:00:00,193.15,Working,31,
1998-09-07T00:00:00Z,1998-09-07 01:00:00,193.17,Working,31,
1998-09-14T00:00:00Z,1998-09-14 01:00:00,193.26,Working,31,
1998-09-21T00:00:00Z,1998-09-21 01:00:00,193.25,Working,31,
1998-09-28T00:00:00Z,1998-09-28 01:00:00,193.3,Working,31,
1998-10-05T00:00:00Z,1998-10-05 01:00:00,193.3,Working,31,
1998-10-12T00:00:00Z,1998-10-12 01:00:00,193.31,Working,31,
1998-10-19T00:00:00Z,1998-10-19 01:00:00,193.31,Working,31,
1998-10-26T00:00:00Z,1998-10-26 01:00:00,193.31,Working,31,
1998-11-02T00:00:00Z,1998-11-02 01:00:00,193.54,Working,31,
1998-11-09T00:00:00Z,1998-11-09 01:00:00,193.61,Working,31,
1998-11-16T00:00:00Z,1998-11-16 01:00:00,193.71,Working,31,
1998-11-30T00:00:00Z,1998-11-30 01:00:00,193.43,Working,31,
1998-12-14T00:00:00Z,1998-12-14 01:00:00,193.36,Working,31,
1998-12-21T00:00:00Z,1998-12-21 01:00:00,193.36,Working,31,
1998-12-28T00:00:00Z,1998-12-28 01:00:00,193.36,Working,31,
1999-01-04T00:00:00Z,1999-01-04 01:00:00,193.28,Working,31,
1999-01-11T00:00:00Z,1999-01-11 01:00:00,193.28,Working,31,
1999-01-18T00:00:00Z,1999-01-18 01:00:00,193.27,Working,31,
1999-01-25T00:00:00Z,1999-01-25 01:00:00,193.27,Working,31,
1999-02-08T00:00:00Z,1999-02-08 01:00:00,193.35,Working,31,
1999-02-22T00:00:00Z,1999-02-22 01:00:00,194.27,Working,31,
1999-03-01T00:00:00Z,1999-03-01 01:00:00,193.48,Working,31,
1999-03-08T00:00:00Z,1999-03-08 01:00:00,193.74,Working,31,
1999-03-15T00:00:00Z,1999-03-15 01:00:00,193.68,Working,31,
1999-03-22T00:00:00Z,1999-03-22 01:00:00,193.61,Working,31,
1999-03-29T00:00:00Z,1999-03-29 01:00:00,193.58,Working,31,
1999-04-05T00:00:00Z,1999-04-05 01:00:00,193.57,Working,31,
1999-04-12T00:00:00Z,1999-04-12 01:00:00,193.61,Working,31,
1999-04-19T00:00:00Z,1999-04-19 01:00:00,193.6,Working,31,
1999-04-26T00:00:00Z,1999-04-26 01:00:00,193.58,Working,31,
1999-05-03T00:00:00Z,1999-05-03 01:00:00,193.61,Working,31,
1999-05-10T00:00:00Z,1999-05-10 01:00:00,193.79,Working,31,
1999-05-17T00:00:00Z,1999-05-17 01:00:00,195.06,Working,31,
1999-05-24T00:00:00Z,1999-05-24 01:00:00,195.22,Working,31,
1999-05-31T00:00:00Z,1999-05-31 01:00:00,195.01,Working,31,
1999-06-07T00:00:00Z,1999-06-07 01:00:00,194.95,Working,31,
1999-06-14T00:00:00Z,1999-06-14 01:00:00,194.94,Working,31,
1999-06-21T00:00:00Z,1999-06-21 01:00:00,194.57,Working,31,
1999-06-28T00:00:00Z,1999-06-28 01:00:00,194.47,Working,31,
1999-07-05T00:00:00Z,1999-07-05 01:00:00,194.19,Working,31,
1999-07-12T00:00:00Z,1999-07-12 01:00:00,194.18,Working,31,
1999-07-19T00:00:00Z,1999-07-19 01:00:00,194.19,Working,31,
1999-07-26T00:00:00Z,1999-07-26 01:00:00,193.96,Working,31,
1999-08-02T00:00:00Z,1999-08-02 01:00:00,193.8,Working,31,
1999-08-09T00:00:00Z,1999-08-09 01:00:00,193.69,Working,31,
