# WaterLevel.PH_007_-_Badenova@EX_Breisach_am_Rhein.EntireRecord.csv generated at 2024-11-14 00:49:50 (UTC-08:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.PH 007 - Badenova@EX_Breisach_am_Rhein
# Location: EX_Breisach_am_Rhein
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1986-02-03T13:00:00Z,1986-02-03 14:00:00,192.1499997711,Working,31,
1986-02-11T13:00:00Z,1986-02-11 14:00:00,192.1000000572,Working,31,
1986-02-17T13:00:00Z,1986-02-17 14:00:00,192.1000000572,Working,31,
1986-03-10T13:00:00Z,1986-03-10 14:00:00,192.1099998093,Working,31,
1986-03-17T13:00:00Z,1986-03-17 14:00:00,192.16,Working,31,
1986-03-24T13:00:00Z,1986-03-24 14:00:00,192.2300001717,Working,31,
1986-04-01T14:00:00Z,1986-04-01 15:00:00,192.2999998665,Working,31,
1986-04-07T14:00:00Z,1986-04-07 15:00:00,192.4200002289,Working,31,
1986-04-14T14:00:00Z,1986-04-14 15:00:00,192.6499997711,Working,31,
1986-04-21T14:00:00Z,1986-04-21 15:00:00,192.6400000191,Working,31,
1986-04-28T14:00:00Z,1986-04-28 15:00:00,192.8100000954,Working,31,
1986-05-05T14:00:00Z,1986-05-05 15:00:00,192.8999997711,Working,31,
1986-05-12T14:00:00Z,1986-05-12 15:00:00,192.9600001907,Working,31,
1986-05-20T14:00:00Z,1986-05-20 15:00:00,192.9899999237,Working,31,
1986-05-26T14:00:00Z,1986-05-26 15:00:00,193.0000001526,Working,31,
1986-06-02T14:00:00Z,1986-06-02 15:00:00,192.8999997711,Working,31,
1986-06-09T14:00:00Z,1986-06-09 15:00:00,193.3599998093,Working,31,
1986-06-16T14:00:00Z,1986-06-16 15:00:00,193.2799998856,Working,31,
1986-06-23T14:00:00Z,1986-06-23 15:00:00,193.1499997711,Working,31,
1986-06-30T14:00:00Z,1986-06-30 15:00:00,192.9600001907,Working,31,
1986-07-07T14:00:00Z,1986-07-07 15:00:00,192.8300000763,Working,31,
1986-07-14T14:00:00Z,1986-07-14 15:00:00,192.7599999046,Working,31,
1986-07-21T14:00:00Z,1986-07-21 15:00:00,192.6900002098,Working,31,
1986-07-28T14:00:00Z,1986-07-28 15:00:00,192.5499998665,Working,31,
1986-08-04T14:00:00Z,1986-08-04 15:00:00,192.4499999619,Working,31,
1986-08-11T14:00:00Z,1986-08-11 15:00:00,192.3700000381,Working,31,
1986-08-18T14:00:00Z,1986-08-18 15:00:00,192.4499999619,Working,31,
1986-08-25T14:00:00Z,1986-08-25 15:00:00,192.4499999619,Working,31,
1986-09-01T14:00:00Z,1986-09-01 15:00:00,192.3999997711,Working,31,
1986-09-08T14:00:00Z,1986-09-08 15:00:00,192.3799997902,Working,31,
1986-09-15T14:00:00Z,1986-09-15 15:00:00,192.3799997902,Working,31,
1986-09-22T14:00:00Z,1986-09-22 15:00:00,192.3900000191,Working,31,
1986-09-29T13:00:00Z,1986-09-29 14:00:00,192.3799997902,Working,31,
1986-10-06T13:00:00Z,1986-10-06 14:00:00,192.3500000572,Working,31,
1986-10-13T13:00:00Z,1986-10-13 14:00:00,192.3100000954,Working,31,
1986-10-20T13:00:00Z,1986-10-20 14:00:00,192.2900001144,Working,31,
1986-10-27T13:00:00Z,1986-10-27 14:00:00,192.2999998665,Working,31,
1986-11-03T13:00:00Z,1986-11-03 14:00:00,192.3300000763,Working,31,
1986-11-10T13:00:00Z,1986-11-10 14:00:00,192.3199998474,Working,31,
1986-11-17T13:00:00Z,1986-11-17 14:00:00,192.2799998856,Working,31,
1986-11-24T13:00:00Z,1986-11-24 14:00:00,192.2599999046,Working,31,
1986-12-01T13:00:00Z,1986-12-01 14:00:00,192.2300001717,Working,31,
1986-12-08T13:00:00Z,1986-12-08 14:00:00,192.2300001717,Working,31,
1986-12-15T13:00:00Z,1986-12-15 14:00:00,192.1700002289,Working,31,
1986-12-22T13:00:00Z,1986-12-22 14:00:00,192.1799999809,Working,31,
1986-12-29T13:00:00Z,1986-12-29 14:00:00,192.0699998474,Working,31,
1987-01-05T13:00:00Z,1987-01-05 14:00:00,192.1499997711,Working,31,
