;[-];[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour]
lu_id;sealing;z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf
8;0;1000;88;357;0.11638209;0.0841846;0.1838438;7.3636045;100
8;0;1000;71;230;0.10348496;0.11615893;0.18614101;5.4911766;100
8;0;1000;92;450;0.114010975;0.1146229;0.2013536;6.5360184;100
8;0;1000;84;215;0.09362363;0.111923896;0.18270074;5.6332846;100
8;0;1000;54;477;0.099952675;0.0839945;0.18211229;6.9512424;100
8;0;1000;98;229;0.101256445;0.08817589;0.18002075;10.685698;100
8;0;1000;88;453;0.08419919;0.10974401;0.19745266;14.124488;100
8;0;1000;89;470;0.0959421;0.080925606;0.21098496;10.372189;100
8;0;1000;56;493;0.116693504;0.11916898;0.18139353;11.259895;100
8;0;1000;72;440;0.10523329;0.095085785;0.2060903;7.0186725;100
8;0;1000;68;433;0.08710026;0.1087725;0.21292509;13.0058365;100
8;0;1000;96;392;0.09355423;0.11550284;0.18672003;11.177889;100
8;0;1000;82;433;0.08766412;0.09578519;0.18587455;13.641368;100
8;0;1000;91;240;0.08099292;0.0927653;0.21443205;14.488431;100
8;0;1000;72;360;0.11709842;0.10434964;0.21292499;8.479008;100
8;0;1000;61;354;0.09792829;0.10323957;0.20155767;5.905791;100
8;0;1000;77;457;0.092301406;0.0963656;0.21276799;7.2592897;100
8;0;1000;53;338;0.103939086;0.10407099;0.18371025;9.378416;100
8;0;1000;91;315;0.080292575;0.11741526;0.19577926;14.456937;100
8;0;1000;81;391;0.091120884;0.09870561;0.2095119;8.783098;100
8;0;1000;87;279;0.108121336;0.08786969;0.19029808;12.707732;100
8;0;1000;67;241;0.10535079;0.095088236;0.21009316;10.404767;100
8;0;1000;98;343;0.11927224;0.09576428;0.20016715;6.828088;100
8;0;1000;94;325;0.104814306;0.08524435;0.21001063;8.207341;100
8;0;1000;88;269;0.09910023;0.08651486;0.19858718;11.531919;100
8;0;1000;59;310;0.1104573;0.107382484;0.19471617;11.728534;100
8;0;1000;73;309;0.116133116;0.09357911;0.18876757;9.347597;100
8;0;1000;52;298;0.10882784;0.118195936;0.18833518;7.286456;100
8;0;1000;57;313;0.11852845;0.08974387;0.21005963;12.219068;100
8;0;1000;84;405;0.11128021;0.08395698;0.18475641;6.6887302;100
8;0;1000;87;289;0.11467206;0.11014018;0.1834393;14.366697;100
8;0;1000;98;484;0.084564164;0.115241446;0.18705165;6.879036;100
8;0;1000;66;474;0.10929654;0.091124535;0.18701386;6.0731235;100
8;0;1000;68;344;0.097603545;0.08808352;0.2129243;9.976477;100
8;0;1000;73;298;0.102124155;0.08743065;0.19594027;10.195496;100
