# WaterLevel.PH_084_-_Badenova@EX_Ehrenkirchen.EntireRecord.csv generated at 2024-05-29 06:44:05 (UTC-07:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: WaterLevel.PH 084 - Badenova@EX_Ehrenkirchen
# Location: EX_Ehrenkirchen
# UTC offset: (UTC+01:00)
# Value units: m
# Value parameter: WaterLevel
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+01:00),Value,Approval Level,Grade,Qualifiers
1987-01-14T13:00:00Z,1987-01-14 14:00:00,235.0569989681,Working,-1,
1987-01-27T13:00:00Z,1987-01-27 14:00:00,234.9069988728,Working,-1,
1987-02-11T13:00:00Z,1987-02-11 14:00:00,234.8569989204,Working,-1,
1987-02-23T13:00:00Z,1987-02-23 14:00:00,234.8569989204,Working,-1,
1987-03-10T13:00:00Z,1987-03-10 14:00:00,234.8669989109,Working,-1,
1987-03-23T13:00:00Z,1987-03-23 14:00:00,235.1269989014,Working,-1,
1987-04-10T14:00:00Z,1987-04-10 15:00:00,235.4569989443,Working,-1,
1987-04-21T14:00:00Z,1987-04-21 15:00:00,235.3369989395,Working,-1,
1987-05-06T14:00:00Z,1987-05-06 15:00:00,235.3269989491,Working,-1,
1987-05-19T14:00:00Z,1987-05-19 15:00:00,235.59699893,Working,-1,
1987-06-03T14:00:00Z,1987-06-03 15:00:00,235.4569989443,Working,-1,
1987-06-19T14:00:00Z,1987-06-19 15:00:00,235.8169989586,Working,-1,
1987-07-02T14:00:00Z,1987-07-02 15:00:00,235.8069988489,Working,-1,
1987-07-14T14:00:00Z,1987-07-14 15:00:00,235.6569988728,Working,-1,
1987-07-30T14:00:00Z,1987-07-30 15:00:00,235.4769989252,Working,-1,
1987-08-12T14:00:00Z,1987-08-12 15:00:00,235.4269988537,Working,-1,
1987-08-25T14:00:00Z,1987-08-25 15:00:00,235.5169988871,Working,-1,
1987-09-08T14:00:00Z,1987-09-08 15:00:00,235.4769989252,Working,-1,
1987-09-23T14:00:00Z,1987-09-23 15:00:00,235.4669989347,Working,-1,
1987-10-08T13:00:00Z,1987-10-08 14:00:00,235.6069989204,Working,-1,
1987-10-22T13:00:00Z,1987-10-22 14:00:00,235.59699893,Working,-1,
1987-11-02T13:00:00Z,1987-11-02 14:00:00,235.6469988823,Working,-1,
1987-11-17T13:00:00Z,1987-11-17 14:00:00,235.6569988728,Working,-1,
1987-12-01T13:00:00Z,1987-12-01 14:00:00,235.5469988585,Working,-1,
1987-12-16T13:00:00Z,1987-12-16 14:00:00,235.536998868,Working,-1,
1987-12-30T13:00:00Z,1987-12-30 14:00:00,235.5469988585,Working,-1,
1988-01-14T13:00:00Z,1988-01-14 14:00:00,235.4269988537,Working,-1,
1988-01-27T13:00:00Z,1988-01-27 14:00:00,235.4069988728,Working,-1,
1988-02-08T13:00:00Z,1988-02-08 14:00:00,235.6769988537,Working,-1,
1988-02-23T13:00:00Z,1988-02-23 14:00:00,235.5769989491,Working,-1,
1988-03-11T13:00:00Z,1988-03-11 14:00:00,235.5769989491,Working,-1,
1988-03-23T13:00:00Z,1988-03-23 14:00:00,235.7369989157,Working,-1,
1988-04-05T14:00:00Z,1988-04-05 15:00:00,235.7069989443,Working,-1,
1988-04-19T14:00:00Z,1988-04-19 15:00:00,235.6269989014,Working,-1,
1988-05-03T14:00:00Z,1988-05-03 15:00:00,235.5169988871,Working,-1,
1988-05-18T14:00:00Z,1988-05-18 15:00:00,235.4669989347,Working,-1,
1988-05-30T14:00:00Z,1988-05-30 15:00:00,235.4169988632,Working,-1,
1988-06-14T14:00:00Z,1988-06-14 15:00:00,235.4769989252,Working,-1,
1988-06-29T14:00:00Z,1988-06-29 15:00:00,235.2769989967,Working,-1,
1988-07-12T14:00:00Z,1988-07-12 15:00:00,235.2069988251,Working,-1,
1988-07-26T14:00:00Z,1988-07-26 15:00:00,235.1169989109,Working,-1,
