YYYY	MM	DD	hh	mm	PET
2030	1	1	0	0	0.07565563472345532
2030	1	2	0	0	0.09864802495969045
2030	1	3	0	0	0.4402225690438639
2030	1	4	0	0	0.4481869958608431
2030	1	5	0	0	0.09812784817572992
2030	1	6	0	0	0.12676461729469765
2030	1	7	0	0	0.031078653632410493
2030	1	8	0	0	0.0921268011250308
2030	1	9	0	0	0.17256661136432017
2030	1	10	0	0	0.0957901693712688
2030	1	11	0	0	0.09209746156410425
2030	1	12	0	0	0.381860373556657
2030	1	13	0	0	0.5773733482088401
2030	1	14	0	0	0.5558881976108816
2030	1	15	0	0	0.17712555028910387
2030	1	16	0	0	0.11007464353212043
2030	1	17	0	0	0.17729781079605525
2030	1	18	0	0	0.09063262528872439
2030	1	19	0	0	0.04943709443152809
2030	1	20	0	0	0.21947575513250037
2030	1	21	0	0	0.07276680337234243
2030	1	22	0	0	0.5578423068765207
2030	1	23	0	0	0.327862326831646
2030	1	24	0	0	0.6119931643931105
2030	1	25	0	0	0.7640666975565354
2030	1	26	0	0	0.7363779554792451
2030	1	27	0	0	0.3009617619660299
2030	1	28	0	0	0.5796851443677593
2030	1	29	0	0	0.17345341881018084
2030	1	30	0	0	0.5746539130744817
2030	1	31	0	0	0.43703376148240186
2030	2	1	0	0	0.24467866347517464
2030	2	2	0	0	0.19454432895127366
2030	2	3	0	0	0.4375620150094849
2030	2	4	0	0	0.5579925749075225
2030	2	5	0	0	0.6141283067054484
2030	2	6	0	0	0.7254981556840661
2030	2	7	0	0	0.1616919895424453
2030	2	8	0	0	0.8358208895981494
2030	2	9	0	0	0.6989124546239531
2030	2	10	0	0	0.6105176581930997
2030	2	11	0	0	0.6037815195215388
2030	2	12	0	0	0.4478224633893628
2030	2	13	0	0	0.7157672010403836
2030	2	14	0	0	0.7210525142956067
2030	2	15	0	0	0.757289489942901
2030	2	16	0	0	0.8015637030381781
2030	2	17	0	0	0.8373297299650366
2030	2	18	0	0	0.3119762227246166
2030	2	19	0	0	0.694872556920869
2030	2	20	0	0	0.9254645147637647
2030	2	21	0	0	0.9544275696410173
2030	2	22	0	0	0.3817814435892535
2030	2	23	0	0	0.38473336160756627
2030	2	24	0	0	0.9862206408584416
2030	2	25	0	0	0.8472392751113105
2030	2	26	0	0	0.9187384415547851
2030	2	27	0	0	1.0026343827063064
2030	2	28	0	0	1.0876937119717813
2030	3	1	0	0	1.2548835259861508
2030	3	2	0	0	1.1476998438592296
2030	3	3	0	0	0.8460525914263384
2030	3	4	0	0	0.3496696554177941
2030	3	5	0	0	0.7568531747146315
2030	3	6	0	0	0.5772230251224858
2030	3	7	0	0	0.7696660107845184
2030	3	8	0	0	0.5560137842906447
2030	3	9	0	0	0.9161825026366845
2030	3	10	0	0	1.3790683632659861
2030	3	11	0	0	0.9977958138902476
2030	3	12	0	0	0.9234328826048901
2030	3	13	0	0	1.4226825743244595
2030	3	14	0	0	1.5969037347415393
2030	3	15	0	0	1.8099164941932935
2030	3	16	0	0	1.6847715138281825
2030	3	17	0	0	1.6979960767269557
2030	3	18	0	0	1.7123775812910835
2030	3	19	0	0	1.5380849662471865
2030	3	20	0	0	2.0060096808342864
2030	3	21	0	0	1.7313141248549078
2030	3	22	0	0	1.7937609770521556
2030	3	23	0	0	2.0408423535821365
2030	3	24	0	0	0.6217370527475496
2030	3	25	0	0	1.655510264172907
2030	3	26	0	0	0.8758693141102187
2030	3	27	0	0	0.44043757856588667
2030	3	28	0	0	1.5730321864522312
2030	3	29	0	0	2.0224912232077354
2030	3	30	0	0	1.8011144360358124
