rno,k,i,j,rlen,rwid,rgrd,rtp,rbth,rhk,man,ncon,ustrf,ndv
1,1,168,86,12.785962809078,0.5,0.261450841018902,763.973815917969,1,1.44,0.035,1,1,0
2,1,169,86,0.372487673471945,0.5,0.337105861012358,748.632202148438,1,1.44,0.035,2,1,0
3,1,169,85,54.6759318787001,0.5,0.358616318229256,736.681823730469,1,1.44,0.035,2,1,0
4,1,169,84,52.2155175660203,0.5,0.405778519381838,726.183410644531,1,1.44,0.035,2,1,0
5,1,169,83,50.1707905057099,0.5,0.456146715001382,709.166809082031,1,1.44,0.035,2,1,0
6,1,169,82,50.3282682431783,0.5,0.480417017565116,685.644226074219,1,1.44,0.035,2,1,0
7,1,169,81,54.0420902799199,0.5,0.458695941283583,661.15380859375,1,1.44,0.035,2,1,0
8,1,169,80,35.2100166076818,0.515388203202208,0.3950918173195,638.732788085938,1,1.44,0.035,2,1,0
9,1,168,80,45.4762725481391,0.57282196186948,0.462539402567843,642.239196777344,1,1.44,0.035,2,1,0
10,1,168,79,11.7432243925626,0.586301969977929,0.39181328569289,617.992797851562,1,1.44,0.035,2,1,0
11,1,167,79,54.3255244407781,0.661437827766148,0.449220161681993,609.664611816406,1,1.44,0.035,2,1,0
12,1,166,79,53.7034910141479,0.707106781186548,0.448173341852579,599.228393554688,1,1.44,0.035,2,1,0
13,1,165,79,9.51767519338526,0.739509972887452,0.459519035815938,593.130798339844,1,1.44,0.035,2,1,0
14,1,165,78,44.9294138582328,0.7806247497998,0.288877584159051,572.33642578125,1,1.44,0.035,2,1,0
15,1,164,78,52.2333642054121,0.800390529679106,0.360408210817822,563.880798339844,1,1.44,0.035,2,1,0
16,1,163,78,50.0000000000005,1.1180339887499,0.309819215680381,557.4765625,1,1.44,0.035,2,1,0
17,1,162,78,52.2342908502239,1.1659223816361,0.314234536664806,556.701416015625,1,1.44,0.035,2,1,0
18,1,161,78,26.6330233110026,1.19242400177118,0.414413457814025,557.041198730469,1,1.44,0.035,2,1,0
19,1,161,77,29.43175330786,1.19895788082818,0.308045768508032,536.971801757812,1,1.44,0.035,2,1,0
20,1,160,77,52.8004514555746,1.20545634512412,0.325790713262574,529.429565429688,1,1.44,0.035,2,1,0
21,1,159,77,51.6247742677026,1.21834929310112,0.295027785221168,520.130004882812,1,1.44,0.035,2,1,0
22,1,158,77,50.7411721002189,1.51554445662277,0.233350876502083,513.314208984375,1,1.44,0.035,2,1,0
23,1,157,77,7.66778855610109,1.53602571593056,0.295534583056153,510.0087890625,1,1.44,0.035,2,1,0
