YYYY	MM	DD	hh	mm	PET
2030	1	1	0	0	0.10240531926853101
2030	1	2	0	0	0.1739046547757448
2030	1	3	0	0	0.35948844043830136
2030	1	4	0	0	0.06469418070453395
2030	1	5	0	0	0.5659214947948131
2030	1	6	0	0	0.26270203058309005
2030	1	7	0	0	0.34623164856216593
2030	1	8	0	0	0.029461942992210405
2030	1	9	0	0	0.0037704372567236846
2030	1	10	0	0	0.14266619489247293
2030	1	11	0	0	0.2755896215655828
2030	1	12	0	0	0.3468474052803151
2030	1	13	0	0	0.10218122905343514
2030	1	14	0	0	0.10675776341888892
2030	1	15	0	0	0.21138712013664065
2030	1	16	0	0	0.062000278098570116
2030	1	17	0	0	0.11977010063174871
2030	1	18	0	0	0.3055060964962241
2030	1	19	0	0	0.42152053886238044
2030	1	20	0	0	0.06833313322753787
2030	1	21	0	0	0.16625916817546932
2030	1	22	0	0	0.1070935504753357
2030	1	23	0	0	0.610236081266692
2030	1	24	0	0	0.6008868286506905
2030	1	25	0	0	0.5874172990427105
2030	1	26	0	0	0.40655482185842373
2030	1	27	0	0	0.31708845443808814
2030	1	28	0	0	0.4569958911396104
2030	1	29	0	0	0.6209297518241244
2030	1	30	0	0	0.6433443004111736
2030	1	31	0	0	0.6364494758772199
2030	2	1	0	0	0.6649580690355155
2030	2	2	0	0	0.9060015571200901
2030	2	3	0	0	0.04283489761068726
2030	2	4	0	0	0.8222147848797591
2030	2	5	0	0	0.8405482581644986
2030	2	6	0	0	0.8167467111138413
2030	2	7	0	0	0.07231321771556395
2030	2	8	0	0	0.18119848782100137
2030	2	9	0	0	0.09565104402514177
2030	2	10	0	0	0.4111720201401058
2030	2	11	0	0	0.3887196249158462
2030	2	12	0	0	0.24115874968438453
2030	2	13	0	0	0.8234307520360213
2030	2	14	0	0	0.7353162556382368
2030	2	15	0	0	1.1553305933569835
2030	2	16	0	0	0.3226727640212691
2030	2	17	0	0	0.7365887153615597
2030	2	18	0	0	0.9682428556610031
2030	2	19	0	0	0.5999495277035242
2030	2	20	0	0	0.33641900589861634
2030	2	21	0	0	0.698169178196202
2030	2	22	0	0	0.29732152798212175
2030	2	23	0	0	0.6035949340868028
2030	2	24	0	0	0.7936658851724331
2030	2	25	0	0	0.7614647152755227
2030	2	26	0	0	0.9373694913379865
2030	2	27	0	0	1.2186528398008785
2030	2	28	0	0	0.7677858962993157
2030	3	1	0	0	0.20171119177548325
2030	3	2	0	0	0.29205889915684025
2030	3	3	0	0	0.2979885448970793
2030	3	4	0	0	0.5054619253262913
2030	3	5	0	0	1.5863149769377307
2030	3	6	0	0	0.43797840857197545
2030	3	7	0	0	0.5286159046232971
2030	3	8	0	0	1.6715164670047429
2030	3	9	0	0	0.8203301437493605
2030	3	10	0	0	1.6639565292640555
2030	3	11	0	0	1.4912761424975205
2030	3	12	0	0	1.6634975189988968
2030	3	13	0	0	0.9036381598723311
2030	3	14	0	0	1.272540369846374
2030	3	15	0	0	1.3059638631694155
2030	3	16	0	0	1.030402799700723
2030	3	17	0	0	2.6210355360136397
2030	3	18	0	0	1.1428343647165822
2030	3	19	0	0	1.9444089776063884
2030	3	20	0	0	1.8511394424613465
2030	3	21	0	0	0.48601249887184556
2030	3	22	0	0	0.6963139130615335
2030	3	23	0	0	0.5913781114577354
2030	3	24	0	0	1.7059895221995667
2030	3	25	0	0	1.403373656210337
2030	3	26	0	0	1.5225866545210067
2030	3	27	0	0	1.6011056571617472
2030	3	28	0	0	0.9442323308709063
2030	3	29	0	0	0.9037328261221707
2030	3	30	0	0	1.7655775394507358
2030	3	31	0	0	2.6150415936402864
2030	4	1	0	0	1.4025476537572215
2030	4	2	0	0	2.085620475580232
2030	4	3	0	0	2.583880279670587
2030	4	4	0	0	2.627446251095672
2030	4	5	0	0	2.7857081318340993
2030	4	6	0	0	2.4622694445953313
2030	4	7	0	0	2.806875880773014
2030	4	8	0	0	2.0338709407038
2030	4	9	0	0	2.9894125745521047
2030	4	10	0	0	2.153054641662189
2030	4	11	0	0	3.2348161551349124
2030	4	12	0	0	2.9148972637031556
2030	4	13	0	0	3.4680668938351444
2030	4	14	0	0	3.5112786314930213
2030	4	15	0	0	3.871706799644664
2030	4	16	0	0	3.941620776519389
2030	4	17	0	0	4.004617781375209
2030	4	18	0	0	3.862450564513351
2030	4	19	0	0	3.9734769451279233
2030	4	20	0	0	3.9681045255802436
2030	4	21	0	0	3.7850834653191665
2030	4	22	0	0	3.6811429704999825
2030	4	23	0	0	3.4796817332253624
2030	4	24	0	0	3.4014561801677083
2030	4	25	0	0	3.8741046238054015
2030	4	26	0	0	1.976167992450985
2030	4	27	0	0	3.7642859734157446
2030	4	28	0	0	2.001360477956862
2030	4	29	0	0	1.161561713880026
2030	4	30	0	0	1.7542494444586554
2030	5	1	0	0	1.6110995667990093
2030	5	2	0	0	0.6960448776078947
2030	5	3	0	0	1.2972369354726558
2030	5	4	0	0	2.0483126944019947
2030	5	5	0	0	3.126093465244328
2030	5	6	0	0	1.1796007151497536
2030	5	7	0	0	2.5791706512396986
2030	5	8	0	0	2.3840021447596165
2030	5	9	0	0	3.1037245304665593
2030	5	10	0	0	2.406682113334309
2030	5	11	0	0	3.881381428726812
2030	5	12	0	0	4.220397217467002
2030	5	13	0	0	2.478179579444209
2030	5	14	0	0	2.386249048688389
2030	5	15	0	0	4.390799983192604
2030	5	16	0	0	0.7573968404555248
2030	5	17	0	0	2.58696304184678
2030	5	18	0	0	3.9925293343552735
2030	5	19	0	0	4.667103396774245
2030	5	20	0	0	4.562915870530307
2030	5	21	0	0	4.066603904781506
2030	5	22	0	0	3.224603238432778
2030	5	23	0	0	3.3698143246362178
2030	5	24	0	0	1.1327874004630962
2030	5	25	0	0	1.4444810016197065
2030	5	26	0	0	2.7763830182066727
2030	5	27	0	0	0.27799628008649946
2030	5	28	0	0	2.871314717626707
2030	5	29	0	0	2.187177362669665
2030	5	30	0	0	3.8846066904900836
2030	5	31	0	0	4.233873922618276
2030	6	1	0	0	4.604364925624384
2030	6	2	0	0	4.765879201665674
2030	6	3	0	0	4.202475645393745
2030	6	4	0	0	4.874890940535328
2030	6	5	0	0	5.020004683950122
2030	6	6	0	0	5.0459617706687245
2030	6	7	0	0	0.6843494892184963
2030	6	8	0	0	2.7346224120351628
2030	6	9	0	0	4.135970165761815
2030	6	10	0	0	4.809081034663689
2030	6	11	0	0	1.3400303570637602
2030	6	12	0	0	2.1681867557131196
2030	6	13	0	0	4.290971385028877
2030	6	14	0	0	5.159651140555701
2030	6	15	0	0	5.367083274506929
2030	6	16	0	0	0.8118336199095936
2030	6	17	0	0	1.538314809234745
2030	6	18	0	0	4.513273188467832
2030	6	19	0	0	2.616821373231698
2030	6	20	0	0	0.9047936359040639
2030	6	21	0	0	4.637166937371251
2030	6	22	0	0	5.42281283676253
2030	6	23	0	0	5.268301631969116
2030	6	24	0	0	3.2837900159115705
2030	6	25	0	0	1.3326057205529405
2030	6	26	0	0	3.8022418455749594
2030	6	27	0	0	2.0445632872842205
2030	6	28	0	0	3.4531472711389855
2030	6	29	0	0	3.271020841534032
2030	6	30	0	0	4.129095258164874
2030	7	1	0	0	0.29042144259588093
2030	7	2	0	0	1.698592884735016
2030	7	3	0	0	4.059507258224717
2030	7	4	0	0	3.575570165832541
2030	7	5	0	0	3.820702201847558
2030	7	6	0	0	5.000927461880038
2030	7	7	0	0	5.003343725652887
2030	7	8	0	0	1.2752235585355511
2030	7	9	0	0	3.7159368666418198
2030	7	10	0	0	4.119329446043971
2030	7	11	0	0	2.0250883814675347
2030	7	12	0	0	1.6295871310824275
2030	7	13	0	0	4.223661272505742
2030	7	14	0	0	5.195136971794514
2030	7	15	0	0	2.7821948740106666
2030	7	16	0	0	4.209977623896635
2030	7	17	0	0	2.4006977579003306
2030	7	18	0	0	4.06803714864661
2030	7	19	0	0	4.431486283335145
2030	7	20	0	0	4.3118314189201605
2030	7	21	0	0	4.594202234425525
2030	7	22	0	0	1.5413678129673978
2030	7	23	0	0	4.436713117202584
2030	7	24	0	0	4.5430268053587035
2030	7	25	0	0	4.854795654174873
2030	7	26	0	0	4.741939084837786
2030	7	27	0	0	4.811611418922856
2030	7	28	0	0	4.905116642949113
2030	7	29	0	0	5.016789148741226
2030	7	30	0	0	5.200660089394053
2030	7	31	0	0	3.441089962455129
2030	8	1	0	0	4.400506221535231
2030	8	2	0	0	5.075067355777133
2030	8	3	0	0	3.415357841110093
2030	8	4	0	0	3.658328264377168
2030	8	5	0	0	3.6802508064452004
2030	8	6	0	0	2.6481608213839474
2030	8	7	0	0	3.0654442526705585
2030	8	8	0	0	3.054762029271081
2030	8	9	0	0	2.5212109502648072
2030	8	10	0	0	3.3457813577002384
2030	8	11	0	0	2.760705981715984
2030	8	12	0	0	2.771058691979763
2030	8	13	0	0	2.735556099471958
2030	8	14	0	0	2.1775161992217558
2030	8	15	0	0	3.1482192053457485
2030	8	16	0	0	3.8461141221431476
2030	8	17	0	0	2.4646305160719075
2030	8	18	0	0	1.7384860013226067
2030	8	19	0	0	3.742942954073065
2030	8	20	0	0	1.401376671514016
2030	8	21	0	0	3.310567890978101
2030	8	22	0	0	3.8461759124828245
2030	8	23	0	0	3.9303053023213943
2030	8	24	0	0	4.289328776205174
2030	8	25	0	0	3.960875836580739
2030	8	26	0	0	3.904645741907653
2030	8	27	0	0	3.888235541255746
2030	8	28	0	0	3.7259300487176352
2030	8	29	0	0	3.9753267327590662
2030	8	30	0	0	4.446327197486833
2030	8	31	0	0	4.2476387792306545
2030	9	1	0	0	3.2619527909828827
2030	9	2	0	0	2.1371964723546424
2030	9	3	0	0	2.470674672641327
2030	9	4	0	0	3.289001488769614
